date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,259450.0,3.72,7,"Brainerd, MN",1367.0,0,Jul-2016
2016-08-01,1,249900.0,3.73,8,"Brainerd, MN",1361.0,0,Aug-2016
2016-09-01,2,250475.0,3.66,9,"Brainerd, MN",1337.0,0,Sep-2016
2016-10-01,3,250000.0,3.64,10,"Brainerd, MN",1073.0,0,Oct-2016
2016-11-01,4,249950.0,3.66,11,"Brainerd, MN",1037.0,0,Nov-2016
2016-12-01,5,239900.0,3.48,12,"Brainerd, MN",857.0,0,Dec-2016
2017-01-01,6,235000.0,3.45,1,"Brainerd, MN",743.0,0,Jan-2017
2017-02-01,7,249000.0,3.5,2,"Brainerd, MN",793.0,0,Feb-2017
2017-03-01,8,267400.0,3.52,3,"Brainerd, MN",869.0,0,Mar-2017
2017-04-01,9,279900.0,4.03,4,"Brainerd, MN",999.0,0,Apr-2017
2017-05-01,10,279900.0,4.32,5,"Brainerd, MN",1119.0,0,May-2017
2017-06-01,11,284950.0,4.2,6,"Brainerd, MN",1167.0,0,Jun-2017
2017-07-01,12,284900.0,4.19,7,"Brainerd, MN",1212.0,0,Jul-2017
2017-08-01,13,279900.0,4.3,8,"Brainerd, MN",1209.0,0,Aug-2017
2017-09-01,14,279700.0,4.1,9,"Brainerd, MN",1140.0,0,Sep-2017
2017-10-01,15,278950.0,4.05,10,"Brainerd, MN",1026.0,0,Oct-2017
2017-11-01,16,269900.0,3.94,11,"Brainerd, MN",892.0,0,Nov-2017
2017-12-01,17,259900.0,4.03,12,"Brainerd, MN",746.0,0,Dec-2017
2018-01-01,18,257625.0,3.93,1,"Brainerd, MN",633.0,0,Jan-2018
2018-02-01,19,272400.0,3.83,2,"Brainerd, MN",656.0,0,Feb-2018
2018-03-01,20,284950.0,3.94,3,"Brainerd, MN",751.0,0,Mar-2018
2018-04-01,21,299450.0,3.95,4,"Brainerd, MN",772.0,0,Apr-2018
2018-05-01,22,299900.0,3.99,5,"Brainerd, MN",858.0,0,May-2018
2018-06-01,23,295000.0,4.15,6,"Brainerd, MN",974.0,0,Jun-2018
2018-07-01,24,292500.0,4.4,7,"Brainerd, MN",1024.0,0,Jul-2018
2018-08-01,25,289900.0,4.46,8,"Brainerd, MN",1011.0,0,Aug-2018
2018-09-01,26,289900.0,4.58,9,"Brainerd, MN",968.0,0,Sep-2018
2018-10-01,27,282950.0,4.66,10,"Brainerd, MN",907.0,0,Oct-2018
2018-11-01,28,276000.0,4.62,11,"Brainerd, MN",773.0,0,Nov-2018
2018-12-01,29,265400.0,4.54,12,"Brainerd, MN",623.0,0,Dec-2018
2019-01-01,30,258700.0,4.6,1,"Brainerd, MN",551.0,0,Jan-2019
2019-02-01,31,272675.0,4.72,2,"Brainerd, MN",561.0,0,Feb-2019
2019-03-01,32,291643.0,4.9,3,"Brainerd, MN",638.0,0,Mar-2019
2019-04-01,33,299900.0,4.94,4,"Brainerd, MN",744.0,0,Apr-2019
2019-05-01,34,299900.0,4.75,5,"Brainerd, MN",863.0,0,May-2019
2019-06-01,35,299000.0,4.51,6,"Brainerd, MN",955.0,0,Jun-2019
2019-07-01,36,299000.0,4.41,7,"Brainerd, MN",1008.0,0,Jul-2019
2019-08-01,37,297173.0,4.41,8,"Brainerd, MN",998.0,0,Aug-2019
2019-09-01,38,293082.0,4.2,9,"Brainerd, MN",951.0,0,Sep-2019
2019-10-01,39,289900.0,4.14,10,"Brainerd, MN",908.0,0,Oct-2019
2019-11-01,40,279900.0,3.84,11,"Brainerd, MN",761.0,0,Nov-2019
2019-12-01,41,274900.0,3.81,12,"Brainerd, MN",599.0,0,Dec-2019
2020-01-01,42,269950.0,3.75,1,"Brainerd, MN",487.0,0,Jan-2020
2020-02-01,43,289900.0,3.73,2,"Brainerd, MN",521.0,0,Feb-2020
2020-03-01,44,299900.0,3.78,3,"Brainerd, MN",565.0,0,Mar-2020
2020-04-01,45,302450.0,3.75,4,"Brainerd, MN",614.0,0,Apr-2020
2020-05-01,46,299900.0,3.74,5,"Brainerd, MN",661.0,0,May-2020
2020-06-01,47,293500.0,3.72,6,"Brainerd, MN",634.0,0,Jun-2020
2020-07-01,48,295000.0,3.49,7,"Brainerd, MN",570.0,0,Jul-2020
2020-08-01,49,299900.0,3.65,8,"Brainerd, MN",526.0,0,Aug-2020
2020-09-01,50,304500.0,3.33,9,"Brainerd, MN",461.0,0,Sep-2020
2020-10-01,51,289900.0,3.28,10,"Brainerd, MN",393.0,0,Oct-2020
2020-11-01,52,299450.0,3.21,11,"Brainerd, MN",322.0,0,Nov-2020
2020-12-01,53,299675.0,3.07,12,"Brainerd, MN",254.0,0,Dec-2020
2021-01-01,54,299000.0,2.99,1,"Brainerd, MN",201.0,0,Jan-2021
2021-02-01,55,302000.0,2.93,2,"Brainerd, MN",186.0,0,Feb-2021
2021-03-01,56,327450.0,2.88,3,"Brainerd, MN",190.0,0,Mar-2021
2021-04-01,57,332225.0,2.84,4,"Brainerd, MN",196.0,0,Apr-2021
2021-05-01,58,349900.0,2.71,5,"Brainerd, MN",216.0,0,May-2021
2021-06-01,59,336000.0,2.79,6,"Brainerd, MN",253.0,0,Jun-2021
2021-07-01,60,349900.0,2.97,7,"Brainerd, MN",297.0,0,Jul-2021
2021-08-01,61,339900.0,3.17,8,"Brainerd, MN",330.0,0,Aug-2021
2021-09-01,62,359450.0,3.18,9,"Brainerd, MN",362.0,0,Sep-2021
2021-10-01,63,349900.0,3.0,10,"Brainerd, MN",312.0,0,Oct-2021
2021-11-01,64,349900.0,3.02,11,"Brainerd, MN",227.0,0,Nov-2021
2021-12-01,65,347400.0,2.98,12,"Brainerd, MN",182.0,416527,Dec-2021
2022-01-01,66,353400.0,2.87,1,"Brainerd, MN",139.0,416574,Jan-2022
2022-02-01,67,391800.0,3.01,2,"Brainerd, MN",144.0,421360,Feb-2022
2022-03-01,68,425450.0,3.14,3,"Brainerd, MN",156.0,426004,Mar-2022
2022-04-01,69,419900.0,3.1,4,"Brainerd, MN",209.0,428240,Apr-2022
2022-05-01,70,422325.0,3.12,5,"Brainerd, MN",239.0,427838,May-2022
2022-06-01,71,422175.0,3.56,6,"Brainerd, MN",289.0,428407,Jun-2022
2022-07-01,72,425000.0,3.92,7,"Brainerd, MN",358.0,426993,Jul-2022
2022-08-01,73,413425.0,4.67,8,"Brainerd, MN",370.0,425880,Aug-2022
2022-09-01,74,413644.0,5.11,9,"Brainerd, MN",365.0,424932,Sep-2022
2022-10-01,75,420000.0,5.3,10,"Brainerd, MN",339.0,424634,Oct-2022
