date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,170820.0,3.72,7,"Burlington, NC",729.0,0,Jul-2016
2016-08-01,1,172450.0,3.73,8,"Burlington, NC",762.0,0,Aug-2016
2016-09-01,2,176625.0,3.66,9,"Burlington, NC",751.0,0,Sep-2016
2016-10-01,3,182500.0,3.64,10,"Burlington, NC",753.0,0,Oct-2016
2016-11-01,4,178843.0,3.66,11,"Burlington, NC",731.0,0,Nov-2016
2016-12-01,5,177990.0,3.48,12,"Burlington, NC",706.0,0,Dec-2016
2017-01-01,6,172225.0,3.45,1,"Burlington, NC",644.0,0,Jan-2017
2017-02-01,7,171650.0,3.5,2,"Burlington, NC",647.0,0,Feb-2017
2017-03-01,8,181471.0,3.52,3,"Burlington, NC",641.0,0,Mar-2017
2017-04-01,9,175000.0,4.03,4,"Burlington, NC",633.0,0,Apr-2017
2017-05-01,10,180325.0,4.32,5,"Burlington, NC",761.0,0,May-2017
2017-06-01,11,176990.0,4.2,6,"Burlington, NC",732.0,0,Jun-2017
2017-07-01,12,179900.0,4.19,7,"Burlington, NC",726.0,0,Jul-2017
2017-08-01,13,176490.0,4.3,8,"Burlington, NC",742.0,0,Aug-2017
2017-09-01,14,177695.0,4.1,9,"Burlington, NC",727.0,0,Sep-2017
2017-10-01,15,180875.0,4.05,10,"Burlington, NC",740.0,0,Oct-2017
2017-11-01,16,187900.0,3.94,11,"Burlington, NC",702.0,0,Nov-2017
2017-12-01,17,189250.0,4.03,12,"Burlington, NC",679.0,0,Dec-2017
2018-01-01,18,197475.0,3.93,1,"Burlington, NC",633.0,0,Jan-2018
2018-02-01,19,198975.0,3.83,2,"Burlington, NC",597.0,0,Feb-2018
2018-03-01,20,215500.0,3.94,3,"Burlington, NC",541.0,0,Mar-2018
2018-04-01,21,216175.0,3.95,4,"Burlington, NC",486.0,0,Apr-2018
2018-05-01,22,221748.0,3.99,5,"Burlington, NC",501.0,0,May-2018
2018-06-01,23,222655.0,4.15,6,"Burlington, NC",479.0,0,Jun-2018
2018-07-01,24,218225.0,4.4,7,"Burlington, NC",477.0,0,Jul-2018
2018-08-01,25,218175.0,4.46,8,"Burlington, NC",452.0,0,Aug-2018
2018-09-01,26,229000.0,4.58,9,"Burlington, NC",444.0,0,Sep-2018
2018-10-01,27,225000.0,4.66,10,"Burlington, NC",491.0,0,Oct-2018
2018-11-01,28,229500.0,4.62,11,"Burlington, NC",474.0,0,Nov-2018
2018-12-01,29,232200.0,4.54,12,"Burlington, NC",456.0,0,Dec-2018
2019-01-01,30,234400.0,4.6,1,"Burlington, NC",433.0,0,Jan-2019
2019-02-01,31,244378.0,4.72,2,"Burlington, NC",407.0,0,Feb-2019
2019-03-01,32,250264.0,4.9,3,"Burlington, NC",385.0,0,Mar-2019
2019-04-01,33,253139.0,4.94,4,"Burlington, NC",361.0,0,Apr-2019
2019-05-01,34,254950.0,4.75,5,"Burlington, NC",366.0,0,May-2019
2019-06-01,35,255000.0,4.51,6,"Burlington, NC",348.0,0,Jun-2019
2019-07-01,36,249725.0,4.41,7,"Burlington, NC",358.0,0,Jul-2019
2019-08-01,37,246145.0,4.41,8,"Burlington, NC",362.0,0,Aug-2019
2019-09-01,38,241186.0,4.2,9,"Burlington, NC",371.0,0,Sep-2019
2019-10-01,39,238516.0,4.14,10,"Burlington, NC",365.0,0,Oct-2019
2019-11-01,40,236000.0,3.84,11,"Burlington, NC",337.0,0,Nov-2019
2019-12-01,41,234250.0,3.81,12,"Burlington, NC",323.0,0,Dec-2019
