date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,294400.0,3.72,7,"Cheyenne, WY",425.0,0,Jul-2016
2016-08-01,1,277950.0,3.73,8,"Cheyenne, WY",475.0,0,Aug-2016
2016-09-01,2,286400.0,3.66,9,"Cheyenne, WY",477.0,0,Sep-2016
2016-10-01,3,279000.0,3.64,10,"Cheyenne, WY",482.0,0,Oct-2016
2016-11-01,4,283075.0,3.66,11,"Cheyenne, WY",469.0,0,Nov-2016
2016-12-01,5,277800.0,3.48,12,"Cheyenne, WY",414.0,0,Dec-2016
2017-01-01,6,278250.0,3.45,1,"Cheyenne, WY",362.0,0,Jan-2017
2017-02-01,7,292200.0,3.5,2,"Cheyenne, WY",326.0,0,Feb-2017
2017-03-01,8,305167.0,3.52,3,"Cheyenne, WY",314.0,0,Mar-2017
2017-04-01,9,299900.0,4.03,4,"Cheyenne, WY",335.0,0,Apr-2017
2017-05-01,10,294975.0,4.32,5,"Cheyenne, WY",379.0,0,May-2017
2017-06-01,11,286550.0,4.2,6,"Cheyenne, WY",442.0,0,Jun-2017
2017-07-01,12,285500.0,4.19,7,"Cheyenne, WY",454.0,0,Jul-2017
2017-08-01,13,286950.0,4.3,8,"Cheyenne, WY",449.0,0,Aug-2017
2017-09-01,14,289900.0,4.1,9,"Cheyenne, WY",437.0,0,Sep-2017
2017-10-01,15,285350.0,4.05,10,"Cheyenne, WY",411.0,0,Oct-2017
2017-11-01,16,286250.0,3.94,11,"Cheyenne, WY",381.0,0,Nov-2017
2017-12-01,17,289000.0,4.03,12,"Cheyenne, WY",333.0,0,Dec-2017
2018-01-01,18,310000.0,3.93,1,"Cheyenne, WY",309.0,0,Jan-2018
2018-02-01,19,315750.0,3.83,2,"Cheyenne, WY",299.0,0,Feb-2018
2018-03-01,20,299900.0,3.94,3,"Cheyenne, WY",314.0,0,Mar-2018
2018-04-01,21,292200.0,3.95,4,"Cheyenne, WY",337.0,0,Apr-2018
2018-05-01,22,300000.0,3.99,5,"Cheyenne, WY",352.0,0,May-2018
2018-06-01,23,299900.0,4.15,6,"Cheyenne, WY",364.0,0,Jun-2018
2018-07-01,24,299800.0,4.4,7,"Cheyenne, WY",373.0,0,Jul-2018
2018-08-01,25,290358.0,4.46,8,"Cheyenne, WY",388.0,0,Aug-2018
2018-09-01,26,290358.0,4.58,9,"Cheyenne, WY",371.0,0,Sep-2018
2018-10-01,27,289325.0,4.66,10,"Cheyenne, WY",348.0,0,Oct-2018
2018-11-01,28,289950.0,4.62,11,"Cheyenne, WY",329.0,0,Nov-2018
2018-12-01,29,285000.0,4.54,12,"Cheyenne, WY",325.0,0,Dec-2018
2019-01-01,30,290300.0,4.6,1,"Cheyenne, WY",278.0,0,Jan-2019
2019-02-01,31,295000.0,4.72,2,"Cheyenne, WY",219.0,0,Feb-2019
2019-03-01,32,291471.0,4.9,3,"Cheyenne, WY",230.0,0,Mar-2019
2019-04-01,33,306250.0,4.94,4,"Cheyenne, WY",257.0,0,Apr-2019
2019-05-01,34,325810.0,4.75,5,"Cheyenne, WY",244.0,0,May-2019
2019-06-01,35,352900.0,4.51,6,"Cheyenne, WY",228.0,0,Jun-2019
2019-07-01,36,339650.0,4.41,7,"Cheyenne, WY",239.0,0,Jul-2019
2019-08-01,37,333218.0,4.41,8,"Cheyenne, WY",263.0,0,Aug-2019
2019-09-01,38,334220.0,4.2,9,"Cheyenne, WY",302.0,0,Sep-2019
2019-10-01,39,335000.0,4.14,10,"Cheyenne, WY",324.0,0,Oct-2019
2019-11-01,40,340850.0,3.84,11,"Cheyenne, WY",273.0,0,Nov-2019
2019-12-01,41,343500.0,3.81,12,"Cheyenne, WY",250.0,0,Dec-2019
2020-01-01,42,341125.0,3.75,1,"Cheyenne, WY",224.0,0,Jan-2020
2020-02-01,43,357000.0,3.73,2,"Cheyenne, WY",205.0,0,Feb-2020
2020-03-01,44,369100.0,3.78,3,"Cheyenne, WY",221.0,0,Mar-2020
2020-04-01,45,362300.0,3.75,4,"Cheyenne, WY",269.0,0,Apr-2020
2020-05-01,46,365000.0,3.74,5,"Cheyenne, WY",266.0,0,May-2020
2020-06-01,47,367000.0,3.72,6,"Cheyenne, WY",280.0,0,Jun-2020
2020-07-01,48,371100.0,3.49,7,"Cheyenne, WY",292.0,0,Jul-2020
2020-08-01,49,368150.0,3.65,8,"Cheyenne, WY",270.0,0,Aug-2020
2020-09-01,50,358150.0,3.33,9,"Cheyenne, WY",245.0,0,Sep-2020
