date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,189950.0,3.72,7,"Columbia, SC",4520.0,0,Jul-2016
2016-08-01,1,189900.0,3.73,8,"Columbia, SC",4454.0,0,Aug-2016
2016-09-01,2,189596.0,3.66,9,"Columbia, SC",4426.0,0,Sep-2016
2016-10-01,3,185900.0,3.64,10,"Columbia, SC",4370.0,0,Oct-2016
2016-11-01,4,186450.0,3.66,11,"Columbia, SC",4293.0,0,Nov-2016
2016-12-01,5,187480.0,3.48,12,"Columbia, SC",4103.0,0,Dec-2016
2017-01-01,6,188129.0,3.45,1,"Columbia, SC",3898.0,0,Jan-2017
2017-02-01,7,182400.0,3.5,2,"Columbia, SC",4147.0,0,Feb-2017
2017-03-01,8,183723.0,3.52,3,"Columbia, SC",4285.0,0,Mar-2017
2017-04-01,9,195900.0,4.03,4,"Columbia, SC",4152.0,0,Apr-2017
2017-05-01,10,199250.0,4.32,5,"Columbia, SC",4215.0,0,May-2017
2017-06-01,11,199000.0,4.2,6,"Columbia, SC",4172.0,0,Jun-2017
2017-07-01,12,199000.0,4.19,7,"Columbia, SC",4119.0,0,Jul-2017
2017-08-01,13,199875.0,4.3,8,"Columbia, SC",4096.0,0,Aug-2017
2017-09-01,14,198900.0,4.1,9,"Columbia, SC",4009.0,0,Sep-2017
2017-10-01,15,199900.0,4.05,10,"Columbia, SC",3927.0,0,Oct-2017
2017-11-01,16,199450.0,3.94,11,"Columbia, SC",3846.0,0,Nov-2017
2017-12-01,17,199000.0,4.03,12,"Columbia, SC",3689.0,0,Dec-2017
2018-01-01,18,198625.0,3.93,1,"Columbia, SC",3381.0,0,Jan-2018
2018-02-01,19,198250.0,3.83,2,"Columbia, SC",3337.0,0,Feb-2018
2018-03-01,20,199999.0,3.94,3,"Columbia, SC",3392.0,0,Mar-2018
2018-04-01,21,211950.0,3.95,4,"Columbia, SC",3449.0,0,Apr-2018
2018-05-01,22,216700.0,3.99,5,"Columbia, SC",3407.0,0,May-2018
2018-06-01,23,225000.0,4.15,6,"Columbia, SC",3426.0,0,Jun-2018
2018-07-01,24,225000.0,4.4,7,"Columbia, SC",3586.0,0,Jul-2018
2018-08-01,25,223673.0,4.46,8,"Columbia, SC",3531.0,0,Aug-2018
