date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,148000.0,3.72,7,"Corinth, MS",133.0,0,Jul-2016
2016-08-01,1,148500.0,3.73,8,"Corinth, MS",130.0,0,Aug-2016
2016-09-01,2,145000.0,3.66,9,"Corinth, MS",129.0,0,Sep-2016
2016-10-01,3,154900.0,3.64,10,"Corinth, MS",123.0,0,Oct-2016
2016-11-01,4,160425.0,3.66,11,"Corinth, MS",115.0,0,Nov-2016
2016-12-01,5,159900.0,3.48,12,"Corinth, MS",110.0,0,Dec-2016
2017-01-01,6,154925.0,3.45,1,"Corinth, MS",112.0,0,Jan-2017
2017-02-01,7,150500.0,3.5,2,"Corinth, MS",118.0,0,Feb-2017
2017-03-01,8,151200.0,3.52,3,"Corinth, MS",120.0,0,Mar-2017
2017-04-01,9,149950.0,4.03,4,"Corinth, MS",123.0,0,Apr-2017
2017-05-01,10,150000.0,4.32,5,"Corinth, MS",121.0,0,May-2017
2017-06-01,11,151250.0,4.2,6,"Corinth, MS",119.0,0,Jun-2017
2017-07-01,12,150000.0,4.19,7,"Corinth, MS",135.0,0,Jul-2017
2017-08-01,13,159225.0,4.3,8,"Corinth, MS",137.0,0,Aug-2017
2017-09-01,14,165250.0,4.1,9,"Corinth, MS",122.0,0,Sep-2017
2017-10-01,15,164925.0,4.05,10,"Corinth, MS",115.0,0,Oct-2017
2017-11-01,16,164925.0,3.94,11,"Corinth, MS",110.0,0,Nov-2017
2017-12-01,17,160000.0,4.03,12,"Corinth, MS",106.0,0,Dec-2017
2018-01-01,18,157800.0,3.93,1,"Corinth, MS",99.0,0,Jan-2018
2018-02-01,19,150000.0,3.83,2,"Corinth, MS",101.0,0,Feb-2018
2018-03-01,20,149000.0,3.94,3,"Corinth, MS",116.0,0,Mar-2018
2018-04-01,21,158000.0,3.95,4,"Corinth, MS",112.0,0,Apr-2018
2018-05-01,22,158500.0,3.99,5,"Corinth, MS",112.0,0,May-2018
2018-06-01,23,149000.0,4.15,6,"Corinth, MS",106.0,0,Jun-2018
2018-07-01,24,149450.0,4.4,7,"Corinth, MS",103.0,0,Jul-2018
2018-08-01,25,149700.0,4.46,8,"Corinth, MS",104.0,0,Aug-2018
2018-09-01,26,154000.0,4.58,9,"Corinth, MS",112.0,0,Sep-2018
2018-10-01,27,169000.0,4.66,10,"Corinth, MS",97.0,0,Oct-2018
2018-11-01,28,170600.0,4.62,11,"Corinth, MS",88.0,0,Nov-2018
2018-12-01,29,162500.0,4.54,12,"Corinth, MS",81.0,0,Dec-2018
2019-01-01,30,149700.0,4.6,1,"Corinth, MS",76.0,0,Jan-2019
2019-02-01,31,151200.0,4.72,2,"Corinth, MS",78.0,0,Feb-2019
2019-03-01,32,169746.0,4.9,3,"Corinth, MS",81.0,0,Mar-2019
2019-04-01,33,178021.0,4.94,4,"Corinth, MS",76.0,0,Apr-2019
2019-05-01,34,179475.0,4.75,5,"Corinth, MS",86.0,0,May-2019
2019-06-01,35,169950.0,4.51,6,"Corinth, MS",105.0,0,Jun-2019
2019-07-01,36,172250.0,4.41,7,"Corinth, MS",108.0,0,Jul-2019
2019-08-01,37,173941.0,4.41,8,"Corinth, MS",106.0,0,Aug-2019
2019-09-01,38,179852.0,4.2,9,"Corinth, MS",100.0,0,Sep-2019
2019-10-01,39,183793.0,4.14,10,"Corinth, MS",96.0,0,Oct-2019
2019-11-01,40,174900.0,3.84,11,"Corinth, MS",90.0,0,Nov-2019
2019-12-01,41,153675.0,3.81,12,"Corinth, MS",90.0,0,Dec-2019
2020-01-01,42,153725.0,3.75,1,"Corinth, MS",87.0,0,Jan-2020
2020-02-01,43,163000.0,3.73,2,"Corinth, MS",87.0,0,Feb-2020
2020-03-01,44,182175.0,3.78,3,"Corinth, MS",90.0,0,Mar-2020
2020-04-01,45,195500.0,3.75,4,"Corinth, MS",86.0,0,Apr-2020
2020-05-01,46,197500.0,3.74,5,"Corinth, MS",89.0,0,May-2020
2020-06-01,47,188750.0,3.72,6,"Corinth, MS",77.0,0,Jun-2020
2020-07-01,48,191500.0,3.49,7,"Corinth, MS",70.0,0,Jul-2020
2020-08-01,49,194000.0,3.65,8,"Corinth, MS",59.0,0,Aug-2020
2020-09-01,50,191000.0,3.33,9,"Corinth, MS",59.0,0,Sep-2020
2020-10-01,51,197500.0,3.28,10,"Corinth, MS",51.0,0,Oct-2020
2020-11-01,52,193125.0,3.21,11,"Corinth, MS",51.0,0,Nov-2020
2020-12-01,53,204225.0,3.07,12,"Corinth, MS",46.0,0,Dec-2020
2021-01-01,54,211500.0,2.99,1,"Corinth, MS",43.0,0,Jan-2021
2021-02-01,55,180875.0,2.93,2,"Corinth, MS",35.0,0,Feb-2021
2021-03-01,56,175225.0,2.88,3,"Corinth, MS",33.0,0,Mar-2021
2021-04-01,57,188950.0,2.84,4,"Corinth, MS",29.0,0,Apr-2021
2021-05-01,58,192450.0,2.71,5,"Corinth, MS",35.0,0,May-2021
2021-06-01,59,204950.0,2.79,6,"Corinth, MS",34.0,0,Jun-2021
2021-07-01,60,249450.0,2.97,7,"Corinth, MS",26.0,0,Jul-2021
2021-08-01,61,233750.0,3.17,8,"Corinth, MS",46.0,0,Aug-2021
2021-09-01,62,157075.0,3.18,9,"Corinth, MS",53.0,0,Sep-2021
2021-10-01,63,145000.0,3.0,10,"Corinth, MS",51.0,0,Oct-2021
2021-11-01,64,221450.0,3.02,11,"Corinth, MS",50.0,0,Nov-2021
2021-12-01,65,212675.0,2.98,12,"Corinth, MS",46.0,198607,Dec-2021
2022-01-01,66,213900.0,2.87,1,"Corinth, MS",46.0,207174,Jan-2022
2022-02-01,67,210000.0,3.01,2,"Corinth, MS",37.0,212293,Feb-2022
2022-03-01,68,149900.0,3.14,3,"Corinth, MS",35.0,205767,Mar-2022
2022-04-01,69,149900.0,3.1,4,"Corinth, MS",36.0,214472,Apr-2022
2022-05-01,70,139425.0,3.12,5,"Corinth, MS",33.0,203849,May-2022
2022-06-01,71,156175.0,3.56,6,"Corinth, MS",30.0,215475,Jun-2022
2022-07-01,72,174750.0,3.92,7,"Corinth, MS",32.0,214742,Jul-2022
2022-08-01,73,197750.0,4.67,8,"Corinth, MS",35.0,214917,Aug-2022
2022-09-01,74,190250.0,5.11,9,"Corinth, MS",43.0,219863,Sep-2022
2022-10-01,75,189450.0,5.3,10,"Corinth, MS",54.0,203062,Oct-2022
