date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,274950.0,3.72,7,"Cornelia, GA",414.0,0,Jul-2016
2016-08-01,1,294925.0,3.73,8,"Cornelia, GA",368.0,0,Aug-2016
2016-09-01,2,299000.0,3.66,9,"Cornelia, GA",352.0,0,Sep-2016
2016-10-01,3,282500.0,3.64,10,"Cornelia, GA",340.0,0,Oct-2016
2016-11-01,4,284250.0,3.66,11,"Cornelia, GA",330.0,0,Nov-2016
2016-12-01,5,279000.0,3.48,12,"Cornelia, GA",297.0,0,Dec-2016
2017-01-01,6,299600.0,3.45,1,"Cornelia, GA",264.0,0,Jan-2017
2017-02-01,7,288000.0,3.5,2,"Cornelia, GA",279.0,0,Feb-2017
2017-03-01,8,274425.0,3.52,3,"Cornelia, GA",292.0,0,Mar-2017
2017-04-01,9,314900.0,4.03,4,"Cornelia, GA",286.0,0,Apr-2017
2017-05-01,10,319900.0,4.32,5,"Cornelia, GA",283.0,0,May-2017
2017-06-01,11,321575.0,4.2,6,"Cornelia, GA",280.0,0,Jun-2017
2017-07-01,12,328250.0,4.19,7,"Cornelia, GA",278.0,0,Jul-2017
2017-08-01,13,306673.0,4.3,8,"Cornelia, GA",290.0,0,Aug-2017
2017-09-01,14,308950.0,4.1,9,"Cornelia, GA",267.0,0,Sep-2017
2017-10-01,15,313750.0,4.05,10,"Cornelia, GA",273.0,0,Oct-2017
2017-11-01,16,299900.0,3.94,11,"Cornelia, GA",274.0,0,Nov-2017
2017-12-01,17,299900.0,4.03,12,"Cornelia, GA",263.0,0,Dec-2017
2018-01-01,18,299000.0,3.93,1,"Cornelia, GA",230.0,0,Jan-2018
2018-02-01,19,303100.0,3.83,2,"Cornelia, GA",227.0,0,Feb-2018
2018-03-01,20,324900.0,3.94,3,"Cornelia, GA",228.0,0,Mar-2018
2018-04-01,21,329675.0,3.95,4,"Cornelia, GA",229.0,0,Apr-2018
2018-05-01,22,329675.0,3.99,5,"Cornelia, GA",219.0,0,May-2018
2018-06-01,23,339000.0,4.15,6,"Cornelia, GA",236.0,0,Jun-2018
2018-07-01,24,333650.0,4.4,7,"Cornelia, GA",254.0,0,Jul-2018
2018-08-01,25,328450.0,4.46,8,"Cornelia, GA",244.0,0,Aug-2018
2018-09-01,26,332450.0,4.58,9,"Cornelia, GA",261.0,0,Sep-2018
2018-10-01,27,327000.0,4.66,10,"Cornelia, GA",282.0,0,Oct-2018
2018-11-01,28,299950.0,4.62,11,"Cornelia, GA",280.0,0,Nov-2018
2018-12-01,29,296950.0,4.54,12,"Cornelia, GA",264.0,0,Dec-2018
2019-01-01,30,295475.0,4.6,1,"Cornelia, GA",242.0,0,Jan-2019
2019-02-01,31,333750.0,4.72,2,"Cornelia, GA",237.0,0,Feb-2019
2019-03-01,32,328129.0,4.9,3,"Cornelia, GA",238.0,0,Mar-2019
2019-04-01,33,303254.0,4.94,4,"Cornelia, GA",259.0,0,Apr-2019
2019-05-01,34,341625.0,4.75,5,"Cornelia, GA",263.0,0,May-2019
2019-06-01,35,339900.0,4.51,6,"Cornelia, GA",272.0,0,Jun-2019
2019-07-01,36,320999.0,4.41,7,"Cornelia, GA",275.0,0,Jul-2019
2019-08-01,37,294091.0,4.41,8,"Cornelia, GA",272.0,0,Aug-2019
2019-09-01,38,277727.0,4.2,9,"Cornelia, GA",280.0,0,Sep-2019
2019-10-01,39,284268.0,4.14,10,"Cornelia, GA",265.0,0,Oct-2019
2019-11-01,40,299900.0,3.84,11,"Cornelia, GA",233.0,0,Nov-2019
2019-12-01,41,299900.0,3.81,12,"Cornelia, GA",227.0,0,Dec-2019
2020-01-01,42,324875.0,3.75,1,"Cornelia, GA",207.0,0,Jan-2020
2020-02-01,43,329500.0,3.73,2,"Cornelia, GA",210.0,0,Feb-2020
2020-03-01,44,344950.0,3.78,3,"Cornelia, GA",195.0,0,Mar-2020
2020-04-01,45,344950.0,3.75,4,"Cornelia, GA",204.0,0,Apr-2020
2020-05-01,46,335000.0,3.74,5,"Cornelia, GA",206.0,0,May-2020
2020-06-01,47,347725.0,3.72,6,"Cornelia, GA",187.0,0,Jun-2020
2020-07-01,48,333725.0,3.49,7,"Cornelia, GA",172.0,0,Jul-2020
2020-08-01,49,329450.0,3.65,8,"Cornelia, GA",149.0,0,Aug-2020
2020-09-01,50,327175.0,3.33,9,"Cornelia, GA",135.0,0,Sep-2020
2020-10-01,51,324950.0,3.28,10,"Cornelia, GA",112.0,0,Oct-2020
2020-11-01,52,322500.0,3.21,11,"Cornelia, GA",109.0,0,Nov-2020
2020-12-01,53,299725.0,3.07,12,"Cornelia, GA",105.0,0,Dec-2020
2021-01-01,54,347400.0,2.99,1,"Cornelia, GA",95.0,0,Jan-2021
2021-02-01,55,325500.0,2.93,2,"Cornelia, GA",87.0,0,Feb-2021
2021-03-01,56,353450.0,2.88,3,"Cornelia, GA",83.0,0,Mar-2021
2021-04-01,57,359250.0,2.84,4,"Cornelia, GA",66.0,0,Apr-2021
2021-05-01,58,325000.0,2.71,5,"Cornelia, GA",69.0,0,May-2021
2021-06-01,59,338000.0,2.79,6,"Cornelia, GA",76.0,0,Jun-2021
2021-07-01,60,390000.0,2.97,7,"Cornelia, GA",73.0,0,Jul-2021
2021-08-01,61,349900.0,3.17,8,"Cornelia, GA",77.0,0,Aug-2021
2021-09-01,62,302425.0,3.18,9,"Cornelia, GA",87.0,0,Sep-2021
2021-10-01,63,314900.0,3.0,10,"Cornelia, GA",87.0,0,Oct-2021
2021-11-01,64,332000.0,3.02,11,"Cornelia, GA",87.0,0,Nov-2021
2021-12-01,65,325950.0,2.98,12,"Cornelia, GA",77.0,352440,Dec-2021
2022-01-01,66,331980.0,2.87,1,"Cornelia, GA",78.0,358842,Jan-2022
2022-02-01,67,328725.0,3.01,2,"Cornelia, GA",79.0,343552,Feb-2022
2022-03-01,68,349925.0,3.14,3,"Cornelia, GA",76.0,353955,Mar-2022
2022-04-01,69,331950.0,3.1,4,"Cornelia, GA",80.0,355454,Apr-2022
2022-05-01,70,329450.0,3.12,5,"Cornelia, GA",76.0,348583,May-2022
2022-06-01,71,346225.0,3.56,6,"Cornelia, GA",99.0,352180,Jun-2022
2022-07-01,72,369900.0,3.92,7,"Cornelia, GA",136.0,351677,Jul-2022
2022-08-01,73,367450.0,4.67,8,"Cornelia, GA",149.0,349311,Aug-2022
2022-09-01,74,351994.0,5.11,9,"Cornelia, GA",149.0,349422,Sep-2022
2022-10-01,75,349900.0,5.3,10,"Cornelia, GA",157.0,348779,Oct-2022
