date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,126325.0,3.72,7,"Coshocton, OH",132.0,0,Jul-2016
2016-08-01,1,106975.0,3.73,8,"Coshocton, OH",138.0,0,Aug-2016
2016-09-01,2,105650.0,3.66,9,"Coshocton, OH",132.0,0,Sep-2016
2016-10-01,3,98900.0,3.64,10,"Coshocton, OH",138.0,0,Oct-2016
2016-11-01,4,97950.0,3.66,11,"Coshocton, OH",129.0,0,Nov-2016
2016-12-01,5,89900.0,3.48,12,"Coshocton, OH",115.0,0,Dec-2016
2017-01-01,6,86117.0,3.45,1,"Coshocton, OH",119.0,0,Jan-2017
2017-02-01,7,86250.0,3.5,2,"Coshocton, OH",115.0,0,Feb-2017
2017-03-01,8,87375.0,3.52,3,"Coshocton, OH",119.0,0,Mar-2017
2017-04-01,9,95000.0,4.03,4,"Coshocton, OH",116.0,0,Apr-2017
2017-05-01,10,115000.0,4.32,5,"Coshocton, OH",106.0,0,May-2017
2017-06-01,11,116500.0,4.2,6,"Coshocton, OH",113.0,0,Jun-2017
2017-07-01,12,122450.0,4.19,7,"Coshocton, OH",123.0,0,Jul-2017
2017-08-01,13,118500.0,4.3,8,"Coshocton, OH",134.0,0,Aug-2017
2017-09-01,14,112500.0,4.1,9,"Coshocton, OH",134.0,0,Sep-2017
2017-10-01,15,95000.0,4.05,10,"Coshocton, OH",135.0,0,Oct-2017
2017-11-01,16,94875.0,3.94,11,"Coshocton, OH",129.0,0,Nov-2017
2017-12-01,17,99900.0,4.03,12,"Coshocton, OH",124.0,0,Dec-2017
2018-01-01,18,98250.0,3.93,1,"Coshocton, OH",105.0,0,Jan-2018
2018-02-01,19,110950.0,3.83,2,"Coshocton, OH",101.0,0,Feb-2018
2018-03-01,20,121500.0,3.94,3,"Coshocton, OH",90.0,0,Mar-2018
2018-04-01,21,128225.0,3.95,4,"Coshocton, OH",95.0,0,Apr-2018
2018-05-01,22,132825.0,3.99,5,"Coshocton, OH",106.0,0,May-2018
2018-06-01,23,99450.0,4.15,6,"Coshocton, OH",112.0,0,Jun-2018
2018-07-01,24,89725.0,4.4,7,"Coshocton, OH",132.0,0,Jul-2018
2018-08-01,25,99000.0,4.46,8,"Coshocton, OH",129.0,0,Aug-2018
2018-09-01,26,99000.0,4.58,9,"Coshocton, OH",134.0,0,Sep-2018
2018-10-01,27,109975.0,4.66,10,"Coshocton, OH",136.0,0,Oct-2018
2018-11-01,28,100125.0,4.62,11,"Coshocton, OH",128.0,0,Nov-2018
2018-12-01,29,89000.0,4.54,12,"Coshocton, OH",118.0,0,Dec-2018
2019-01-01,30,99675.0,4.6,1,"Coshocton, OH",102.0,0,Jan-2019
2019-02-01,31,108200.0,4.72,2,"Coshocton, OH",89.0,0,Feb-2019
2019-03-01,32,98940.0,4.9,3,"Coshocton, OH",84.0,0,Mar-2019
2019-04-01,33,86576.0,4.94,4,"Coshocton, OH",88.0,0,Apr-2019
2019-05-01,34,94900.0,4.75,5,"Coshocton, OH",98.0,0,May-2019
2019-06-01,35,94500.0,4.51,6,"Coshocton, OH",104.0,0,Jun-2019
2019-07-01,36,102400.0,4.41,7,"Coshocton, OH",99.0,0,Jul-2019
