date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,281250.0,3.72,7,"Crescent City, CA",154.0,0,Jul-2016
2016-08-01,1,283750.0,3.73,8,"Crescent City, CA",161.0,0,Aug-2016
2016-09-01,2,279750.0,3.66,9,"Crescent City, CA",164.0,0,Sep-2016
2016-10-01,3,275000.0,3.64,10,"Crescent City, CA",150.0,0,Oct-2016
2016-11-01,4,271250.0,3.66,11,"Crescent City, CA",139.0,0,Nov-2016
2016-12-01,5,275000.0,3.48,12,"Crescent City, CA",116.0,0,Dec-2016
2017-01-01,6,272500.0,3.45,1,"Crescent City, CA",108.0,0,Jan-2017
2017-02-01,7,279000.0,3.5,2,"Crescent City, CA",108.0,0,Feb-2017
2017-03-01,8,275000.0,3.52,3,"Crescent City, CA",116.0,0,Mar-2017
2017-04-01,9,272400.0,4.03,4,"Crescent City, CA",121.0,0,Apr-2017
2017-05-01,10,279000.0,4.32,5,"Crescent City, CA",132.0,0,May-2017
2017-06-01,11,296000.0,4.2,6,"Crescent City, CA",152.0,0,Jun-2017
2017-07-01,12,328000.0,4.19,7,"Crescent City, CA",161.0,0,Jul-2017
2017-08-01,13,322450.0,4.3,8,"Crescent City, CA",175.0,0,Aug-2017
2017-09-01,14,292000.0,4.1,9,"Crescent City, CA",168.0,0,Sep-2017
2017-10-01,15,289000.0,4.05,10,"Crescent City, CA",158.0,0,Oct-2017
2017-11-01,16,284875.0,3.94,11,"Crescent City, CA",136.0,0,Nov-2017
2017-12-01,17,285750.0,4.03,12,"Crescent City, CA",126.0,0,Dec-2017
2018-01-01,18,289000.0,3.93,1,"Crescent City, CA",116.0,0,Jan-2018
2018-02-01,19,287375.0,3.83,2,"Crescent City, CA",102.0,0,Feb-2018
2018-03-01,20,299500.0,3.94,3,"Crescent City, CA",101.0,0,Mar-2018
2018-04-01,21,297000.0,3.95,4,"Crescent City, CA",107.0,0,Apr-2018
2018-05-01,22,317125.0,3.99,5,"Crescent City, CA",125.0,0,May-2018
2018-06-01,23,315000.0,4.15,6,"Crescent City, CA",109.0,0,Jun-2018
2018-07-01,24,299000.0,4.4,7,"Crescent City, CA",114.0,0,Jul-2018
2018-08-01,25,285000.0,4.46,8,"Crescent City, CA",109.0,0,Aug-2018
2018-09-01,26,315000.0,4.58,9,"Crescent City, CA",104.0,0,Sep-2018
2018-10-01,27,298500.0,4.66,10,"Crescent City, CA",99.0,0,Oct-2018
2018-11-01,28,304750.0,4.62,11,"Crescent City, CA",95.0,0,Nov-2018
2018-12-01,29,347000.0,4.54,12,"Crescent City, CA",93.0,0,Dec-2018
2019-01-01,30,355000.0,4.6,1,"Crescent City, CA",101.0,0,Jan-2019
2019-02-01,31,355000.0,4.72,2,"Crescent City, CA",107.0,0,Feb-2019
2019-03-01,32,366429.0,4.9,3,"Crescent City, CA",100.0,0,Mar-2019
2019-04-01,33,379000.0,4.94,4,"Crescent City, CA",93.0,0,Apr-2019
2019-05-01,34,370500.0,4.75,5,"Crescent City, CA",100.0,0,May-2019
2019-06-01,35,361500.0,4.51,6,"Crescent City, CA",102.0,0,Jun-2019
2019-07-01,36,370750.0,4.41,7,"Crescent City, CA",115.0,0,Jul-2019
2019-08-01,37,360623.0,4.41,8,"Crescent City, CA",126.0,0,Aug-2019
2019-09-01,38,351807.0,4.2,9,"Crescent City, CA",135.0,0,Sep-2019
2019-10-01,39,345930.0,4.14,10,"Crescent City, CA",142.0,0,Oct-2019
2019-11-01,40,350000.0,3.84,11,"Crescent City, CA",122.0,0,Nov-2019
2019-12-01,41,382750.0,3.81,12,"Crescent City, CA",123.0,0,Dec-2019
2020-01-01,42,389000.0,3.75,1,"Crescent City, CA",106.0,0,Jan-2020
2020-02-01,43,385000.0,3.73,2,"Crescent City, CA",104.0,0,Feb-2020
2020-03-01,44,378375.0,3.78,3,"Crescent City, CA",119.0,0,Mar-2020
2020-04-01,45,382500.0,3.75,4,"Crescent City, CA",112.0,0,Apr-2020
2020-05-01,46,389000.0,3.74,5,"Crescent City, CA",108.0,0,May-2020
2020-06-01,47,393725.0,3.72,6,"Crescent City, CA",103.0,0,Jun-2020
2020-07-01,48,375000.0,3.49,7,"Crescent City, CA",142.0,0,Jul-2020
2020-08-01,49,375000.0,3.65,8,"Crescent City, CA",145.0,0,Aug-2020
2020-09-01,50,381663.0,3.33,9,"Crescent City, CA",129.0,0,Sep-2020
2020-10-01,51,391500.0,3.28,10,"Crescent City, CA",110.0,0,Oct-2020
2020-11-01,52,389000.0,3.21,11,"Crescent City, CA",110.0,0,Nov-2020
2020-12-01,53,389000.0,3.07,12,"Crescent City, CA",97.0,0,Dec-2020
2021-01-01,54,387413.0,2.99,1,"Crescent City, CA",75.0,0,Jan-2021
2021-02-01,55,361250.0,2.93,2,"Crescent City, CA",74.0,0,Feb-2021
2021-03-01,56,367250.0,2.88,3,"Crescent City, CA",73.0,0,Mar-2021
2021-04-01,57,375000.0,2.84,4,"Crescent City, CA",71.0,0,Apr-2021
2021-05-01,58,395900.0,2.71,5,"Crescent City, CA",68.0,0,May-2021
2021-06-01,59,399250.0,2.79,6,"Crescent City, CA",84.0,0,Jun-2021
2021-07-01,60,399000.0,2.97,7,"Crescent City, CA",86.0,0,Jul-2021
2021-08-01,61,425000.0,3.17,8,"Crescent City, CA",104.0,0,Aug-2021
2021-09-01,62,403175.0,3.18,9,"Crescent City, CA",102.0,0,Sep-2021
