date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,92150.0,3.72,7,"Decatur, IN",83.0,0,Jul-2016
2016-08-01,1,84800.0,3.73,8,"Decatur, IN",81.0,0,Aug-2016
2016-09-01,2,86800.0,3.66,9,"Decatur, IN",79.0,0,Sep-2016
2016-10-01,3,84900.0,3.64,10,"Decatur, IN",70.0,0,Oct-2016
2016-11-01,4,84650.0,3.66,11,"Decatur, IN",68.0,0,Nov-2016
2016-12-01,5,82200.0,3.48,12,"Decatur, IN",65.0,0,Dec-2016
2017-01-01,6,80400.0,3.45,1,"Decatur, IN",64.0,0,Jan-2017
2017-02-01,7,89200.0,3.5,2,"Decatur, IN",60.0,0,Feb-2017
2017-03-01,8,89900.0,3.52,3,"Decatur, IN",66.0,0,Mar-2017
2017-04-01,9,89900.0,4.03,4,"Decatur, IN",59.0,0,Apr-2017
2017-05-01,10,89500.0,4.32,5,"Decatur, IN",61.0,0,May-2017
2017-06-01,11,86900.0,4.2,6,"Decatur, IN",67.0,0,Jun-2017
2017-07-01,12,99900.0,4.19,7,"Decatur, IN",78.0,0,Jul-2017
2017-08-01,13,100225.0,4.3,8,"Decatur, IN",90.0,0,Aug-2017
2017-09-01,14,99900.0,4.1,9,"Decatur, IN",95.0,0,Sep-2017
2017-10-01,15,106975.0,4.05,10,"Decatur, IN",95.0,0,Oct-2017
2017-11-01,16,99700.0,3.94,11,"Decatur, IN",84.0,0,Nov-2017
2017-12-01,17,89950.0,4.03,12,"Decatur, IN",68.0,0,Dec-2017
2018-01-01,18,89300.0,3.93,1,"Decatur, IN",58.0,0,Jan-2018
2018-02-01,19,92400.0,3.83,2,"Decatur, IN",54.0,0,Feb-2018
2018-03-01,20,99500.0,3.94,3,"Decatur, IN",55.0,0,Mar-2018
2018-04-01,21,110000.0,3.95,4,"Decatur, IN",48.0,0,Apr-2018
2018-05-01,22,114000.0,3.99,5,"Decatur, IN",45.0,0,May-2018
2018-06-01,23,104250.0,4.15,6,"Decatur, IN",56.0,0,Jun-2018
2018-07-01,24,102700.0,4.4,7,"Decatur, IN",58.0,0,Jul-2018
2018-08-01,25,103175.0,4.46,8,"Decatur, IN",59.0,0,Aug-2018
2018-09-01,26,115000.0,4.58,9,"Decatur, IN",65.0,0,Sep-2018
2018-10-01,27,109900.0,4.66,10,"Decatur, IN",68.0,0,Oct-2018
2018-11-01,28,108700.0,4.62,11,"Decatur, IN",69.0,0,Nov-2018
2018-12-01,29,112900.0,4.54,12,"Decatur, IN",61.0,0,Dec-2018
