date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,124825.0,3.72,7,"DuBois, PA",328.0,0,Jul-2016
2016-08-01,1,124900.0,3.73,8,"DuBois, PA",337.0,0,Aug-2016
2016-09-01,2,121000.0,3.66,9,"DuBois, PA",335.0,0,Sep-2016
2016-10-01,3,119950.0,3.64,10,"DuBois, PA",326.0,0,Oct-2016
2016-11-01,4,112500.0,3.66,11,"DuBois, PA",306.0,0,Nov-2016
2016-12-01,5,114000.0,3.48,12,"DuBois, PA",294.0,0,Dec-2016
2017-01-01,6,112000.0,3.45,1,"DuBois, PA",284.0,0,Jan-2017
2017-02-01,7,109610.0,3.5,2,"DuBois, PA",282.0,0,Feb-2017
2017-03-01,8,112450.0,3.52,3,"DuBois, PA",294.0,0,Mar-2017
2017-04-01,9,111500.0,4.03,4,"DuBois, PA",301.0,0,Apr-2017
2017-05-01,10,114950.0,4.32,5,"DuBois, PA",301.0,0,May-2017
2017-06-01,11,119900.0,4.2,6,"DuBois, PA",297.0,0,Jun-2017
2017-07-01,12,119900.0,4.19,7,"DuBois, PA",304.0,0,Jul-2017
2017-08-01,13,120700.0,4.3,8,"DuBois, PA",312.0,0,Aug-2017
2017-09-01,14,124900.0,4.1,9,"DuBois, PA",303.0,0,Sep-2017
2017-10-01,15,123250.0,4.05,10,"DuBois, PA",306.0,0,Oct-2017
2017-11-01,16,124125.0,3.94,11,"DuBois, PA",312.0,0,Nov-2017
2017-12-01,17,120000.0,4.03,12,"DuBois, PA",292.0,0,Dec-2017
2018-01-01,18,119675.0,3.93,1,"DuBois, PA",273.0,0,Jan-2018
2018-02-01,19,119900.0,3.83,2,"DuBois, PA",259.0,0,Feb-2018
2018-03-01,20,125000.0,3.94,3,"DuBois, PA",252.0,0,Mar-2018
2018-04-01,21,130625.0,3.95,4,"DuBois, PA",264.0,0,Apr-2018
2018-05-01,22,128700.0,3.99,5,"DuBois, PA",279.0,0,May-2018
2018-06-01,23,125000.0,4.15,6,"DuBois, PA",292.0,0,Jun-2018
2018-07-01,24,119950.0,4.4,7,"DuBois, PA",293.0,0,Jul-2018
2018-08-01,25,119900.0,4.46,8,"DuBois, PA",284.0,0,Aug-2018
2018-09-01,26,119000.0,4.58,9,"DuBois, PA",286.0,0,Sep-2018
2018-10-01,27,118000.0,4.66,10,"DuBois, PA",288.0,0,Oct-2018
2018-11-01,28,119000.0,4.62,11,"DuBois, PA",295.0,0,Nov-2018
2018-12-01,29,108500.0,4.54,12,"DuBois, PA",271.0,0,Dec-2018
2019-01-01,30,100550.0,4.6,1,"DuBois, PA",242.0,0,Jan-2019
2019-02-01,31,102450.0,4.72,2,"DuBois, PA",224.0,0,Feb-2019
2019-03-01,32,107143.0,4.9,3,"DuBois, PA",230.0,0,Mar-2019
2019-04-01,33,109643.0,4.94,4,"DuBois, PA",238.0,0,Apr-2019
2019-05-01,34,108950.0,4.75,5,"DuBois, PA",238.0,0,May-2019
2019-06-01,35,114900.0,4.51,6,"DuBois, PA",238.0,0,Jun-2019
2019-07-01,36,120000.0,4.41,7,"DuBois, PA",255.0,0,Jul-2019
2019-08-01,37,119850.0,4.41,8,"DuBois, PA",263.0,0,Aug-2019
2019-09-01,38,119625.0,4.2,9,"DuBois, PA",261.0,0,Sep-2019
2019-10-01,39,119700.0,4.14,10,"DuBois, PA",258.0,0,Oct-2019
2019-11-01,40,119900.0,3.84,11,"DuBois, PA",251.0,0,Nov-2019
2019-12-01,41,119300.0,3.81,12,"DuBois, PA",238.0,0,Dec-2019
2020-01-01,42,119900.0,3.75,1,"DuBois, PA",223.0,0,Jan-2020
2020-02-01,43,114000.0,3.73,2,"DuBois, PA",218.0,0,Feb-2020
2020-03-01,44,119700.0,3.78,3,"DuBois, PA",210.0,0,Mar-2020
2020-04-01,45,119900.0,3.75,4,"DuBois, PA",191.0,0,Apr-2020
2020-05-01,46,119950.0,3.74,5,"DuBois, PA",188.0,0,May-2020
2020-06-01,47,119900.0,3.72,6,"DuBois, PA",185.0,0,Jun-2020
2020-07-01,48,129900.0,3.49,7,"DuBois, PA",172.0,0,Jul-2020
2020-08-01,49,120000.0,3.65,8,"DuBois, PA",154.0,0,Aug-2020
2020-09-01,50,129900.0,3.33,9,"DuBois, PA",149.0,0,Sep-2020
2020-10-01,51,139900.0,3.28,10,"DuBois, PA",149.0,0,Oct-2020
2020-11-01,52,125000.0,3.21,11,"DuBois, PA",142.0,0,Nov-2020
2020-12-01,53,127225.0,3.07,12,"DuBois, PA",142.0,0,Dec-2020
2021-01-01,54,120000.0,2.99,1,"DuBois, PA",138.0,0,Jan-2021
2021-02-01,55,124950.0,2.93,2,"DuBois, PA",124.0,0,Feb-2021
2021-03-01,56,122475.0,2.88,3,"DuBois, PA",111.0,0,Mar-2021
2021-04-01,57,126225.0,2.84,4,"DuBois, PA",105.0,0,Apr-2021
2021-05-01,58,109000.0,2.71,5,"DuBois, PA",106.0,0,May-2021
2021-06-01,59,125950.0,2.79,6,"DuBois, PA",105.0,0,Jun-2021
2021-07-01,60,131450.0,2.97,7,"DuBois, PA",107.0,0,Jul-2021
2021-08-01,61,132800.0,3.17,8,"DuBois, PA",121.0,0,Aug-2021
2021-09-01,62,125550.0,3.18,9,"DuBois, PA",133.0,0,Sep-2021
2021-10-01,63,133000.0,3.0,10,"DuBois, PA",130.0,0,Oct-2021
2021-11-01,64,140450.0,3.02,11,"DuBois, PA",128.0,0,Nov-2021
2021-12-01,65,128375.0,2.98,12,"DuBois, PA",116.0,127710,Dec-2021
2022-01-01,66,124950.0,2.87,1,"DuBois, PA",106.0,121864,Jan-2022
2022-02-01,67,122200.0,3.01,2,"DuBois, PA",95.0,128475,Feb-2022
2022-03-01,68,139500.0,3.14,3,"DuBois, PA",90.0,124569,Mar-2022
2022-04-01,69,155950.0,3.1,4,"DuBois, PA",89.0,128751,Apr-2022
2022-05-01,70,146200.0,3.12,5,"DuBois, PA",92.0,131605,May-2022
2022-06-01,71,148725.0,3.56,6,"DuBois, PA",106.0,129581,Jun-2022
2022-07-01,72,158900.0,3.92,7,"DuBois, PA",114.0,128983,Jul-2022
2022-08-01,73,159150.0,4.67,8,"DuBois, PA",122.0,128766,Aug-2022
2022-09-01,74,149200.0,5.11,9,"DuBois, PA",124.0,126062,Sep-2022
2022-10-01,75,141000.0,5.3,10,"DuBois, PA",126.0,129019,Oct-2022
