date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,498750.0,3.72,7,"Durango, CO",718.0,0,Jul-2016
2016-08-01,1,499000.0,3.73,8,"Durango, CO",724.0,0,Aug-2016
2016-09-01,2,499000.0,3.66,9,"Durango, CO",690.0,0,Sep-2016
2016-10-01,3,499000.0,3.64,10,"Durango, CO",642.0,0,Oct-2016
2016-11-01,4,492450.0,3.66,11,"Durango, CO",573.0,0,Nov-2016
2016-12-01,5,482450.0,3.48,12,"Durango, CO",522.0,0,Dec-2016
2017-01-01,6,478450.0,3.45,1,"Durango, CO",454.0,0,Jan-2017
2017-02-01,7,464675.0,3.5,2,"Durango, CO",446.0,0,Feb-2017
2017-03-01,8,462450.0,3.52,3,"Durango, CO",474.0,0,Mar-2017
2017-04-01,9,475000.0,4.03,4,"Durango, CO",529.0,0,Apr-2017
2017-05-01,10,506975.0,4.32,5,"Durango, CO",567.0,0,May-2017
2017-06-01,11,506250.0,4.2,6,"Durango, CO",629.0,0,Jun-2017
2017-07-01,12,507450.0,4.19,7,"Durango, CO",675.0,0,Jul-2017
2017-08-01,13,513725.0,4.3,8,"Durango, CO",683.0,0,Aug-2017
2017-09-01,14,499375.0,4.1,9,"Durango, CO",707.0,0,Sep-2017
2017-10-01,15,549450.0,4.05,10,"Durango, CO",679.0,0,Oct-2017
2017-11-01,16,555000.0,3.94,11,"Durango, CO",626.0,0,Nov-2017
2017-12-01,17,549900.0,4.03,12,"Durango, CO",539.0,0,Dec-2017
2018-01-01,18,525750.0,3.93,1,"Durango, CO",474.0,0,Jan-2018
2018-02-01,19,547750.0,3.83,2,"Durango, CO",461.0,0,Feb-2018
2018-03-01,20,549000.0,3.94,3,"Durango, CO",496.0,0,Mar-2018
2018-04-01,21,554500.0,3.95,4,"Durango, CO",538.0,0,Apr-2018
2018-05-01,22,549000.0,3.99,5,"Durango, CO",589.0,0,May-2018
2018-06-01,23,549900.0,4.15,6,"Durango, CO",658.0,0,Jun-2018
2018-07-01,24,549000.0,4.4,7,"Durango, CO",695.0,0,Jul-2018
2018-08-01,25,515250.0,4.46,8,"Durango, CO",718.0,0,Aug-2018
2018-09-01,26,522900.0,4.58,9,"Durango, CO",705.0,0,Sep-2018
2018-10-01,27,524725.0,4.66,10,"Durango, CO",651.0,0,Oct-2018
2018-11-01,28,520000.0,4.62,11,"Durango, CO",618.0,0,Nov-2018
2018-12-01,29,524400.0,4.54,12,"Durango, CO",546.0,0,Dec-2018
2019-01-01,30,522450.0,4.6,1,"Durango, CO",476.0,0,Jan-2019
2019-02-01,31,519925.0,4.72,2,"Durango, CO",465.0,0,Feb-2019
2019-03-01,32,522043.0,4.9,3,"Durango, CO",476.0,0,Mar-2019
2019-04-01,33,524950.0,4.94,4,"Durango, CO",497.0,0,Apr-2019
2019-05-01,34,542450.0,4.75,5,"Durango, CO",626.0,0,May-2019
2019-06-01,35,550000.0,4.51,6,"Durango, CO",690.0,0,Jun-2019
2019-07-01,36,549000.0,4.41,7,"Durango, CO",734.0,0,Jul-2019
2019-08-01,37,553636.0,4.41,8,"Durango, CO",735.0,0,Aug-2019
2019-09-01,38,560591.0,4.2,9,"Durango, CO",724.0,0,Sep-2019
2019-10-01,39,559477.0,4.14,10,"Durango, CO",709.0,0,Oct-2019
2019-11-01,40,550000.0,3.84,11,"Durango, CO",632.0,0,Nov-2019
2019-12-01,41,549663.0,3.81,12,"Durango, CO",585.0,0,Dec-2019
2020-01-01,42,539225.0,3.75,1,"Durango, CO",512.0,0,Jan-2020
2020-02-01,43,535000.0,3.73,2,"Durango, CO",497.0,0,Feb-2020
2020-03-01,44,549000.0,3.78,3,"Durango, CO",499.0,0,Mar-2020
2020-04-01,45,559000.0,3.75,4,"Durango, CO",452.0,0,Apr-2020
2020-05-01,46,549900.0,3.74,5,"Durango, CO",497.0,0,May-2020
2020-06-01,47,580500.0,3.72,6,"Durango, CO",520.0,0,Jun-2020
2020-07-01,48,591250.0,3.49,7,"Durango, CO",489.0,0,Jul-2020
2020-08-01,49,599875.0,3.65,8,"Durango, CO",430.0,0,Aug-2020
2020-09-01,50,643000.0,3.33,9,"Durango, CO",335.0,0,Sep-2020
2020-10-01,51,659900.0,3.28,10,"Durango, CO",291.0,0,Oct-2020
2020-11-01,52,678663.0,3.21,11,"Durango, CO",246.0,0,Nov-2020
2020-12-01,53,657475.0,3.07,12,"Durango, CO",204.0,0,Dec-2020
2021-01-01,54,689450.0,2.99,1,"Durango, CO",163.0,0,Jan-2021
2021-02-01,55,730000.0,2.93,2,"Durango, CO",138.0,0,Feb-2021
2021-03-01,56,777000.0,2.88,3,"Durango, CO",136.0,0,Mar-2021
2021-04-01,57,838000.0,2.84,4,"Durango, CO",133.0,0,Apr-2021
2021-05-01,58,899000.0,2.71,5,"Durango, CO",147.0,0,May-2021
2021-06-01,59,964500.0,2.79,6,"Durango, CO",158.0,0,Jun-2021
2021-07-01,60,875000.0,2.97,7,"Durango, CO",184.0,0,Jul-2021
2021-08-01,61,837500.0,3.17,8,"Durango, CO",189.0,0,Aug-2021
2021-09-01,62,862500.0,3.18,9,"Durango, CO",180.0,0,Sep-2021
2021-10-01,63,925000.0,3.0,10,"Durango, CO",149.0,0,Oct-2021
2021-11-01,64,925000.0,3.02,11,"Durango, CO",135.0,0,Nov-2021
2021-12-01,65,943250.0,2.98,12,"Durango, CO",117.0,1074542,Dec-2021
2022-01-01,66,896500.0,2.87,1,"Durango, CO",101.0,1075641,Jan-2022
2022-02-01,67,844500.0,3.01,2,"Durango, CO",104.0,1074162,Feb-2022
2022-03-01,68,787500.0,3.14,3,"Durango, CO",102.0,1076957,Mar-2022
2022-04-01,69,762500.0,3.1,4,"Durango, CO",115.0,1076584,Apr-2022
2022-05-01,70,780750.0,3.12,5,"Durango, CO",169.0,1074193,May-2022
2022-06-01,71,895000.0,3.56,6,"Durango, CO",218.0,1073972,Jun-2022
2022-07-01,72,875000.0,3.92,7,"Durango, CO",261.0,1069171,Jul-2022
2022-08-01,73,874500.0,4.67,8,"Durango, CO",267.0,1062195,Aug-2022
