date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,219800.0,3.72,7,"Fallon, NV",75.0,0,Jul-2016
2016-08-01,1,218325.0,3.73,8,"Fallon, NV",81.0,0,Aug-2016
2016-09-01,2,223850.0,3.66,9,"Fallon, NV",78.0,0,Sep-2016
2016-10-01,3,219500.0,3.64,10,"Fallon, NV",91.0,0,Oct-2016
2016-11-01,4,229225.0,3.66,11,"Fallon, NV",87.0,0,Nov-2016
2016-12-01,5,229000.0,3.48,12,"Fallon, NV",76.0,0,Dec-2016
2017-01-01,6,230388.0,3.45,1,"Fallon, NV",77.0,0,Jan-2017
2017-02-01,7,231475.0,3.5,2,"Fallon, NV",64.0,0,Feb-2017
2017-03-01,8,233500.0,3.52,3,"Fallon, NV",69.0,0,Mar-2017
2017-04-01,9,225000.0,4.03,4,"Fallon, NV",67.0,0,Apr-2017
2017-05-01,10,232175.0,4.32,5,"Fallon, NV",74.0,0,May-2017
2017-06-01,11,219250.0,4.2,6,"Fallon, NV",64.0,0,Jun-2017
2017-07-01,12,230000.0,4.19,7,"Fallon, NV",50.0,0,Jul-2017
2017-08-01,13,249450.0,4.3,8,"Fallon, NV",48.0,0,Aug-2017
2017-09-01,14,232500.0,4.1,9,"Fallon, NV",52.0,0,Sep-2017
2017-10-01,15,246900.0,4.05,10,"Fallon, NV",51.0,0,Oct-2017
2017-11-01,16,256600.0,3.94,11,"Fallon, NV",48.0,0,Nov-2017
2017-12-01,17,253950.0,4.03,12,"Fallon, NV",47.0,0,Dec-2017
2018-01-01,18,243000.0,3.93,1,"Fallon, NV",39.0,0,Jan-2018
2018-02-01,19,250000.0,3.83,2,"Fallon, NV",29.0,0,Feb-2018
2018-03-01,20,285000.0,3.94,3,"Fallon, NV",22.0,0,Mar-2018
2018-04-01,21,281700.0,3.95,4,"Fallon, NV",30.0,0,Apr-2018
2018-05-01,22,263750.0,3.99,5,"Fallon, NV",41.0,0,May-2018
2018-06-01,23,271450.0,4.15,6,"Fallon, NV",44.0,0,Jun-2018
2018-07-01,24,265000.0,4.4,7,"Fallon, NV",50.0,0,Jul-2018
2018-08-01,25,269900.0,4.46,8,"Fallon, NV",59.0,0,Aug-2018
2018-09-01,26,262000.0,4.58,9,"Fallon, NV",71.0,0,Sep-2018
2018-10-01,27,269900.0,4.66,10,"Fallon, NV",81.0,0,Oct-2018
2018-11-01,28,269900.0,4.62,11,"Fallon, NV",80.0,0,Nov-2018
2018-12-01,29,270000.0,4.54,12,"Fallon, NV",76.0,0,Dec-2018
2019-01-01,30,271250.0,4.6,1,"Fallon, NV",75.0,0,Jan-2019
2019-02-01,31,269925.0,4.72,2,"Fallon, NV",77.0,0,Feb-2019
2019-03-01,32,268964.0,4.9,3,"Fallon, NV",72.0,0,Mar-2019
2019-04-01,33,271375.0,4.94,4,"Fallon, NV",66.0,0,Apr-2019
2019-05-01,34,276350.0,4.75,5,"Fallon, NV",61.0,0,May-2019
2019-06-01,35,279875.0,4.51,6,"Fallon, NV",71.0,0,Jun-2019
2019-07-01,36,283650.0,4.41,7,"Fallon, NV",74.0,0,Jul-2019
2019-08-01,37,285527.0,4.41,8,"Fallon, NV",77.0,0,Aug-2019
2019-09-01,38,286468.0,4.2,9,"Fallon, NV",77.0,0,Sep-2019
2019-10-01,39,288350.0,4.14,10,"Fallon, NV",76.0,0,Oct-2019
2019-11-01,40,280000.0,3.84,11,"Fallon, NV",67.0,0,Nov-2019
2019-12-01,41,289800.0,3.81,12,"Fallon, NV",59.0,0,Dec-2019
2020-01-01,42,294700.0,3.75,1,"Fallon, NV",58.0,0,Jan-2020
2020-02-01,43,294900.0,3.73,2,"Fallon, NV",53.0,0,Feb-2020
2020-03-01,44,296500.0,3.78,3,"Fallon, NV",69.0,0,Mar-2020
2020-04-01,45,298975.0,3.75,4,"Fallon, NV",66.0,0,Apr-2020
2020-05-01,46,294900.0,3.74,5,"Fallon, NV",60.0,0,May-2020
2020-06-01,47,299500.0,3.72,6,"Fallon, NV",38.0,0,Jun-2020
2020-07-01,48,306125.0,3.49,7,"Fallon, NV",34.0,0,Jul-2020
2020-08-01,49,349900.0,3.65,8,"Fallon, NV",26.0,0,Aug-2020
2020-09-01,50,338000.0,3.33,9,"Fallon, NV",22.0,0,Sep-2020
2020-10-01,51,301900.0,3.28,10,"Fallon, NV",17.0,0,Oct-2020
2020-11-01,52,295425.0,3.21,11,"Fallon, NV",17.0,0,Nov-2020
2020-12-01,53,332500.0,3.07,12,"Fallon, NV",23.0,0,Dec-2020
2021-01-01,54,298250.0,2.99,1,"Fallon, NV",23.0,0,Jan-2021
2021-02-01,55,322500.0,2.93,2,"Fallon, NV",18.0,0,Feb-2021
2021-03-01,56,297436.0,2.88,3,"Fallon, NV",19.0,0,Mar-2021
2021-04-01,57,289950.0,2.84,4,"Fallon, NV",29.0,0,Apr-2021
2021-05-01,58,330000.0,2.71,5,"Fallon, NV",23.0,0,May-2021
2021-06-01,59,336000.0,2.79,6,"Fallon, NV",21.0,0,Jun-2021
2021-07-01,60,362500.0,2.97,7,"Fallon, NV",27.0,0,Jul-2021
2021-08-01,61,390000.0,3.17,8,"Fallon, NV",36.0,0,Aug-2021
2021-09-01,62,384500.0,3.18,9,"Fallon, NV",31.0,0,Sep-2021
2021-10-01,63,395000.0,3.0,10,"Fallon, NV",29.0,0,Oct-2021
2021-11-01,64,352500.0,3.02,11,"Fallon, NV",31.0,0,Nov-2021
2021-12-01,65,359750.0,2.98,12,"Fallon, NV",28.0,365409,Dec-2021
2022-01-01,66,367250.0,2.87,1,"Fallon, NV",24.0,367426,Jan-2022
2022-02-01,67,377300.0,3.01,2,"Fallon, NV",25.0,367457,Feb-2022
2022-03-01,68,395000.0,3.14,3,"Fallon, NV",22.0,367084,Mar-2022
2022-04-01,69,379950.0,3.1,4,"Fallon, NV",36.0,367521,Apr-2022
2022-05-01,70,394500.0,3.12,5,"Fallon, NV",47.0,367931,May-2022
2022-06-01,71,399450.0,3.56,6,"Fallon, NV",60.0,371965,Jun-2022
2022-07-01,72,395000.0,3.92,7,"Fallon, NV",77.0,369144,Jul-2022
2022-08-01,73,387350.0,4.67,8,"Fallon, NV",77.0,373392,Aug-2022
2022-09-01,74,388337.0,5.11,9,"Fallon, NV",74.0,373080,Sep-2022
2022-10-01,75,369990.0,5.3,10,"Fallon, NV",84.0,372790,Oct-2022
