date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,245600.0,3.72,7,"Fernley, NV",263.0,0,Jul-2016
2016-08-01,1,257375.0,3.73,8,"Fernley, NV",271.0,0,Aug-2016
2016-09-01,2,250350.0,3.66,9,"Fernley, NV",282.0,0,Sep-2016
2016-10-01,3,263750.0,3.64,10,"Fernley, NV",262.0,0,Oct-2016
2016-11-01,4,268975.0,3.66,11,"Fernley, NV",250.0,0,Nov-2016
2016-12-01,5,269700.0,3.48,12,"Fernley, NV",224.0,0,Dec-2016
2017-01-01,6,267640.0,3.45,1,"Fernley, NV",211.0,0,Jan-2017
2017-02-01,7,269450.0,3.5,2,"Fernley, NV",203.0,0,Feb-2017
2017-03-01,8,278050.0,3.52,3,"Fernley, NV",203.0,0,Mar-2017
2017-04-01,9,279900.0,4.03,4,"Fernley, NV",194.0,0,Apr-2017
2017-05-01,10,298225.0,4.32,5,"Fernley, NV",180.0,0,May-2017
2017-06-01,11,298500.0,4.2,6,"Fernley, NV",179.0,0,Jun-2017
2017-07-01,12,314900.0,4.19,7,"Fernley, NV",188.0,0,Jul-2017
2017-08-01,13,303168.0,4.3,8,"Fernley, NV",206.0,0,Aug-2017
2017-09-01,14,299000.0,4.1,9,"Fernley, NV",212.0,0,Sep-2017
2017-10-01,15,299700.0,4.05,10,"Fernley, NV",213.0,0,Oct-2017
2017-11-01,16,294875.0,3.94,11,"Fernley, NV",238.0,0,Nov-2017
2017-12-01,17,289900.0,4.03,12,"Fernley, NV",221.0,0,Dec-2017
2018-01-01,18,303578.0,3.93,1,"Fernley, NV",195.0,0,Jan-2018
2018-02-01,19,310950.0,3.83,2,"Fernley, NV",163.0,0,Feb-2018
2018-03-01,20,307900.0,3.94,3,"Fernley, NV",170.0,0,Mar-2018
2018-04-01,21,312104.0,3.95,4,"Fernley, NV",164.0,0,Apr-2018
2018-05-01,22,309890.0,3.99,5,"Fernley, NV",170.0,0,May-2018
2018-06-01,23,302450.0,4.15,6,"Fernley, NV",189.0,0,Jun-2018
2018-07-01,24,299900.0,4.4,7,"Fernley, NV",215.0,0,Jul-2018
2018-08-01,25,297000.0,4.46,8,"Fernley, NV",220.0,0,Aug-2018
2018-09-01,26,299250.0,4.58,9,"Fernley, NV",245.0,0,Sep-2018
2018-10-01,27,298500.0,4.66,10,"Fernley, NV",248.0,0,Oct-2018
2018-11-01,28,299625.0,4.62,11,"Fernley, NV",221.0,0,Nov-2018
2018-12-01,29,300000.0,4.54,12,"Fernley, NV",208.0,0,Dec-2018
2019-01-01,30,304950.0,4.6,1,"Fernley, NV",197.0,0,Jan-2019
2019-02-01,31,322425.0,4.72,2,"Fernley, NV",191.0,0,Feb-2019
2019-03-01,32,330943.0,4.9,3,"Fernley, NV",201.0,0,Mar-2019
2019-04-01,33,339000.0,4.94,4,"Fernley, NV",213.0,0,Apr-2019
2019-05-01,34,338940.0,4.75,5,"Fernley, NV",236.0,0,May-2019
2019-06-01,35,339900.0,4.51,6,"Fernley, NV",242.0,0,Jun-2019
2019-07-01,36,340250.0,4.41,7,"Fernley, NV",270.0,0,Jul-2019
2019-08-01,37,338291.0,4.41,8,"Fernley, NV",272.0,0,Aug-2019
2019-09-01,38,334977.0,4.2,9,"Fernley, NV",269.0,0,Sep-2019
2019-10-01,39,333254.0,4.14,10,"Fernley, NV",265.0,0,Oct-2019
2019-11-01,40,339450.0,3.84,11,"Fernley, NV",243.0,0,Nov-2019
2019-12-01,41,334250.0,3.81,12,"Fernley, NV",219.0,0,Dec-2019
2020-01-01,42,334900.0,3.75,1,"Fernley, NV",190.0,0,Jan-2020
2020-02-01,43,340000.0,3.73,2,"Fernley, NV",185.0,0,Feb-2020
2020-03-01,44,340825.0,3.78,3,"Fernley, NV",189.0,0,Mar-2020
2020-04-01,45,331200.0,3.75,4,"Fernley, NV",206.0,0,Apr-2020
2020-05-01,46,338799.0,3.74,5,"Fernley, NV",176.0,0,May-2020
2020-06-01,47,349999.0,3.72,6,"Fernley, NV",163.0,0,Jun-2020
2020-07-01,48,360500.0,3.49,7,"Fernley, NV",157.0,0,Jul-2020
2020-08-01,49,362700.0,3.65,8,"Fernley, NV",136.0,0,Aug-2020
2020-09-01,50,380269.0,3.33,9,"Fernley, NV",127.0,0,Sep-2020
2020-10-01,51,359900.0,3.28,10,"Fernley, NV",122.0,0,Oct-2020
2020-11-01,52,354975.0,3.21,11,"Fernley, NV",92.0,0,Nov-2020
2020-12-01,53,347537.0,3.07,12,"Fernley, NV",76.0,0,Dec-2020
2021-01-01,54,334900.0,2.99,1,"Fernley, NV",65.0,0,Jan-2021
2021-02-01,55,352488.0,2.93,2,"Fernley, NV",48.0,0,Feb-2021
2021-03-01,56,332000.0,2.88,3,"Fernley, NV",47.0,0,Mar-2021
