date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,156450.0,3.72,7,"Florence, SC",1041.0,0,Jul-2016
2016-08-01,1,154900.0,3.73,8,"Florence, SC",1019.0,0,Aug-2016
2016-09-01,2,155725.0,3.66,9,"Florence, SC",976.0,0,Sep-2016
2016-10-01,3,157000.0,3.64,10,"Florence, SC",790.0,0,Oct-2016
2016-11-01,4,153153.0,3.66,11,"Florence, SC",767.0,0,Nov-2016
2016-12-01,5,149900.0,3.48,12,"Florence, SC",695.0,0,Dec-2016
2017-01-01,6,155375.0,3.45,1,"Florence, SC",659.0,0,Jan-2017
2017-02-01,7,158575.0,3.5,2,"Florence, SC",656.0,0,Feb-2017
2017-03-01,8,159450.0,3.52,3,"Florence, SC",662.0,0,Mar-2017
2017-04-01,9,163303.0,4.03,4,"Florence, SC",658.0,0,Apr-2017
2017-05-01,10,165947.0,4.32,5,"Florence, SC",675.0,0,May-2017
2017-06-01,11,167947.0,4.2,6,"Florence, SC",682.0,0,Jun-2017
2017-07-01,12,174900.0,4.19,7,"Florence, SC",672.0,0,Jul-2017
2017-08-01,13,172400.0,4.3,8,"Florence, SC",674.0,0,Aug-2017
2017-09-01,14,167950.0,4.1,9,"Florence, SC",672.0,0,Sep-2017
2017-10-01,15,171800.0,4.05,10,"Florence, SC",646.0,0,Oct-2017
2017-11-01,16,169900.0,3.94,11,"Florence, SC",629.0,0,Nov-2017
2017-12-01,17,164500.0,4.03,12,"Florence, SC",607.0,0,Dec-2017
2018-01-01,18,159900.0,3.93,1,"Florence, SC",606.0,0,Jan-2018
2018-02-01,19,166750.0,3.83,2,"Florence, SC",618.0,0,Feb-2018
2018-03-01,20,173550.0,3.94,3,"Florence, SC",651.0,0,Mar-2018
2018-04-01,21,170000.0,3.95,4,"Florence, SC",670.0,0,Apr-2018
2018-05-01,22,179900.0,3.99,5,"Florence, SC",703.0,0,May-2018
2018-06-01,23,177450.0,4.15,6,"Florence, SC",714.0,0,Jun-2018
2018-07-01,24,177575.0,4.4,7,"Florence, SC",741.0,0,Jul-2018
2018-08-01,25,175625.0,4.46,8,"Florence, SC",744.0,0,Aug-2018
