date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,224950.0,3.72,7,"Forest City, NC",620.0,0,Jul-2016
2016-08-01,1,225000.0,3.73,8,"Forest City, NC",586.0,0,Aug-2016
2016-09-01,2,219975.0,3.66,9,"Forest City, NC",597.0,0,Sep-2016
2016-10-01,3,229000.0,3.64,10,"Forest City, NC",592.0,0,Oct-2016
2016-11-01,4,230725.0,3.66,11,"Forest City, NC",563.0,0,Nov-2016
2016-12-01,5,220000.0,3.48,12,"Forest City, NC",503.0,0,Dec-2016
2017-01-01,6,212450.0,3.45,1,"Forest City, NC",442.0,0,Jan-2017
2017-02-01,7,217400.0,3.5,2,"Forest City, NC",438.0,0,Feb-2017
2017-03-01,8,217225.0,3.52,3,"Forest City, NC",465.0,0,Mar-2017
2017-04-01,9,224900.0,4.03,4,"Forest City, NC",486.0,0,Apr-2017
2017-05-01,10,239900.0,4.32,5,"Forest City, NC",491.0,0,May-2017
2017-06-01,11,247953.0,4.2,6,"Forest City, NC",502.0,0,Jun-2017
2017-07-01,12,249500.0,4.19,7,"Forest City, NC",505.0,0,Jul-2017
2017-08-01,13,254500.0,4.3,8,"Forest City, NC",497.0,0,Aug-2017
2017-09-01,14,259000.0,4.1,9,"Forest City, NC",505.0,0,Sep-2017
2017-10-01,15,265000.0,4.05,10,"Forest City, NC",485.0,0,Oct-2017
2017-11-01,16,259000.0,3.94,11,"Forest City, NC",454.0,0,Nov-2017
2017-12-01,17,250000.0,4.03,12,"Forest City, NC",414.0,0,Dec-2017
2018-01-01,18,229900.0,3.93,1,"Forest City, NC",423.0,0,Jan-2018
2018-02-01,19,229000.0,3.83,2,"Forest City, NC",398.0,0,Feb-2018
2018-03-01,20,229900.0,3.94,3,"Forest City, NC",409.0,0,Mar-2018
2018-04-01,21,247175.0,3.95,4,"Forest City, NC",431.0,0,Apr-2018
2018-05-01,22,259575.0,3.99,5,"Forest City, NC",461.0,0,May-2018
2018-06-01,23,295000.0,4.15,6,"Forest City, NC",426.0,0,Jun-2018
2018-07-01,24,293000.0,4.4,7,"Forest City, NC",465.0,0,Jul-2018
2018-08-01,25,299900.0,4.46,8,"Forest City, NC",465.0,0,Aug-2018
2018-09-01,26,299900.0,4.58,9,"Forest City, NC",496.0,0,Sep-2018
2018-10-01,27,299225.0,4.66,10,"Forest City, NC",482.0,0,Oct-2018
2018-11-01,28,299000.0,4.62,11,"Forest City, NC",479.0,0,Nov-2018
2018-12-01,29,299900.0,4.54,12,"Forest City, NC",444.0,0,Dec-2018
2019-01-01,30,299450.0,4.6,1,"Forest City, NC",420.0,0,Jan-2019
2019-02-01,31,299900.0,4.72,2,"Forest City, NC",414.0,0,Feb-2019
2019-03-01,32,299386.0,4.9,3,"Forest City, NC",437.0,0,Mar-2019
2019-04-01,33,299900.0,4.94,4,"Forest City, NC",453.0,0,Apr-2019
2019-05-01,34,299900.0,4.75,5,"Forest City, NC",485.0,0,May-2019
2019-06-01,35,300000.0,4.51,6,"Forest City, NC",507.0,0,Jun-2019
2019-07-01,36,312500.0,4.41,7,"Forest City, NC",492.0,0,Jul-2019
2019-08-01,37,314482.0,4.41,8,"Forest City, NC",478.0,0,Aug-2019
2019-09-01,38,306280.0,4.2,9,"Forest City, NC",467.0,0,Sep-2019
2019-10-01,39,299450.0,4.14,10,"Forest City, NC",462.0,0,Oct-2019
2019-11-01,40,297000.0,3.84,11,"Forest City, NC",434.0,0,Nov-2019
2019-12-01,41,287475.0,3.81,12,"Forest City, NC",389.0,0,Dec-2019
2020-01-01,42,298000.0,3.75,1,"Forest City, NC",310.0,0,Jan-2020
2020-02-01,43,294950.0,3.73,2,"Forest City, NC",293.0,0,Feb-2020
2020-03-01,44,299000.0,3.78,3,"Forest City, NC",294.0,0,Mar-2020
2020-04-01,45,295500.0,3.75,4,"Forest City, NC",294.0,0,Apr-2020
2020-05-01,46,325000.0,3.74,5,"Forest City, NC",274.0,0,May-2020
2020-06-01,47,349800.0,3.72,6,"Forest City, NC",254.0,0,Jun-2020
2020-07-01,48,349900.0,3.49,7,"Forest City, NC",231.0,0,Jul-2020
2020-08-01,49,349000.0,3.65,8,"Forest City, NC",201.0,0,Aug-2020
2020-09-01,50,346997.0,3.33,9,"Forest City, NC",164.0,0,Sep-2020
2020-10-01,51,309000.0,3.28,10,"Forest City, NC",158.0,0,Oct-2020
2020-11-01,52,298625.0,3.21,11,"Forest City, NC",151.0,0,Nov-2020
2020-12-01,53,294725.0,3.07,12,"Forest City, NC",129.0,0,Dec-2020
2021-01-01,54,284000.0,2.99,1,"Forest City, NC",110.0,0,Jan-2021
