date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,149200.0,3.72,7,"Gallup, NM",119.0,0,Jul-2016
2016-08-01,1,150000.0,3.73,8,"Gallup, NM",110.0,0,Aug-2016
2016-09-01,2,151950.0,3.66,9,"Gallup, NM",104.0,0,Sep-2016
2016-10-01,3,149900.0,3.64,10,"Gallup, NM",99.0,0,Oct-2016
2016-11-01,4,147625.0,3.66,11,"Gallup, NM",95.0,0,Nov-2016
2016-12-01,5,146000.0,3.48,12,"Gallup, NM",88.0,0,Dec-2016
2017-01-01,6,144000.0,3.45,1,"Gallup, NM",92.0,0,Jan-2017
2017-02-01,7,143500.0,3.5,2,"Gallup, NM",86.0,0,Feb-2017
2017-03-01,8,147450.0,3.52,3,"Gallup, NM",79.0,0,Mar-2017
2017-04-01,9,160000.0,4.03,4,"Gallup, NM",87.0,0,Apr-2017
2017-05-01,10,163575.0,4.32,5,"Gallup, NM",97.0,0,May-2017
2017-06-01,11,166500.0,4.2,6,"Gallup, NM",100.0,0,Jun-2017
2017-07-01,12,165000.0,4.19,7,"Gallup, NM",112.0,0,Jul-2017
2017-08-01,13,155950.0,4.3,8,"Gallup, NM",116.0,0,Aug-2017
2017-09-01,14,149950.0,4.1,9,"Gallup, NM",111.0,0,Sep-2017
2017-10-01,15,149900.0,4.05,10,"Gallup, NM",101.0,0,Oct-2017
2017-11-01,16,154000.0,3.94,11,"Gallup, NM",92.0,0,Nov-2017
2017-12-01,17,156875.0,4.03,12,"Gallup, NM",88.0,0,Dec-2017
2018-01-01,18,158500.0,3.93,1,"Gallup, NM",73.0,0,Jan-2018
2018-02-01,19,149000.0,3.83,2,"Gallup, NM",74.0,0,Feb-2018
2018-03-01,20,140000.0,3.94,3,"Gallup, NM",76.0,0,Mar-2018
2018-04-01,21,147975.0,3.95,4,"Gallup, NM",79.0,0,Apr-2018
2018-05-01,22,147000.0,3.99,5,"Gallup, NM",92.0,0,May-2018
2018-06-01,23,149950.0,4.15,6,"Gallup, NM",94.0,0,Jun-2018
2018-07-01,24,145000.0,4.4,7,"Gallup, NM",95.0,0,Jul-2018
2018-08-01,25,145000.0,4.46,8,"Gallup, NM",92.0,0,Aug-2018
2018-09-01,26,152000.0,4.58,9,"Gallup, NM",97.0,0,Sep-2018
2018-10-01,27,146950.0,4.66,10,"Gallup, NM",94.0,0,Oct-2018
2018-11-01,28,138500.0,4.62,11,"Gallup, NM",83.0,0,Nov-2018
2018-12-01,29,137800.0,4.54,12,"Gallup, NM",79.0,0,Dec-2018
2019-01-01,30,135000.0,4.6,1,"Gallup, NM",70.0,0,Jan-2019
2019-02-01,31,135000.0,4.72,2,"Gallup, NM",68.0,0,Feb-2019
2019-03-01,32,135000.0,4.9,3,"Gallup, NM",74.0,0,Mar-2019
2019-04-01,33,135000.0,4.94,4,"Gallup, NM",77.0,0,Apr-2019
2019-05-01,34,139475.0,4.75,5,"Gallup, NM",85.0,0,May-2019
2019-06-01,35,139900.0,4.51,6,"Gallup, NM",86.0,0,Jun-2019
2019-07-01,36,146675.0,4.41,7,"Gallup, NM",77.0,0,Jul-2019
2019-08-01,37,143473.0,4.41,8,"Gallup, NM",76.0,0,Aug-2019
2019-09-01,38,144332.0,4.2,9,"Gallup, NM",76.0,0,Sep-2019
2019-10-01,39,146000.0,4.14,10,"Gallup, NM",75.0,0,Oct-2019
2019-11-01,40,165000.0,3.84,11,"Gallup, NM",70.0,0,Nov-2019
2019-12-01,41,166875.0,3.81,12,"Gallup, NM",66.0,0,Dec-2019
2020-01-01,42,171500.0,3.75,1,"Gallup, NM",62.0,0,Jan-2020
2020-02-01,43,162000.0,3.73,2,"Gallup, NM",60.0,0,Feb-2020
2020-03-01,44,171500.0,3.78,3,"Gallup, NM",58.0,0,Mar-2020
2020-04-01,45,181230.0,3.75,4,"Gallup, NM",56.0,0,Apr-2020
2020-05-01,46,175000.0,3.74,5,"Gallup, NM",57.0,0,May-2020
2020-06-01,47,156000.0,3.72,6,"Gallup, NM",46.0,0,Jun-2020
2020-07-01,48,156500.0,3.49,7,"Gallup, NM",46.0,0,Jul-2020
2020-08-01,49,169550.0,3.65,8,"Gallup, NM",55.0,0,Aug-2020
2020-09-01,50,156750.0,3.33,9,"Gallup, NM",53.0,0,Sep-2020
2020-10-01,51,172500.0,3.28,10,"Gallup, NM",54.0,0,Oct-2020
2020-11-01,52,173875.0,3.21,11,"Gallup, NM",61.0,0,Nov-2020
2020-12-01,53,187175.0,3.07,12,"Gallup, NM",61.0,0,Dec-2020
2021-01-01,54,176000.0,2.99,1,"Gallup, NM",50.0,0,Jan-2021
2021-02-01,55,189213.0,2.93,2,"Gallup, NM",43.0,0,Feb-2021
2021-03-01,56,186275.0,2.88,3,"Gallup, NM",42.0,0,Mar-2021
2021-04-01,57,195363.0,2.84,4,"Gallup, NM",39.0,0,Apr-2021
2021-05-01,58,214900.0,2.71,5,"Gallup, NM",41.0,0,May-2021
2021-06-01,59,196500.0,2.79,6,"Gallup, NM",39.0,0,Jun-2021
2021-07-01,60,189000.0,2.97,7,"Gallup, NM",48.0,0,Jul-2021
2021-08-01,61,191250.0,3.17,8,"Gallup, NM",56.0,0,Aug-2021
2021-09-01,62,179000.0,3.18,9,"Gallup, NM",52.0,0,Sep-2021
2021-10-01,63,175500.0,3.0,10,"Gallup, NM",54.0,0,Oct-2021
2021-11-01,64,184000.0,3.02,11,"Gallup, NM",58.0,0,Nov-2021
2021-12-01,65,195000.0,2.98,12,"Gallup, NM",60.0,194050,Dec-2021
2022-01-01,66,209900.0,2.87,1,"Gallup, NM",57.0,192305,Jan-2022
