date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,194950.0,3.72,7,"Gettysburg, PA",657.0,0,Jul-2016
2016-08-01,1,197400.0,3.73,8,"Gettysburg, PA",618.0,0,Aug-2016
2016-09-01,2,212449.0,3.66,9,"Gettysburg, PA",563.0,0,Sep-2016
2016-10-01,3,199900.0,3.64,10,"Gettysburg, PA",539.0,0,Oct-2016
2016-11-01,4,211950.0,3.66,11,"Gettysburg, PA",533.0,0,Nov-2016
2016-12-01,5,219900.0,3.48,12,"Gettysburg, PA",499.0,0,Dec-2016
2017-01-01,6,219900.0,3.45,1,"Gettysburg, PA",442.0,0,Jan-2017
2017-02-01,7,225000.0,3.5,2,"Gettysburg, PA",426.0,0,Feb-2017
2017-03-01,8,229948.0,3.52,3,"Gettysburg, PA",415.0,0,Mar-2017
2017-04-01,9,234900.0,4.03,4,"Gettysburg, PA",430.0,0,Apr-2017
2017-05-01,10,232725.0,4.32,5,"Gettysburg, PA",480.0,0,May-2017
2017-06-01,11,235000.0,4.2,6,"Gettysburg, PA",495.0,0,Jun-2017
2017-07-01,12,239900.0,4.19,7,"Gettysburg, PA",502.0,0,Jul-2017
2017-08-01,13,236950.0,4.3,8,"Gettysburg, PA",489.0,0,Aug-2017
2017-09-01,14,239900.0,4.1,9,"Gettysburg, PA",479.0,0,Sep-2017
2017-10-01,15,230912.0,4.05,10,"Gettysburg, PA",467.0,0,Oct-2017
2017-11-01,16,227000.0,3.94,11,"Gettysburg, PA",428.0,0,Nov-2017
2017-12-01,17,223950.0,4.03,12,"Gettysburg, PA",429.0,0,Dec-2017
2018-01-01,18,224900.0,3.93,1,"Gettysburg, PA",402.0,0,Jan-2018
2018-02-01,19,224900.0,3.83,2,"Gettysburg, PA",396.0,0,Feb-2018
2018-03-01,20,229900.0,3.94,3,"Gettysburg, PA",412.0,0,Mar-2018
2018-04-01,21,232680.0,3.95,4,"Gettysburg, PA",411.0,0,Apr-2018
2018-05-01,22,239900.0,3.99,5,"Gettysburg, PA",420.0,0,May-2018
2018-06-01,23,239000.0,4.15,6,"Gettysburg, PA",439.0,0,Jun-2018
2018-07-01,24,242450.0,4.4,7,"Gettysburg, PA",426.0,0,Jul-2018
2018-08-01,25,248750.0,4.46,8,"Gettysburg, PA",407.0,0,Aug-2018
2018-09-01,26,234895.0,4.58,9,"Gettysburg, PA",417.0,0,Sep-2018
2018-10-01,27,228400.0,4.66,10,"Gettysburg, PA",400.0,0,Oct-2018
2018-11-01,28,224900.0,4.62,11,"Gettysburg, PA",389.0,0,Nov-2018
2018-12-01,29,224330.0,4.54,12,"Gettysburg, PA",355.0,0,Dec-2018
2019-01-01,30,222400.0,4.6,1,"Gettysburg, PA",314.0,0,Jan-2019
2019-02-01,31,229675.0,4.72,2,"Gettysburg, PA",330.0,0,Feb-2019
2019-03-01,32,238471.0,4.9,3,"Gettysburg, PA",331.0,0,Mar-2019
2019-04-01,33,243471.0,4.94,4,"Gettysburg, PA",356.0,0,Apr-2019
2019-05-01,34,252667.0,4.75,5,"Gettysburg, PA",395.0,0,May-2019
2019-06-01,35,249900.0,4.51,6,"Gettysburg, PA",400.0,0,Jun-2019
2019-07-01,36,249900.0,4.41,7,"Gettysburg, PA",410.0,0,Jul-2019
2019-08-01,37,252300.0,4.41,8,"Gettysburg, PA",399.0,0,Aug-2019
2019-09-01,38,256575.0,4.2,9,"Gettysburg, PA",382.0,0,Sep-2019
2019-10-01,39,254475.0,4.14,10,"Gettysburg, PA",362.0,0,Oct-2019
2019-11-01,40,254900.0,3.84,11,"Gettysburg, PA",338.0,0,Nov-2019
2019-12-01,41,257000.0,3.81,12,"Gettysburg, PA",294.0,0,Dec-2019
2020-01-01,42,259800.0,3.75,1,"Gettysburg, PA",272.0,0,Jan-2020
2020-02-01,43,264900.0,3.73,2,"Gettysburg, PA",275.0,0,Feb-2020
2020-03-01,44,276723.0,3.78,3,"Gettysburg, PA",263.0,0,Mar-2020
2020-04-01,45,277854.0,3.75,4,"Gettysburg, PA",241.0,0,Apr-2020
2020-05-01,46,279500.0,3.74,5,"Gettysburg, PA",258.0,0,May-2020
