date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,141397.0,3.72,7,"Gloversville, NY",420.0,0,Jul-2016
2016-08-01,1,139900.0,3.73,8,"Gloversville, NY",400.0,0,Aug-2016
2016-09-01,2,139000.0,3.66,9,"Gloversville, NY",388.0,0,Sep-2016
2016-10-01,3,129950.0,3.64,10,"Gloversville, NY",359.0,0,Oct-2016
2016-11-01,4,130925.0,3.66,11,"Gloversville, NY",321.0,0,Nov-2016
2016-12-01,5,124900.0,3.48,12,"Gloversville, NY",296.0,0,Dec-2016
2017-01-01,6,122350.0,3.45,1,"Gloversville, NY",257.0,0,Jan-2017
2017-02-01,7,118750.0,3.5,2,"Gloversville, NY",256.0,0,Feb-2017
2017-03-01,8,113675.0,3.52,3,"Gloversville, NY",260.0,0,Mar-2017
2017-04-01,9,119000.0,4.03,4,"Gloversville, NY",274.0,0,Apr-2017
2017-05-01,10,126825.0,4.32,5,"Gloversville, NY",295.0,0,May-2017
2017-06-01,11,129925.0,4.2,6,"Gloversville, NY",313.0,0,Jun-2017
2017-07-01,12,137000.0,4.19,7,"Gloversville, NY",346.0,0,Jul-2017
2017-08-01,13,148000.0,4.3,8,"Gloversville, NY",359.0,0,Aug-2017
2017-09-01,14,149500.0,4.1,9,"Gloversville, NY",347.0,0,Sep-2017
2017-10-01,15,149700.0,4.05,10,"Gloversville, NY",334.0,0,Oct-2017
2017-11-01,16,149250.0,3.94,11,"Gloversville, NY",295.0,0,Nov-2017
2017-12-01,17,139000.0,4.03,12,"Gloversville, NY",268.0,0,Dec-2017
2018-01-01,18,136375.0,3.93,1,"Gloversville, NY",242.0,0,Jan-2018
2018-02-01,19,137625.0,3.83,2,"Gloversville, NY",223.0,0,Feb-2018
2018-03-01,20,135500.0,3.94,3,"Gloversville, NY",229.0,0,Mar-2018
2018-04-01,21,138200.0,3.95,4,"Gloversville, NY",235.0,0,Apr-2018
2018-05-01,22,159700.0,3.99,5,"Gloversville, NY",278.0,0,May-2018
2018-06-01,23,161450.0,4.15,6,"Gloversville, NY",301.0,0,Jun-2018
2018-07-01,24,159975.0,4.4,7,"Gloversville, NY",327.0,0,Jul-2018
2018-08-01,25,167450.0,4.46,8,"Gloversville, NY",315.0,0,Aug-2018
2018-09-01,26,164950.0,4.58,9,"Gloversville, NY",330.0,0,Sep-2018
2018-10-01,27,166200.0,4.66,10,"Gloversville, NY",317.0,0,Oct-2018
2018-11-01,28,159925.0,4.62,11,"Gloversville, NY",306.0,0,Nov-2018
2018-12-01,29,149900.0,4.54,12,"Gloversville, NY",281.0,0,Dec-2018
2019-01-01,30,153675.0,4.6,1,"Gloversville, NY",257.0,0,Jan-2019
2019-02-01,31,144950.0,4.72,2,"Gloversville, NY",250.0,0,Feb-2019
2019-03-01,32,150086.0,4.9,3,"Gloversville, NY",242.0,0,Mar-2019
2019-04-01,33,158475.0,4.94,4,"Gloversville, NY",243.0,0,Apr-2019
2019-05-01,34,168950.0,4.75,5,"Gloversville, NY",276.0,0,May-2019
2019-06-01,35,174900.0,4.51,6,"Gloversville, NY",299.0,0,Jun-2019
2019-07-01,36,177000.0,4.41,7,"Gloversville, NY",320.0,0,Jul-2019
2019-08-01,37,169609.0,4.41,8,"Gloversville, NY",329.0,0,Aug-2019
2019-09-01,38,158523.0,4.2,9,"Gloversville, NY",328.0,0,Sep-2019
2019-10-01,39,149450.0,4.14,10,"Gloversville, NY",320.0,0,Oct-2019
2019-11-01,40,139900.0,3.84,11,"Gloversville, NY",291.0,0,Nov-2019
2019-12-01,41,143475.0,3.81,12,"Gloversville, NY",271.0,0,Dec-2019
2020-01-01,42,141550.0,3.75,1,"Gloversville, NY",248.0,0,Jan-2020
2020-02-01,43,139000.0,3.73,2,"Gloversville, NY",248.0,0,Feb-2020
2020-03-01,44,156200.0,3.78,3,"Gloversville, NY",222.0,0,Mar-2020
2020-04-01,45,159225.0,3.75,4,"Gloversville, NY",207.0,0,Apr-2020
2020-05-01,46,169000.0,3.74,5,"Gloversville, NY",193.0,0,May-2020
2020-06-01,47,178450.0,3.72,6,"Gloversville, NY",173.0,0,Jun-2020
2020-07-01,48,159950.0,3.49,7,"Gloversville, NY",175.0,0,Jul-2020
2020-08-01,49,187000.0,3.65,8,"Gloversville, NY",168.0,0,Aug-2020
2020-09-01,50,187425.0,3.33,9,"Gloversville, NY",169.0,0,Sep-2020
2020-10-01,51,169900.0,3.28,10,"Gloversville, NY",147.0,0,Oct-2020
2020-11-01,52,159450.0,3.21,11,"Gloversville, NY",146.0,0,Nov-2020
2020-12-01,53,162425.0,3.07,12,"Gloversville, NY",126.0,0,Dec-2020
2021-01-01,54,149900.0,2.99,1,"Gloversville, NY",104.0,0,Jan-2021
2021-02-01,55,161175.0,2.93,2,"Gloversville, NY",94.0,0,Feb-2021
2021-03-01,56,149900.0,2.88,3,"Gloversville, NY",85.0,0,Mar-2021
2021-04-01,57,173425.0,2.84,4,"Gloversville, NY",90.0,0,Apr-2021
2021-05-01,58,198250.0,2.71,5,"Gloversville, NY",95.0,0,May-2021
2021-06-01,59,200000.0,2.79,6,"Gloversville, NY",116.0,0,Jun-2021
2021-07-01,60,215000.0,2.97,7,"Gloversville, NY",136.0,0,Jul-2021
2021-08-01,61,218975.0,3.17,8,"Gloversville, NY",145.0,0,Aug-2021
2021-09-01,62,216475.0,3.18,9,"Gloversville, NY",150.0,0,Sep-2021
2021-10-01,63,205000.0,3.0,10,"Gloversville, NY",145.0,0,Oct-2021
2021-11-01,64,194450.0,3.02,11,"Gloversville, NY",133.0,0,Nov-2021
2021-12-01,65,189000.0,2.98,12,"Gloversville, NY",119.0,226672,Dec-2021
2022-01-01,66,197000.0,2.87,1,"Gloversville, NY",103.0,144760,Jan-2022
2022-02-01,67,209450.0,3.01,2,"Gloversville, NY",82.0,152212,Feb-2022
2022-03-01,68,218500.0,3.14,3,"Gloversville, NY",61.0,209306,Mar-2022
2022-04-01,69,215000.0,3.1,4,"Gloversville, NY",66.0,195227,Apr-2022
2022-05-01,70,207450.0,3.12,5,"Gloversville, NY",81.0,225225,May-2022
2022-06-01,71,204425.0,3.56,6,"Gloversville, NY",109.0,227581,Jun-2022
2022-07-01,72,220500.0,3.92,7,"Gloversville, NY",128.0,226600,Jul-2022
2022-08-01,73,221900.0,4.67,8,"Gloversville, NY",133.0,219328,Aug-2022
2022-09-01,74,206200.0,5.11,9,"Gloversville, NY",148.0,209604,Sep-2022
2022-10-01,75,215000.0,5.3,10,"Gloversville, NY",136.0,211842,Oct-2022
