date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,259900.0,3.72,7,"Grand Rapids-Kentwood, MI",1407.0,0,Jul-2016
2016-08-01,1,259950.0,3.73,8,"Grand Rapids-Kentwood, MI",1466.0,0,Aug-2016
2016-09-01,2,264900.0,3.66,9,"Grand Rapids-Kentwood, MI",1459.0,0,Sep-2016
2016-10-01,3,265000.0,3.64,10,"Grand Rapids-Kentwood, MI",1413.0,0,Oct-2016
2016-11-01,4,258668.0,3.66,11,"Grand Rapids-Kentwood, MI",1312.0,0,Nov-2016
2016-12-01,5,259900.0,3.48,12,"Grand Rapids-Kentwood, MI",1098.0,0,Dec-2016
2017-01-01,6,256550.0,3.45,1,"Grand Rapids-Kentwood, MI",911.0,0,Jan-2017
2017-02-01,7,271450.0,3.5,2,"Grand Rapids-Kentwood, MI",927.0,0,Feb-2017
2017-03-01,8,282500.0,3.52,3,"Grand Rapids-Kentwood, MI",1046.0,0,Mar-2017
2017-04-01,9,279900.0,4.03,4,"Grand Rapids-Kentwood, MI",1259.0,0,Apr-2017
2017-05-01,10,264450.0,4.32,5,"Grand Rapids-Kentwood, MI",1835.0,0,May-2017
2017-06-01,11,252450.0,4.2,6,"Grand Rapids-Kentwood, MI",2323.0,0,Jun-2017
2017-07-01,12,248900.0,4.19,7,"Grand Rapids-Kentwood, MI",2541.0,0,Jul-2017
2017-08-01,13,242400.0,4.3,8,"Grand Rapids-Kentwood, MI",2761.0,0,Aug-2017
2017-09-01,14,239950.0,4.1,9,"Grand Rapids-Kentwood, MI",2797.0,0,Sep-2017
2017-10-01,15,244900.0,4.05,10,"Grand Rapids-Kentwood, MI",2736.0,0,Oct-2017
2017-11-01,16,239950.0,3.94,11,"Grand Rapids-Kentwood, MI",2497.0,0,Nov-2017
2017-12-01,17,240000.0,4.03,12,"Grand Rapids-Kentwood, MI",2132.0,0,Dec-2017
2018-01-01,18,252400.0,3.93,1,"Grand Rapids-Kentwood, MI",1850.0,0,Jan-2018
2018-02-01,19,261150.0,3.83,2,"Grand Rapids-Kentwood, MI",1689.0,0,Feb-2018
2018-03-01,20,269900.0,3.94,3,"Grand Rapids-Kentwood, MI",1672.0,0,Mar-2018
2018-04-01,21,279300.0,3.95,4,"Grand Rapids-Kentwood, MI",1730.0,0,Apr-2018
2018-05-01,22,279900.0,3.99,5,"Grand Rapids-Kentwood, MI",1911.0,0,May-2018
2018-06-01,23,279900.0,4.15,6,"Grand Rapids-Kentwood, MI",2226.0,0,Jun-2018
2018-07-01,24,277284.0,4.4,7,"Grand Rapids-Kentwood, MI",2388.0,0,Jul-2018
2018-08-01,25,269900.0,4.46,8,"Grand Rapids-Kentwood, MI",2709.0,0,Aug-2018
2018-09-01,26,269900.0,4.58,9,"Grand Rapids-Kentwood, MI",2768.0,0,Sep-2018
2018-10-01,27,272450.0,4.66,10,"Grand Rapids-Kentwood, MI",2742.0,0,Oct-2018
2018-11-01,28,269900.0,4.62,11,"Grand Rapids-Kentwood, MI",2654.0,0,Nov-2018
2018-12-01,29,274900.0,4.54,12,"Grand Rapids-Kentwood, MI",2405.0,0,Dec-2018
2019-01-01,30,274950.0,4.6,1,"Grand Rapids-Kentwood, MI",2136.0,0,Jan-2019
