date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,159425.0,3.72,7,"Greenville, NC",814.0,0,Jul-2016
2016-08-01,1,158950.0,3.73,8,"Greenville, NC",782.0,0,Aug-2016
2016-09-01,2,125450.0,3.66,9,"Greenville, NC",1077.0,0,Sep-2016
2016-10-01,3,167000.0,3.64,10,"Greenville, NC",748.0,0,Oct-2016
2016-11-01,4,169490.0,3.66,11,"Greenville, NC",708.0,0,Nov-2016
2016-12-01,5,169900.0,3.48,12,"Greenville, NC",667.0,0,Dec-2016
2017-01-01,6,169925.0,3.45,1,"Greenville, NC",618.0,0,Jan-2017
2017-02-01,7,170000.0,3.5,2,"Greenville, NC",607.0,0,Feb-2017
2017-03-01,8,177000.0,3.52,3,"Greenville, NC",619.0,0,Mar-2017
2017-04-01,9,179900.0,4.03,4,"Greenville, NC",597.0,0,Apr-2017
2017-05-01,10,186500.0,4.32,5,"Greenville, NC",579.0,0,May-2017
2017-06-01,11,188950.0,4.2,6,"Greenville, NC",590.0,0,Jun-2017
2017-07-01,12,187300.0,4.19,7,"Greenville, NC",565.0,0,Jul-2017
2017-08-01,13,182475.0,4.3,8,"Greenville, NC",587.0,0,Aug-2017
2017-09-01,14,184900.0,4.1,9,"Greenville, NC",593.0,0,Sep-2017
2017-10-01,15,191550.0,4.05,10,"Greenville, NC",582.0,0,Oct-2017
2017-11-01,16,194950.0,3.94,11,"Greenville, NC",564.0,0,Nov-2017
2017-12-01,17,192000.0,4.03,12,"Greenville, NC",551.0,0,Dec-2017
2018-01-01,18,194575.0,3.93,1,"Greenville, NC",527.0,0,Jan-2018
2018-02-01,19,196300.0,3.83,2,"Greenville, NC",521.0,0,Feb-2018
2018-03-01,20,198500.0,3.94,3,"Greenville, NC",534.0,0,Mar-2018
2018-04-01,21,207100.0,3.95,4,"Greenville, NC",535.0,0,Apr-2018
2018-05-01,22,204175.0,3.99,5,"Greenville, NC",559.0,0,May-2018
2018-06-01,23,205000.0,4.15,6,"Greenville, NC",573.0,0,Jun-2018
2018-07-01,24,204175.0,4.4,7,"Greenville, NC",552.0,0,Jul-2018
2018-08-01,25,199900.0,4.46,8,"Greenville, NC",534.0,0,Aug-2018
2018-09-01,26,197000.0,4.58,9,"Greenville, NC",552.0,0,Sep-2018
2018-10-01,27,195600.0,4.66,10,"Greenville, NC",544.0,0,Oct-2018
2018-11-01,28,198900.0,4.62,11,"Greenville, NC",506.0,0,Nov-2018
2018-12-01,29,197900.0,4.54,12,"Greenville, NC",465.0,0,Dec-2018
2019-01-01,30,199525.0,4.6,1,"Greenville, NC",396.0,0,Jan-2019
2019-02-01,31,203150.0,4.72,2,"Greenville, NC",388.0,0,Feb-2019
2019-03-01,32,214243.0,4.9,3,"Greenville, NC",371.0,0,Mar-2019
2019-04-01,33,223670.0,4.94,4,"Greenville, NC",361.0,0,Apr-2019
2019-05-01,34,239900.0,4.75,5,"Greenville, NC",353.0,0,May-2019
2019-06-01,35,238900.0,4.51,6,"Greenville, NC",340.0,0,Jun-2019
2019-07-01,36,222295.0,4.41,7,"Greenville, NC",367.0,0,Jul-2019
2019-08-01,37,220929.0,4.41,8,"Greenville, NC",371.0,0,Aug-2019
2019-09-01,38,215288.0,4.2,9,"Greenville, NC",384.0,0,Sep-2019
2019-10-01,39,211527.0,4.14,10,"Greenville, NC",386.0,0,Oct-2019
2019-11-01,40,219900.0,3.84,11,"Greenville, NC",368.0,0,Nov-2019
2019-12-01,41,224975.0,3.81,12,"Greenville, NC",373.0,0,Dec-2019
2020-01-01,42,227000.0,3.75,1,"Greenville, NC",341.0,0,Jan-2020
2020-02-01,43,229950.0,3.73,2,"Greenville, NC",323.0,0,Feb-2020
2020-03-01,44,235975.0,3.78,3,"Greenville, NC",335.0,0,Mar-2020
2020-04-01,45,238250.0,3.75,4,"Greenville, NC",342.0,0,Apr-2020
2020-05-01,46,250000.0,3.74,5,"Greenville, NC",316.0,0,May-2020
2020-06-01,47,257720.0,3.72,6,"Greenville, NC",278.0,0,Jun-2020
2020-07-01,48,267274.0,3.49,7,"Greenville, NC",267.0,0,Jul-2020
2020-08-01,49,266947.0,3.65,8,"Greenville, NC",244.0,0,Aug-2020
2020-09-01,50,266575.0,3.33,9,"Greenville, NC",221.0,0,Sep-2020
2020-10-01,51,264445.0,3.28,10,"Greenville, NC",206.0,0,Oct-2020
2020-11-01,52,261050.0,3.21,11,"Greenville, NC",203.0,0,Nov-2020
2020-12-01,53,256945.0,3.07,12,"Greenville, NC",178.0,0,Dec-2020
2021-01-01,54,257000.0,2.99,1,"Greenville, NC",159.0,0,Jan-2021
2021-02-01,55,250895.0,2.93,2,"Greenville, NC",129.0,0,Feb-2021
2021-03-01,56,265643.0,2.88,3,"Greenville, NC",128.0,0,Mar-2021
2021-04-01,57,247200.0,2.84,4,"Greenville, NC",137.0,0,Apr-2021
2021-05-01,58,237950.0,2.71,5,"Greenville, NC",138.0,0,May-2021
2021-06-01,59,249495.0,2.79,6,"Greenville, NC",140.0,0,Jun-2021
2021-07-01,60,242000.0,2.97,7,"Greenville, NC",161.0,0,Jul-2021
2021-08-01,61,243750.0,3.17,8,"Greenville, NC",180.0,0,Aug-2021
2021-09-01,62,247500.0,3.18,9,"Greenville, NC",191.0,0,Sep-2021
2021-10-01,63,250000.0,3.0,10,"Greenville, NC",183.0,0,Oct-2021
2021-11-01,64,275000.0,3.02,11,"Greenville, NC",171.0,0,Nov-2021
2021-12-01,65,254495.0,2.98,12,"Greenville, NC",148.0,261127,Dec-2021
2022-01-01,66,259950.0,2.87,1,"Greenville, NC",104.0,259481,Jan-2022
2022-02-01,67,258975.0,3.01,2,"Greenville, NC",81.0,257589,Feb-2022
2022-03-01,68,259975.0,3.14,3,"Greenville, NC",72.0,259838,Mar-2022
2022-04-01,69,279900.0,3.1,4,"Greenville, NC",95.0,257218,Apr-2022
2022-05-01,70,289875.0,3.12,5,"Greenville, NC",120.0,256693,May-2022
2022-06-01,71,320245.0,3.56,6,"Greenville, NC",146.0,257186,Jun-2022
2022-07-01,72,335000.0,3.92,7,"Greenville, NC",179.0,255748,Jul-2022
2022-08-01,73,348675.0,4.67,8,"Greenville, NC",196.0,253612,Aug-2022
2022-09-01,74,334695.0,5.11,9,"Greenville, NC",225.0,252239,Sep-2022
2022-10-01,75,345700.0,5.3,10,"Greenville, NC",231.0,250651,Oct-2022
