date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,195947.0,3.72,7,"Hagerstown-Martinsburg, MD-WV",1810.0,0,Jul-2016
2016-08-01,1,191300.0,3.73,8,"Hagerstown-Martinsburg, MD-WV",1784.0,0,Aug-2016
2016-09-01,2,189900.0,3.66,9,"Hagerstown-Martinsburg, MD-WV",1763.0,0,Sep-2016
2016-10-01,3,189900.0,3.64,10,"Hagerstown-Martinsburg, MD-WV",1721.0,0,Oct-2016
2016-11-01,4,189997.0,3.66,11,"Hagerstown-Martinsburg, MD-WV",1636.0,0,Nov-2016
2016-12-01,5,194995.0,3.48,12,"Hagerstown-Martinsburg, MD-WV",1477.0,0,Dec-2016
2017-01-01,6,190100.0,3.45,1,"Hagerstown-Martinsburg, MD-WV",1367.0,0,Jan-2017
2017-02-01,7,192550.0,3.5,2,"Hagerstown-Martinsburg, MD-WV",1323.0,0,Feb-2017
2017-03-01,8,198175.0,3.52,3,"Hagerstown-Martinsburg, MD-WV",1325.0,0,Mar-2017
2017-04-01,9,199900.0,4.03,4,"Hagerstown-Martinsburg, MD-WV",1416.0,0,Apr-2017
2017-05-01,10,207398.0,4.32,5,"Hagerstown-Martinsburg, MD-WV",1486.0,0,May-2017
2017-06-01,11,209900.0,4.2,6,"Hagerstown-Martinsburg, MD-WV",1517.0,0,Jun-2017
2017-07-01,12,207900.0,4.19,7,"Hagerstown-Martinsburg, MD-WV",1488.0,0,Jul-2017
2017-08-01,13,206950.0,4.3,8,"Hagerstown-Martinsburg, MD-WV",1480.0,0,Aug-2017
2017-09-01,14,209900.0,4.1,9,"Hagerstown-Martinsburg, MD-WV",1535.0,0,Sep-2017
2017-10-01,15,209950.0,4.05,10,"Hagerstown-Martinsburg, MD-WV",1527.0,0,Oct-2017
2017-11-01,16,207159.0,3.94,11,"Hagerstown-Martinsburg, MD-WV",1531.0,0,Nov-2017
2017-12-01,17,199900.0,4.03,12,"Hagerstown-Martinsburg, MD-WV",1354.0,0,Dec-2017
2018-01-01,18,204923.0,3.93,1,"Hagerstown-Martinsburg, MD-WV",1191.0,0,Jan-2018
2018-02-01,19,209990.0,3.83,2,"Hagerstown-Martinsburg, MD-WV",1191.0,0,Feb-2018
2018-03-01,20,219000.0,3.94,3,"Hagerstown-Martinsburg, MD-WV",1203.0,0,Mar-2018
2018-04-01,21,219900.0,3.95,4,"Hagerstown-Martinsburg, MD-WV",1299.0,0,Apr-2018
2018-05-01,22,224900.0,3.99,5,"Hagerstown-Martinsburg, MD-WV",1404.0,0,May-2018
2018-06-01,23,225000.0,4.15,6,"Hagerstown-Martinsburg, MD-WV",1492.0,0,Jun-2018
2018-07-01,24,229900.0,4.4,7,"Hagerstown-Martinsburg, MD-WV",1497.0,0,Jul-2018
2018-08-01,25,229450.0,4.46,8,"Hagerstown-Martinsburg, MD-WV",1528.0,0,Aug-2018
2018-09-01,26,229000.0,4.58,9,"Hagerstown-Martinsburg, MD-WV",1473.0,0,Sep-2018
2018-10-01,27,229900.0,4.66,10,"Hagerstown-Martinsburg, MD-WV",1465.0,0,Oct-2018
2018-11-01,28,229900.0,4.62,11,"Hagerstown-Martinsburg, MD-WV",1470.0,0,Nov-2018
2018-12-01,29,229900.0,4.54,12,"Hagerstown-Martinsburg, MD-WV",1359.0,0,Dec-2018
2019-01-01,30,229900.0,4.6,1,"Hagerstown-Martinsburg, MD-WV",1265.0,0,Jan-2019
2019-02-01,31,229998.0,4.72,2,"Hagerstown-Martinsburg, MD-WV",1258.0,0,Feb-2019
2019-03-01,32,234383.0,4.9,3,"Hagerstown-Martinsburg, MD-WV",1273.0,0,Mar-2019
2019-04-01,33,234900.0,4.94,4,"Hagerstown-Martinsburg, MD-WV",1337.0,0,Apr-2019
2019-05-01,34,235000.0,4.75,5,"Hagerstown-Martinsburg, MD-WV",1404.0,0,May-2019
2019-06-01,35,237945.0,4.51,6,"Hagerstown-Martinsburg, MD-WV",1448.0,0,Jun-2019
2019-07-01,36,229950.0,4.41,7,"Hagerstown-Martinsburg, MD-WV",1490.0,0,Jul-2019
2019-08-01,37,232627.0,4.41,8,"Hagerstown-Martinsburg, MD-WV",1477.0,0,Aug-2019
2019-09-01,38,236718.0,4.2,9,"Hagerstown-Martinsburg, MD-WV",1454.0,0,Sep-2019
2019-10-01,39,239445.0,4.14,10,"Hagerstown-Martinsburg, MD-WV",1428.0,0,Oct-2019
2019-11-01,40,239900.0,3.84,11,"Hagerstown-Martinsburg, MD-WV",1318.0,0,Nov-2019
