date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,825000.0,3.72,7,"Heber, UT",1560.0,0,Jul-2016
2016-08-01,1,844975.0,3.73,8,"Heber, UT",1554.0,0,Aug-2016
2016-09-01,2,887000.0,3.66,9,"Heber, UT",1521.0,0,Sep-2016
2016-10-01,3,895000.0,3.64,10,"Heber, UT",1415.0,0,Oct-2016
2016-11-01,4,952200.0,3.66,11,"Heber, UT",1318.0,0,Nov-2016
2016-12-01,5,999999.0,3.48,12,"Heber, UT",1298.0,0,Dec-2016
2017-01-01,6,1124375.0,3.45,1,"Heber, UT",1251.0,0,Jan-2017
2017-02-01,7,1175000.0,3.5,2,"Heber, UT",1253.0,0,Feb-2017
2017-03-01,8,1182000.0,3.52,3,"Heber, UT",1247.0,0,Mar-2017
2017-04-01,9,1099500.0,4.03,4,"Heber, UT",1249.0,0,Apr-2017
2017-05-01,10,996500.0,4.32,5,"Heber, UT",1245.0,0,May-2017
2017-06-01,11,949500.0,4.2,6,"Heber, UT",1362.0,0,Jun-2017
2017-07-01,12,952450.0,4.19,7,"Heber, UT",1445.0,0,Jul-2017
2017-08-01,13,949500.0,4.3,8,"Heber, UT",1407.0,0,Aug-2017
2017-09-01,14,985000.0,4.1,9,"Heber, UT",1373.0,0,Sep-2017
2017-10-01,15,999260.0,4.05,10,"Heber, UT",1295.0,0,Oct-2017
2017-11-01,16,1091500.0,3.94,11,"Heber, UT",1253.0,0,Nov-2017
2017-12-01,17,1125000.0,4.03,12,"Heber, UT",1246.0,0,Dec-2017
2018-01-01,18,1262500.0,3.93,1,"Heber, UT",1148.0,0,Jan-2018
2018-02-01,19,1292000.0,3.83,2,"Heber, UT",1178.0,0,Feb-2018
2018-03-01,20,1249950.0,3.94,3,"Heber, UT",1237.0,0,Mar-2018
2018-04-01,21,1112000.0,3.95,4,"Heber, UT",1245.0,0,Apr-2018
2018-05-01,22,981250.0,3.99,5,"Heber, UT",1281.0,0,May-2018
2018-06-01,23,995000.0,4.15,6,"Heber, UT",1378.0,0,Jun-2018
2018-07-01,24,1033000.0,4.4,7,"Heber, UT",1432.0,0,Jul-2018
2018-08-01,25,975000.0,4.46,8,"Heber, UT",1498.0,0,Aug-2018
2018-09-01,26,969000.0,4.58,9,"Heber, UT",1509.0,0,Sep-2018
2018-10-01,27,947500.0,4.66,10,"Heber, UT",1495.0,0,Oct-2018
2018-11-01,28,1002750.0,4.62,11,"Heber, UT",1447.0,0,Nov-2018
2018-12-01,29,1035000.0,4.54,12,"Heber, UT",1469.0,0,Dec-2018
2019-01-01,30,1087500.0,4.6,1,"Heber, UT",1470.0,0,Jan-2019
2019-02-01,31,1112500.0,4.72,2,"Heber, UT",1454.0,0,Feb-2019
2019-03-01,32,1112143.0,4.9,3,"Heber, UT",1429.0,0,Mar-2019
2019-04-01,33,1095000.0,4.94,4,"Heber, UT",1379.0,0,Apr-2019
2019-05-01,34,1000000.0,4.75,5,"Heber, UT",1413.0,0,May-2019
2019-06-01,35,1025000.0,4.51,6,"Heber, UT",1510.0,0,Jun-2019
2019-07-01,36,1095000.0,4.41,7,"Heber, UT",1557.0,0,Jul-2019
2019-08-01,37,1114273.0,4.41,8,"Heber, UT",1505.0,0,Aug-2019
2019-09-01,38,1105682.0,4.2,9,"Heber, UT",1426.0,0,Sep-2019
2019-10-01,39,1100455.0,4.14,10,"Heber, UT",1355.0,0,Oct-2019
2019-11-01,40,1179000.0,3.84,11,"Heber, UT",1295.0,0,Nov-2019
2019-12-01,41,1163125.0,3.81,12,"Heber, UT",1272.0,0,Dec-2019
2020-01-01,42,1222500.0,3.75,1,"Heber, UT",1244.0,0,Jan-2020
2020-02-01,43,1272000.0,3.73,2,"Heber, UT",1227.0,0,Feb-2020
2020-03-01,44,1135000.0,3.78,3,"Heber, UT",1264.0,0,Mar-2020
2020-04-01,45,950000.0,3.75,4,"Heber, UT",1250.0,0,Apr-2020
2020-05-01,46,924900.0,3.74,5,"Heber, UT",1341.0,0,May-2020
2020-06-01,47,929975.0,3.72,6,"Heber, UT",1402.0,0,Jun-2020
2020-07-01,48,975000.0,3.49,7,"Heber, UT",1390.0,0,Jul-2020
2020-08-01,49,975000.0,3.65,8,"Heber, UT",1238.0,0,Aug-2020
2020-09-01,50,977725.0,3.33,9,"Heber, UT",1059.0,0,Sep-2020
2020-10-01,51,939000.0,3.28,10,"Heber, UT",903.0,0,Oct-2020
2020-11-01,52,995112.0,3.21,11,"Heber, UT",743.0,0,Nov-2020
2020-12-01,53,1072125.0,3.07,12,"Heber, UT",677.0,0,Dec-2020
2021-01-01,54,1199900.0,2.99,1,"Heber, UT",616.0,0,Jan-2021
2021-02-01,55,1299250.0,2.93,2,"Heber, UT",538.0,0,Feb-2021
2021-03-01,56,1330000.0,2.88,3,"Heber, UT",481.0,0,Mar-2021
2021-04-01,57,1350000.0,2.84,4,"Heber, UT",474.0,0,Apr-2021
2021-05-01,58,1299000.0,2.71,5,"Heber, UT",514.0,0,May-2021
2021-06-01,59,1284879.0,2.79,6,"Heber, UT",553.0,0,Jun-2021
2021-07-01,60,1299999.0,2.97,7,"Heber, UT",561.0,0,Jul-2021
2021-08-01,61,1297487.0,3.17,8,"Heber, UT",569.0,0,Aug-2021
2021-09-01,62,1295000.0,3.18,9,"Heber, UT",530.0,0,Sep-2021
2021-10-01,63,1493000.0,3.0,10,"Heber, UT",474.0,0,Oct-2021
2021-11-01,64,1719884.0,3.02,11,"Heber, UT",385.0,0,Nov-2021
2021-12-01,65,1819500.0,2.98,12,"Heber, UT",356.0,1511563,Dec-2021
2022-01-01,66,1700000.0,2.87,1,"Heber, UT",333.0,1513906,Jan-2022
2022-02-01,67,1747250.0,3.01,2,"Heber, UT",317.0,1514771,Feb-2022
2022-03-01,68,1794000.0,3.14,3,"Heber, UT",370.0,1518604,Mar-2022
2022-04-01,69,1763435.0,3.1,4,"Heber, UT",407.0,1520333,Apr-2022
2022-05-01,70,1600000.0,3.12,5,"Heber, UT",550.0,1513895,May-2022
2022-06-01,71,1550000.0,3.56,6,"Heber, UT",773.0,1503738,Jun-2022
2022-07-01,72,1500000.0,3.92,7,"Heber, UT",1042.0,1380001,Jul-2022
2022-08-01,73,1517500.0,4.67,8,"Heber, UT",1087.0,1328801,Aug-2022
2022-09-01,74,1499950.0,5.11,9,"Heber, UT",1041.0,1337591,Sep-2022
2022-10-01,75,1549450.0,5.3,10,"Heber, UT",992.0,1353776,Oct-2022
