date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,601000.0,3.72,7,"Hood River, OR",70.0,0,Jul-2016
2016-08-01,1,587500.0,3.73,8,"Hood River, OR",67.0,0,Aug-2016
2016-09-01,2,592250.0,3.66,9,"Hood River, OR",70.0,0,Sep-2016
2016-10-01,3,649500.0,3.64,10,"Hood River, OR",57.0,0,Oct-2016
2016-11-01,4,649500.0,3.66,11,"Hood River, OR",53.0,0,Nov-2016
2016-12-01,5,625000.0,3.48,12,"Hood River, OR",52.0,0,Dec-2016
2017-01-01,6,620000.0,3.45,1,"Hood River, OR",49.0,0,Jan-2017
2017-02-01,7,617500.0,3.5,2,"Hood River, OR",44.0,0,Feb-2017
2017-03-01,8,613500.0,3.52,3,"Hood River, OR",39.0,0,Mar-2017
2017-04-01,9,674500.0,4.03,4,"Hood River, OR",39.0,0,Apr-2017
2017-05-01,10,734000.0,4.32,5,"Hood River, OR",46.0,0,May-2017
2017-06-01,11,632500.0,4.2,6,"Hood River, OR",46.0,0,Jun-2017
2017-07-01,12,615000.0,4.19,7,"Hood River, OR",67.0,0,Jul-2017
2017-08-01,13,549000.0,4.3,8,"Hood River, OR",85.0,0,Aug-2017
2017-09-01,14,529000.0,4.1,9,"Hood River, OR",82.0,0,Sep-2017
2017-10-01,15,529675.0,4.05,10,"Hood River, OR",84.0,0,Oct-2017
2017-11-01,16,526000.0,3.94,11,"Hood River, OR",76.0,0,Nov-2017
2017-12-01,17,479900.0,4.03,12,"Hood River, OR",66.0,0,Dec-2017
2018-01-01,18,426000.0,3.93,1,"Hood River, OR",63.0,0,Jan-2018
2018-02-01,19,457000.0,3.83,2,"Hood River, OR",63.0,0,Feb-2018
2018-03-01,20,538500.0,3.94,3,"Hood River, OR",59.0,0,Mar-2018
2018-04-01,21,595250.0,3.95,4,"Hood River, OR",60.0,0,Apr-2018
2018-05-01,22,593500.0,3.99,5,"Hood River, OR",65.0,0,May-2018
2018-06-01,23,608000.0,4.15,6,"Hood River, OR",68.0,0,Jun-2018
2018-07-01,24,560750.0,4.4,7,"Hood River, OR",75.0,0,Jul-2018
2018-08-01,25,547000.0,4.46,8,"Hood River, OR",81.0,0,Aug-2018
2018-09-01,26,529900.0,4.58,9,"Hood River, OR",84.0,0,Sep-2018
2018-10-01,27,529900.0,4.66,10,"Hood River, OR",84.0,0,Oct-2018
2018-11-01,28,554000.0,4.62,11,"Hood River, OR",81.0,0,Nov-2018
2018-12-01,29,539000.0,4.54,12,"Hood River, OR",67.0,0,Dec-2018
2019-01-01,30,515000.0,4.6,1,"Hood River, OR",61.0,0,Jan-2019
2019-02-01,31,516000.0,4.72,2,"Hood River, OR",58.0,0,Feb-2019
2019-03-01,32,574714.0,4.9,3,"Hood River, OR",54.0,0,Mar-2019
2019-04-01,33,599964.0,4.94,4,"Hood River, OR",54.0,0,Apr-2019
2019-05-01,34,543225.0,4.75,5,"Hood River, OR",58.0,0,May-2019
2019-06-01,35,532000.0,4.51,6,"Hood River, OR",79.0,0,Jun-2019
2019-07-01,36,522000.0,4.41,7,"Hood River, OR",103.0,0,Jul-2019
2019-08-01,37,525364.0,4.41,8,"Hood River, OR",106.0,0,Aug-2019
2019-09-01,38,538659.0,4.2,9,"Hood River, OR",103.0,0,Sep-2019
2019-10-01,39,522773.0,4.14,10,"Hood River, OR",98.0,0,Oct-2019
2019-11-01,40,509000.0,3.84,11,"Hood River, OR",74.0,0,Nov-2019
2019-12-01,41,470450.0,3.81,12,"Hood River, OR",64.0,0,Dec-2019
2020-01-01,42,459675.0,3.75,1,"Hood River, OR",52.0,0,Jan-2020
2020-02-01,43,490000.0,3.73,2,"Hood River, OR",53.0,0,Feb-2020
2020-03-01,44,524500.0,3.78,3,"Hood River, OR",60.0,0,Mar-2020
2020-04-01,45,557500.0,3.75,4,"Hood River, OR",66.0,0,Apr-2020
2020-05-01,46,569000.0,3.74,5,"Hood River, OR",72.0,0,May-2020
2020-06-01,47,594000.0,3.72,6,"Hood River, OR",71.0,0,Jun-2020
2020-07-01,48,596748.0,3.49,7,"Hood River, OR",63.0,0,Jul-2020
2020-08-01,49,615000.0,3.65,8,"Hood River, OR",50.0,0,Aug-2020
2020-09-01,50,749750.0,3.33,9,"Hood River, OR",39.0,0,Sep-2020
2020-10-01,51,839000.0,3.28,10,"Hood River, OR",40.0,0,Oct-2020
2020-11-01,52,818125.0,3.21,11,"Hood River, OR",33.0,0,Nov-2020
2020-12-01,53,867125.0,3.07,12,"Hood River, OR",24.0,0,Dec-2020
2021-01-01,54,895000.0,2.99,1,"Hood River, OR",19.0,0,Jan-2021
2021-02-01,55,829500.0,2.93,2,"Hood River, OR",18.0,0,Feb-2021
2021-03-01,56,764250.0,2.88,3,"Hood River, OR",16.0,0,Mar-2021
2021-04-01,57,796000.0,2.84,4,"Hood River, OR",17.0,0,Apr-2021
2021-05-01,58,800000.0,2.71,5,"Hood River, OR",17.0,0,May-2021
2021-06-01,59,782500.0,2.79,6,"Hood River, OR",27.0,0,Jun-2021
2021-07-01,60,765000.0,2.97,7,"Hood River, OR",24.0,0,Jul-2021
2021-08-01,61,783500.0,3.17,8,"Hood River, OR",31.0,0,Aug-2021
2021-09-01,62,748500.0,3.18,9,"Hood River, OR",34.0,0,Sep-2021
2021-10-01,63,750000.0,3.0,10,"Hood River, OR",25.0,0,Oct-2021
2021-11-01,64,753000.0,3.02,11,"Hood River, OR",22.0,0,Nov-2021
2021-12-01,65,750750.0,2.98,12,"Hood River, OR",24.0,824935,Dec-2021
2022-01-01,66,739500.0,2.87,1,"Hood River, OR",17.0,845071,Jan-2022
2022-02-01,67,711125.0,3.01,2,"Hood River, OR",17.0,838372,Feb-2022
2022-03-01,68,708750.0,3.14,3,"Hood River, OR",22.0,832974,Mar-2022
2022-04-01,69,949000.0,3.1,4,"Hood River, OR",23.0,841266,Apr-2022
2022-05-01,70,818500.0,3.12,5,"Hood River, OR",32.0,837228,May-2022
2022-06-01,71,841750.0,3.56,6,"Hood River, OR",34.0,798796,Jun-2022
2022-07-01,72,785000.0,3.92,7,"Hood River, OR",37.0,684020,Jul-2022
2022-08-01,73,801875.0,4.67,8,"Hood River, OR",36.0,551627,Aug-2022
2022-09-01,74,842375.0,5.11,9,"Hood River, OR",36.0,497449,Sep-2022
2022-10-01,75,835000.0,5.3,10,"Hood River, OR",30.0,429259,Oct-2022
