date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,104475.0,3.72,7,"Jacksonville, IL",153.0,0,Jul-2016
2016-08-01,1,103700.0,3.73,8,"Jacksonville, IL",162.0,0,Aug-2016
2016-09-01,2,118950.0,3.66,9,"Jacksonville, IL",158.0,0,Sep-2016
2016-10-01,3,118900.0,3.64,10,"Jacksonville, IL",152.0,0,Oct-2016
2016-11-01,4,106875.0,3.66,11,"Jacksonville, IL",142.0,0,Nov-2016
2016-12-01,5,106000.0,3.48,12,"Jacksonville, IL",120.0,0,Dec-2016
2017-01-01,6,110975.0,3.45,1,"Jacksonville, IL",113.0,0,Jan-2017
2017-02-01,7,107925.0,3.5,2,"Jacksonville, IL",121.0,0,Feb-2017
2017-03-01,8,119900.0,3.52,3,"Jacksonville, IL",132.0,0,Mar-2017
2017-04-01,9,119900.0,4.03,4,"Jacksonville, IL",133.0,0,Apr-2017
2017-05-01,10,119050.0,4.32,5,"Jacksonville, IL",140.0,0,May-2017
2017-06-01,11,119900.0,4.2,6,"Jacksonville, IL",147.0,0,Jun-2017
2017-07-01,12,119900.0,4.19,7,"Jacksonville, IL",150.0,0,Jul-2017
2017-08-01,13,119900.0,4.3,8,"Jacksonville, IL",157.0,0,Aug-2017
2017-09-01,14,119900.0,4.1,9,"Jacksonville, IL",153.0,0,Sep-2017
2017-10-01,15,121750.0,4.05,10,"Jacksonville, IL",139.0,0,Oct-2017
2017-11-01,16,116200.0,3.94,11,"Jacksonville, IL",136.0,0,Nov-2017
2017-12-01,17,113450.0,4.03,12,"Jacksonville, IL",132.0,0,Dec-2017
2018-01-01,18,119900.0,3.93,1,"Jacksonville, IL",123.0,0,Jan-2018
2018-02-01,19,119900.0,3.83,2,"Jacksonville, IL",125.0,0,Feb-2018
2018-03-01,20,120000.0,3.94,3,"Jacksonville, IL",137.0,0,Mar-2018
2018-04-01,21,130425.0,3.95,4,"Jacksonville, IL",146.0,0,Apr-2018
2018-05-01,22,128450.0,3.99,5,"Jacksonville, IL",156.0,0,May-2018
2018-06-01,23,124900.0,4.15,6,"Jacksonville, IL",159.0,0,Jun-2018
2018-07-01,24,124900.0,4.4,7,"Jacksonville, IL",160.0,0,Jul-2018
2018-08-01,25,126125.0,4.46,8,"Jacksonville, IL",158.0,0,Aug-2018
2018-09-01,26,124900.0,4.58,9,"Jacksonville, IL",153.0,0,Sep-2018
2018-10-01,27,120050.0,4.66,10,"Jacksonville, IL",157.0,0,Oct-2018
2018-11-01,28,116650.0,4.62,11,"Jacksonville, IL",152.0,0,Nov-2018
2018-12-01,29,115900.0,4.54,12,"Jacksonville, IL",143.0,0,Dec-2018
2019-01-01,30,116650.0,4.6,1,"Jacksonville, IL",130.0,0,Jan-2019
2019-02-01,31,118450.0,4.72,2,"Jacksonville, IL",117.0,0,Feb-2019
2019-03-01,32,122300.0,4.9,3,"Jacksonville, IL",114.0,0,Mar-2019
2019-04-01,33,125100.0,4.94,4,"Jacksonville, IL",115.0,0,Apr-2019
2019-05-01,34,134900.0,4.75,5,"Jacksonville, IL",138.0,0,May-2019
2019-06-01,35,134900.0,4.51,6,"Jacksonville, IL",172.0,0,Jun-2019
2019-07-01,36,137200.0,4.41,7,"Jacksonville, IL",173.0,0,Jul-2019
2019-08-01,37,136654.0,4.41,8,"Jacksonville, IL",171.0,0,Aug-2019
2019-09-01,38,131786.0,4.2,9,"Jacksonville, IL",177.0,0,Sep-2019
2019-10-01,39,123200.0,4.14,10,"Jacksonville, IL",181.0,0,Oct-2019
2019-11-01,40,116900.0,3.84,11,"Jacksonville, IL",178.0,0,Nov-2019
2019-12-01,41,100925.0,3.81,12,"Jacksonville, IL",164.0,0,Dec-2019
2020-01-01,42,97950.0,3.75,1,"Jacksonville, IL",149.0,0,Jan-2020
2020-02-01,43,104900.0,3.73,2,"Jacksonville, IL",138.0,0,Feb-2020
2020-03-01,44,109900.0,3.78,3,"Jacksonville, IL",141.0,0,Mar-2020
2020-04-01,45,120950.0,3.75,4,"Jacksonville, IL",135.0,0,Apr-2020
2020-05-01,46,119900.0,3.74,5,"Jacksonville, IL",127.0,0,May-2020
2020-06-01,47,124550.0,3.72,6,"Jacksonville, IL",119.0,0,Jun-2020
2020-07-01,48,119900.0,3.49,7,"Jacksonville, IL",115.0,0,Jul-2020
2020-08-01,49,109900.0,3.65,8,"Jacksonville, IL",105.0,0,Aug-2020
2020-09-01,50,94000.0,3.33,9,"Jacksonville, IL",99.0,0,Sep-2020
2020-10-01,51,104900.0,3.28,10,"Jacksonville, IL",104.0,0,Oct-2020
2020-11-01,52,104900.0,3.21,11,"Jacksonville, IL",87.0,0,Nov-2020
2020-12-01,53,101150.0,3.07,12,"Jacksonville, IL",82.0,0,Dec-2020
2021-01-01,54,87500.0,2.99,1,"Jacksonville, IL",71.0,0,Jan-2021
2021-02-01,55,86175.0,2.93,2,"Jacksonville, IL",61.0,0,Feb-2021
2021-03-01,56,79900.0,2.88,3,"Jacksonville, IL",53.0,0,Mar-2021
2021-04-01,57,72000.0,2.84,4,"Jacksonville, IL",47.0,0,Apr-2021
2021-05-01,58,80250.0,2.71,5,"Jacksonville, IL",38.0,0,May-2021
2021-06-01,59,77375.0,2.79,6,"Jacksonville, IL",33.0,0,Jun-2021
2021-07-01,60,69500.0,2.97,7,"Jacksonville, IL",32.0,0,Jul-2021
2021-08-01,61,82200.0,3.17,8,"Jacksonville, IL",41.0,0,Aug-2021
2021-09-01,62,90475.0,3.18,9,"Jacksonville, IL",40.0,0,Sep-2021
2021-10-01,63,84900.0,3.0,10,"Jacksonville, IL",44.0,0,Oct-2021
2021-11-01,64,98425.0,3.02,11,"Jacksonville, IL",50.0,0,Nov-2021
2021-12-01,65,101974.0,2.98,12,"Jacksonville, IL",48.0,66279,Dec-2021
2022-01-01,66,99900.0,2.87,1,"Jacksonville, IL",30.0,64805,Jan-2022
2022-02-01,67,102450.0,3.01,2,"Jacksonville, IL",29.0,64263,Feb-2022
2022-03-01,68,89725.0,3.14,3,"Jacksonville, IL",32.0,65722,Mar-2022
2022-04-01,69,95700.0,3.1,4,"Jacksonville, IL",33.0,65560,Apr-2022
2022-05-01,70,104900.0,3.12,5,"Jacksonville, IL",34.0,65091,May-2022
2022-06-01,71,125650.0,3.56,6,"Jacksonville, IL",36.0,67738,Jun-2022
2022-07-01,72,114900.0,3.92,7,"Jacksonville, IL",45.0,68044,Jul-2022
2022-08-01,73,112425.0,4.67,8,"Jacksonville, IL",33.0,65107,Aug-2022
2022-09-01,74,128675.0,5.11,9,"Jacksonville, IL",30.0,64243,Sep-2022
2022-10-01,75,134900.0,5.3,10,"Jacksonville, IL",39.0,63501,Oct-2022
