date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,74900.0,3.72,7,"Johnstown, PA",612.0,0,Jul-2016
2016-08-01,1,74375.0,3.73,8,"Johnstown, PA",639.0,0,Aug-2016
2016-09-01,2,72950.0,3.66,9,"Johnstown, PA",631.0,0,Sep-2016
2016-10-01,3,74500.0,3.64,10,"Johnstown, PA",630.0,0,Oct-2016
2016-11-01,4,70050.0,3.66,11,"Johnstown, PA",585.0,0,Nov-2016
2016-12-01,5,69900.0,3.48,12,"Johnstown, PA",532.0,0,Dec-2016
2017-01-01,6,69900.0,3.45,1,"Johnstown, PA",491.0,0,Jan-2017
2017-02-01,7,65000.0,3.5,2,"Johnstown, PA",466.0,0,Feb-2017
2017-03-01,8,69900.0,3.52,3,"Johnstown, PA",452.0,0,Mar-2017
2017-04-01,9,71950.0,4.03,4,"Johnstown, PA",508.0,0,Apr-2017
2017-05-01,10,74950.0,4.32,5,"Johnstown, PA",546.0,0,May-2017
2017-06-01,11,74900.0,4.2,6,"Johnstown, PA",571.0,0,Jun-2017
2017-07-01,12,72500.0,4.19,7,"Johnstown, PA",585.0,0,Jul-2017
2017-08-01,13,74900.0,4.3,8,"Johnstown, PA",602.0,0,Aug-2017
2017-09-01,14,72250.0,4.1,9,"Johnstown, PA",599.0,0,Sep-2017
2017-10-01,15,74900.0,4.05,10,"Johnstown, PA",594.0,0,Oct-2017
2017-11-01,16,74900.0,3.94,11,"Johnstown, PA",560.0,0,Nov-2017
2017-12-01,17,70000.0,4.03,12,"Johnstown, PA",521.0,0,Dec-2017
2018-01-01,18,74900.0,3.93,1,"Johnstown, PA",462.0,0,Jan-2018
2018-02-01,19,69675.0,3.83,2,"Johnstown, PA",445.0,0,Feb-2018
2018-03-01,20,69900.0,3.94,3,"Johnstown, PA",444.0,0,Mar-2018
2018-04-01,21,73575.0,3.95,4,"Johnstown, PA",460.0,0,Apr-2018
2018-05-01,22,74900.0,3.99,5,"Johnstown, PA",490.0,0,May-2018
2018-06-01,23,79900.0,4.15,6,"Johnstown, PA",522.0,0,Jun-2018
2018-07-01,24,79900.0,4.4,7,"Johnstown, PA",548.0,0,Jul-2018
2018-08-01,25,79400.0,4.46,8,"Johnstown, PA",555.0,0,Aug-2018
2018-09-01,26,79000.0,4.58,9,"Johnstown, PA",542.0,0,Sep-2018
2018-10-01,27,77300.0,4.66,10,"Johnstown, PA",532.0,0,Oct-2018
2018-11-01,28,74975.0,4.62,11,"Johnstown, PA",501.0,0,Nov-2018
2018-12-01,29,71000.0,4.54,12,"Johnstown, PA",457.0,0,Dec-2018
2019-01-01,30,70250.0,4.6,1,"Johnstown, PA",416.0,0,Jan-2019
2019-02-01,31,69900.0,4.72,2,"Johnstown, PA",405.0,0,Feb-2019
2019-03-01,32,75836.0,4.9,3,"Johnstown, PA",420.0,0,Mar-2019
2019-04-01,33,84125.0,4.94,4,"Johnstown, PA",436.0,0,Apr-2019
2019-05-01,34,81000.0,4.75,5,"Johnstown, PA",428.0,0,May-2019
2019-06-01,35,88500.0,4.51,6,"Johnstown, PA",459.0,0,Jun-2019
2019-07-01,36,87400.0,4.41,7,"Johnstown, PA",510.0,0,Jul-2019
2019-08-01,37,83700.0,4.41,8,"Johnstown, PA",522.0,0,Aug-2019
2019-09-01,38,81900.0,4.2,9,"Johnstown, PA",525.0,0,Sep-2019
2019-10-01,39,81900.0,4.14,10,"Johnstown, PA",517.0,0,Oct-2019
2019-11-01,40,79900.0,3.84,11,"Johnstown, PA",487.0,0,Nov-2019
2019-12-01,41,79900.0,3.81,12,"Johnstown, PA",446.0,0,Dec-2019
2020-01-01,42,79900.0,3.75,1,"Johnstown, PA",410.0,0,Jan-2020
2020-02-01,43,74400.0,3.73,2,"Johnstown, PA",377.0,0,Feb-2020
2020-03-01,44,76950.0,3.78,3,"Johnstown, PA",384.0,0,Mar-2020
2020-04-01,45,77600.0,3.75,4,"Johnstown, PA",347.0,0,Apr-2020
2020-05-01,46,79900.0,3.74,5,"Johnstown, PA",321.0,0,May-2020
2020-06-01,47,82450.0,3.72,6,"Johnstown, PA",309.0,0,Jun-2020
2020-07-01,48,80000.0,3.49,7,"Johnstown, PA",309.0,0,Jul-2020
2020-08-01,49,86000.0,3.65,8,"Johnstown, PA",304.0,0,Aug-2020
2020-09-01,50,82500.0,3.33,9,"Johnstown, PA",268.0,0,Sep-2020
2020-10-01,51,75400.0,3.28,10,"Johnstown, PA",257.0,0,Oct-2020
2020-11-01,52,79450.0,3.21,11,"Johnstown, PA",237.0,0,Nov-2020
2020-12-01,53,79800.0,3.07,12,"Johnstown, PA",213.0,0,Dec-2020
2021-01-01,54,79900.0,2.99,1,"Johnstown, PA",183.0,0,Jan-2021
2021-02-01,55,79675.0,2.93,2,"Johnstown, PA",152.0,0,Feb-2021
2021-03-01,56,74925.0,2.88,3,"Johnstown, PA",140.0,0,Mar-2021
2021-04-01,57,74925.0,2.84,4,"Johnstown, PA",129.0,0,Apr-2021
2021-05-01,58,83900.0,2.71,5,"Johnstown, PA",146.0,0,May-2021
2021-06-01,59,95350.0,2.79,6,"Johnstown, PA",166.0,0,Jun-2021
2021-07-01,60,105450.0,2.97,7,"Johnstown, PA",194.0,0,Jul-2021
2021-08-01,61,92350.0,3.17,8,"Johnstown, PA",203.0,0,Aug-2021
2021-09-01,62,100000.0,3.18,9,"Johnstown, PA",199.0,0,Sep-2021
2021-10-01,63,99900.0,3.0,10,"Johnstown, PA",212.0,0,Oct-2021
2021-11-01,64,93675.0,3.02,11,"Johnstown, PA",180.0,0,Nov-2021
2021-12-01,65,94700.0,2.98,12,"Johnstown, PA",164.0,82616,Dec-2021
2022-01-01,66,89900.0,2.87,1,"Johnstown, PA",142.0,84987,Jan-2022
2022-02-01,67,81975.0,3.01,2,"Johnstown, PA",127.0,83336,Feb-2022
2022-03-01,68,82500.0,3.14,3,"Johnstown, PA",122.0,79011,Mar-2022
2022-04-01,69,84950.0,3.1,4,"Johnstown, PA",130.0,77819,Apr-2022
2022-05-01,70,92450.0,3.12,5,"Johnstown, PA",139.0,98809,May-2022
2022-06-01,71,92325.0,3.56,6,"Johnstown, PA",159.0,107500,Jun-2022
2022-07-01,72,109450.0,3.92,7,"Johnstown, PA",190.0,102040,Jul-2022
2022-08-01,73,110450.0,4.67,8,"Johnstown, PA",213.0,111751,Aug-2022
2022-09-01,74,118500.0,5.11,9,"Johnstown, PA",189.0,115725,Sep-2022
2022-10-01,75,109900.0,5.3,10,"Johnstown, PA",182.0,115038,Oct-2022
