date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,275950.0,3.72,7,"Kennewick-Richland, WA",815.0,0,Jul-2016
2016-08-01,1,277950.0,3.73,8,"Kennewick-Richland, WA",856.0,0,Aug-2016
2016-09-01,2,278000.0,3.66,9,"Kennewick-Richland, WA",863.0,0,Sep-2016
2016-10-01,3,279900.0,3.64,10,"Kennewick-Richland, WA",821.0,0,Oct-2016
2016-11-01,4,284850.0,3.66,11,"Kennewick-Richland, WA",721.0,0,Nov-2016
2016-12-01,5,289995.0,3.48,12,"Kennewick-Richland, WA",653.0,0,Dec-2016
2017-01-01,6,296950.0,3.45,1,"Kennewick-Richland, WA",583.0,0,Jan-2017
2017-02-01,7,317438.0,3.5,2,"Kennewick-Richland, WA",516.0,0,Feb-2017
2017-03-01,8,325000.0,3.52,3,"Kennewick-Richland, WA",500.0,0,Mar-2017
2017-04-01,9,324950.0,4.03,4,"Kennewick-Richland, WA",553.0,0,Apr-2017
2017-05-01,10,328925.0,4.32,5,"Kennewick-Richland, WA",579.0,0,May-2017
2017-06-01,11,332450.0,4.2,6,"Kennewick-Richland, WA",613.0,0,Jun-2017
2017-07-01,12,325000.0,4.19,7,"Kennewick-Richland, WA",713.0,0,Jul-2017
2017-08-01,13,319075.0,4.3,8,"Kennewick-Richland, WA",794.0,0,Aug-2017
2017-09-01,14,299625.0,4.1,9,"Kennewick-Richland, WA",1136.0,0,Sep-2017
2017-10-01,15,299900.0,4.05,10,"Kennewick-Richland, WA",1174.0,0,Oct-2017
2017-11-01,16,304439.0,3.94,11,"Kennewick-Richland, WA",1125.0,0,Nov-2017
2017-12-01,17,310000.0,4.03,12,"Kennewick-Richland, WA",957.0,0,Dec-2017
2018-01-01,18,316575.0,3.93,1,"Kennewick-Richland, WA",833.0,0,Jan-2018
2018-02-01,19,322450.0,3.83,2,"Kennewick-Richland, WA",825.0,0,Feb-2018
2018-03-01,20,329800.0,3.94,3,"Kennewick-Richland, WA",850.0,0,Mar-2018
2018-04-01,21,324975.0,3.95,4,"Kennewick-Richland, WA",933.0,0,Apr-2018
2018-05-01,22,330000.0,3.99,5,"Kennewick-Richland, WA",990.0,0,May-2018
2018-06-01,23,334000.0,4.15,6,"Kennewick-Richland, WA",745.0,0,Jun-2018
2018-07-01,24,330750.0,4.4,7,"Kennewick-Richland, WA",1075.0,0,Jul-2018
2018-08-01,25,322450.0,4.46,8,"Kennewick-Richland, WA",1134.0,0,Aug-2018
2018-09-01,26,318230.0,4.58,9,"Kennewick-Richland, WA",1160.0,0,Sep-2018
2018-10-01,27,318450.0,4.66,10,"Kennewick-Richland, WA",1148.0,0,Oct-2018
2018-11-01,28,316425.0,4.62,11,"Kennewick-Richland, WA",1067.0,0,Nov-2018
2018-12-01,29,320000.0,4.54,12,"Kennewick-Richland, WA",948.0,0,Dec-2018
2019-01-01,30,320000.0,4.6,1,"Kennewick-Richland, WA",885.0,0,Jan-2019
2019-02-01,31,322105.0,4.72,2,"Kennewick-Richland, WA",824.0,0,Feb-2019
2019-03-01,32,338854.0,4.9,3,"Kennewick-Richland, WA",666.0,0,Mar-2019
2019-04-01,33,357100.0,4.94,4,"Kennewick-Richland, WA",522.0,0,Apr-2019
2019-05-01,34,349979.0,4.75,5,"Kennewick-Richland, WA",542.0,0,May-2019
2019-06-01,35,358000.0,4.51,6,"Kennewick-Richland, WA",546.0,0,Jun-2019
2019-07-01,36,363938.0,4.41,7,"Kennewick-Richland, WA",586.0,0,Jul-2019
2019-08-01,37,361700.0,4.41,8,"Kennewick-Richland, WA",634.0,0,Aug-2019
2019-09-01,38,352250.0,4.2,9,"Kennewick-Richland, WA",696.0,0,Sep-2019
2019-10-01,39,345950.0,4.14,10,"Kennewick-Richland, WA",717.0,0,Oct-2019
2019-11-01,40,350000.0,3.84,11,"Kennewick-Richland, WA",686.0,0,Nov-2019
2019-12-01,41,351900.0,3.81,12,"Kennewick-Richland, WA",636.0,0,Dec-2019
2020-01-01,42,359900.0,3.75,1,"Kennewick-Richland, WA",581.0,0,Jan-2020
2020-02-01,43,372857.0,3.73,2,"Kennewick-Richland, WA",502.0,0,Feb-2020
2020-03-01,44,384675.0,3.78,3,"Kennewick-Richland, WA",503.0,0,Mar-2020
2020-04-01,45,397400.0,3.75,4,"Kennewick-Richland, WA",502.0,0,Apr-2020
2020-05-01,46,409450.0,3.74,5,"Kennewick-Richland, WA",479.0,0,May-2020
2020-06-01,47,402475.0,3.72,6,"Kennewick-Richland, WA",490.0,0,Jun-2020
2020-07-01,48,413625.0,3.49,7,"Kennewick-Richland, WA",506.0,0,Jul-2020
2020-08-01,49,405000.0,3.65,8,"Kennewick-Richland, WA",473.0,0,Aug-2020
2020-09-01,50,399900.0,3.33,9,"Kennewick-Richland, WA",469.0,0,Sep-2020
2020-10-01,51,399900.0,3.28,10,"Kennewick-Richland, WA",473.0,0,Oct-2020
2020-11-01,52,401875.0,3.21,11,"Kennewick-Richland, WA",420.0,0,Nov-2020
2020-12-01,53,417448.0,3.07,12,"Kennewick-Richland, WA",351.0,0,Dec-2020
2021-01-01,54,418100.0,2.99,1,"Kennewick-Richland, WA",317.0,0,Jan-2021
2021-02-01,55,427296.0,2.93,2,"Kennewick-Richland, WA",284.0,0,Feb-2021
2021-03-01,56,438250.0,2.88,3,"Kennewick-Richland, WA",238.0,0,Mar-2021
2021-04-01,57,443450.0,2.84,4,"Kennewick-Richland, WA",207.0,0,Apr-2021
2021-05-01,58,459900.0,2.71,5,"Kennewick-Richland, WA",204.0,0,May-2021
2021-06-01,59,475475.0,2.79,6,"Kennewick-Richland, WA",209.0,0,Jun-2021
2021-07-01,60,469950.0,2.97,7,"Kennewick-Richland, WA",247.0,0,Jul-2021
2021-08-01,61,504725.0,3.17,8,"Kennewick-Richland, WA",297.0,0,Aug-2021
