date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,115000.0,3.72,7,"Lawton, OK",835.0,0,Jul-2016
2016-08-01,1,114950.0,3.73,8,"Lawton, OK",809.0,0,Aug-2016
2016-09-01,2,109950.0,3.66,9,"Lawton, OK",787.0,0,Sep-2016
2016-10-01,3,109900.0,3.64,10,"Lawton, OK",740.0,0,Oct-2016
2016-11-01,4,112800.0,3.66,11,"Lawton, OK",719.0,0,Nov-2016
2016-12-01,5,110950.0,3.48,12,"Lawton, OK",732.0,0,Dec-2016
2017-01-01,6,111925.0,3.45,1,"Lawton, OK",729.0,0,Jan-2017
2017-02-01,7,114700.0,3.5,2,"Lawton, OK",738.0,0,Feb-2017
2017-03-01,8,117125.0,3.52,3,"Lawton, OK",776.0,0,Mar-2017
2017-04-01,9,115000.0,4.03,4,"Lawton, OK",778.0,0,Apr-2017
2017-05-01,10,119700.0,4.32,5,"Lawton, OK",739.0,0,May-2017
2017-06-01,11,118975.0,4.2,6,"Lawton, OK",745.0,0,Jun-2017
2017-07-01,12,118000.0,4.19,7,"Lawton, OK",782.0,0,Jul-2017
2017-08-01,13,115450.0,4.3,8,"Lawton, OK",814.0,0,Aug-2017
2017-09-01,14,112000.0,4.1,9,"Lawton, OK",837.0,0,Sep-2017
2017-10-01,15,109950.0,4.05,10,"Lawton, OK",847.0,0,Oct-2017
2017-11-01,16,115000.0,3.94,11,"Lawton, OK",811.0,0,Nov-2017
2017-12-01,17,109975.0,4.03,12,"Lawton, OK",796.0,0,Dec-2017
2018-01-01,18,109925.0,3.93,1,"Lawton, OK",777.0,0,Jan-2018
2018-02-01,19,113675.0,3.83,2,"Lawton, OK",777.0,0,Feb-2018
2018-03-01,20,119900.0,3.94,3,"Lawton, OK",759.0,0,Mar-2018
2018-04-01,21,119950.0,3.95,4,"Lawton, OK",757.0,0,Apr-2018
2018-05-01,22,118700.0,3.99,5,"Lawton, OK",778.0,0,May-2018
2018-06-01,23,119900.0,4.15,6,"Lawton, OK",782.0,0,Jun-2018
2018-07-01,24,119575.0,4.4,7,"Lawton, OK",796.0,0,Jul-2018
2018-08-01,25,119950.0,4.46,8,"Lawton, OK",769.0,0,Aug-2018
2018-09-01,26,127750.0,4.58,9,"Lawton, OK",742.0,0,Sep-2018
2018-10-01,27,121375.0,4.66,10,"Lawton, OK",724.0,0,Oct-2018
2018-11-01,28,119900.0,4.62,11,"Lawton, OK",707.0,0,Nov-2018
2018-12-01,29,119000.0,4.54,12,"Lawton, OK",715.0,0,Dec-2018
2019-01-01,30,118250.0,4.6,1,"Lawton, OK",661.0,0,Jan-2019
2019-02-01,31,117450.0,4.72,2,"Lawton, OK",656.0,0,Feb-2019
2019-03-01,32,119943.0,4.9,3,"Lawton, OK",642.0,0,Mar-2019
2019-04-01,33,119993.0,4.94,4,"Lawton, OK",617.0,0,Apr-2019
2019-05-01,34,119963.0,4.75,5,"Lawton, OK",608.0,0,May-2019
2019-06-01,35,120000.0,4.51,6,"Lawton, OK",600.0,0,Jun-2019
2019-07-01,36,124450.0,4.41,7,"Lawton, OK",600.0,0,Jul-2019
2019-08-01,37,121791.0,4.41,8,"Lawton, OK",599.0,0,Aug-2019
2019-09-01,38,120727.0,4.2,9,"Lawton, OK",588.0,0,Sep-2019
2019-10-01,39,120568.0,4.14,10,"Lawton, OK",586.0,0,Oct-2019
2019-11-01,40,123500.0,3.84,11,"Lawton, OK",574.0,0,Nov-2019
