date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,223975.0,3.72,7,"Lewiston, ID-WA",350.0,0,Jul-2016
2016-08-01,1,220625.0,3.73,8,"Lewiston, ID-WA",351.0,0,Aug-2016
2016-09-01,2,219900.0,3.66,9,"Lewiston, ID-WA",363.0,0,Sep-2016
2016-10-01,3,219000.0,3.64,10,"Lewiston, ID-WA",337.0,0,Oct-2016
2016-11-01,4,215700.0,3.66,11,"Lewiston, ID-WA",310.0,0,Nov-2016
2016-12-01,5,219000.0,3.48,12,"Lewiston, ID-WA",272.0,0,Dec-2016
2017-01-01,6,216000.0,3.45,1,"Lewiston, ID-WA",230.0,0,Jan-2017
2017-02-01,7,215000.0,3.5,2,"Lewiston, ID-WA",221.0,0,Feb-2017
2017-03-01,8,229225.0,3.52,3,"Lewiston, ID-WA",252.0,0,Mar-2017
2017-04-01,9,238500.0,4.03,4,"Lewiston, ID-WA",275.0,0,Apr-2017
2017-05-01,10,241000.0,4.32,5,"Lewiston, ID-WA",292.0,0,May-2017
2017-06-01,11,239925.0,4.2,6,"Lewiston, ID-WA",290.0,0,Jun-2017
2017-07-01,12,239000.0,4.19,7,"Lewiston, ID-WA",297.0,0,Jul-2017
2017-08-01,13,236913.0,4.3,8,"Lewiston, ID-WA",325.0,0,Aug-2017
2017-09-01,14,239000.0,4.1,9,"Lewiston, ID-WA",316.0,0,Sep-2017
2017-10-01,15,230600.0,4.05,10,"Lewiston, ID-WA",316.0,0,Oct-2017
2017-11-01,16,235000.0,3.94,11,"Lewiston, ID-WA",286.0,0,Nov-2017
2017-12-01,17,234000.0,4.03,12,"Lewiston, ID-WA",250.0,0,Dec-2017
2018-01-01,18,232563.0,3.93,1,"Lewiston, ID-WA",212.0,0,Jan-2018
2018-02-01,19,239000.0,3.83,2,"Lewiston, ID-WA",207.0,0,Feb-2018
2018-03-01,20,248000.0,3.94,3,"Lewiston, ID-WA",240.0,0,Mar-2018
2018-04-01,21,253500.0,3.95,4,"Lewiston, ID-WA",262.0,0,Apr-2018
2018-05-01,22,251000.0,3.99,5,"Lewiston, ID-WA",287.0,0,May-2018
2018-06-01,23,249900.0,4.15,6,"Lewiston, ID-WA",282.0,0,Jun-2018
2018-07-01,24,251500.0,4.4,7,"Lewiston, ID-WA",293.0,0,Jul-2018
2018-08-01,25,252450.0,4.46,8,"Lewiston, ID-WA",292.0,0,Aug-2018
2018-09-01,26,249700.0,4.58,9,"Lewiston, ID-WA",274.0,0,Sep-2018
2018-10-01,27,245975.0,4.66,10,"Lewiston, ID-WA",263.0,0,Oct-2018
2018-11-01,28,239450.0,4.62,11,"Lewiston, ID-WA",252.0,0,Nov-2018
2018-12-01,29,239700.0,4.54,12,"Lewiston, ID-WA",193.0,0,Dec-2018
2019-01-01,30,239975.0,4.6,1,"Lewiston, ID-WA",171.0,0,Jan-2019
2019-02-01,31,241625.0,4.72,2,"Lewiston, ID-WA",172.0,0,Feb-2019
2019-03-01,32,251518.0,4.9,3,"Lewiston, ID-WA",204.0,0,Mar-2019
2019-04-01,33,267813.0,4.94,4,"Lewiston, ID-WA",246.0,0,Apr-2019
2019-05-01,34,282363.0,4.75,5,"Lewiston, ID-WA",134.0,0,May-2019
2019-06-01,35,282400.0,4.51,6,"Lewiston, ID-WA",142.0,0,Jun-2019
2019-07-01,36,288625.0,4.41,7,"Lewiston, ID-WA",144.0,0,Jul-2019
2019-08-01,37,286818.0,4.41,8,"Lewiston, ID-WA",141.0,0,Aug-2019
2019-09-01,38,276795.0,4.2,9,"Lewiston, ID-WA",148.0,0,Sep-2019
2019-10-01,39,269495.0,4.14,10,"Lewiston, ID-WA",153.0,0,Oct-2019
2019-11-01,40,259900.0,3.84,11,"Lewiston, ID-WA",155.0,0,Nov-2019
2019-12-01,41,264750.0,3.81,12,"Lewiston, ID-WA",127.0,0,Dec-2019
2020-01-01,42,268250.0,3.75,1,"Lewiston, ID-WA",105.0,0,Jan-2020
2020-02-01,43,275000.0,3.73,2,"Lewiston, ID-WA",100.0,0,Feb-2020
2020-03-01,44,271150.0,3.78,3,"Lewiston, ID-WA",100.0,0,Mar-2020
2020-04-01,45,272748.0,3.75,4,"Lewiston, ID-WA",109.0,0,Apr-2020
2020-05-01,46,299900.0,3.74,5,"Lewiston, ID-WA",101.0,0,May-2020
2020-06-01,47,279450.0,3.72,6,"Lewiston, ID-WA",87.0,0,Jun-2020
2020-07-01,48,299675.0,3.49,7,"Lewiston, ID-WA",77.0,0,Jul-2020
2020-08-01,49,289900.0,3.65,8,"Lewiston, ID-WA",86.0,0,Aug-2020
2020-09-01,50,293950.0,3.33,9,"Lewiston, ID-WA",81.0,0,Sep-2020
2020-10-01,51,289990.0,3.28,10,"Lewiston, ID-WA",76.0,0,Oct-2020
2020-11-01,52,289950.0,3.21,11,"Lewiston, ID-WA",66.0,0,Nov-2020
2020-12-01,53,280750.0,3.07,12,"Lewiston, ID-WA",53.0,0,Dec-2020
2021-01-01,54,282450.0,2.99,1,"Lewiston, ID-WA",43.0,0,Jan-2021
2021-02-01,55,346100.0,2.93,2,"Lewiston, ID-WA",34.0,0,Feb-2021
2021-03-01,56,368475.0,2.88,3,"Lewiston, ID-WA",38.0,0,Mar-2021
2021-04-01,57,363450.0,2.84,4,"Lewiston, ID-WA",37.0,0,Apr-2021
2021-05-01,58,369000.0,2.71,5,"Lewiston, ID-WA",49.0,0,May-2021
2021-06-01,59,354450.0,2.79,6,"Lewiston, ID-WA",55.0,0,Jun-2021
2021-07-01,60,315000.0,2.97,7,"Lewiston, ID-WA",69.0,0,Jul-2021
2021-08-01,61,353250.0,3.17,8,"Lewiston, ID-WA",97.0,0,Aug-2021
2021-09-01,62,349975.0,3.18,9,"Lewiston, ID-WA",97.0,0,Sep-2021
2021-10-01,63,356950.0,3.0,10,"Lewiston, ID-WA",99.0,0,Oct-2021
2021-11-01,64,386000.0,3.02,11,"Lewiston, ID-WA",84.0,0,Nov-2021
2021-12-01,65,378750.0,2.98,12,"Lewiston, ID-WA",69.0,431165,Dec-2021
2022-01-01,66,389000.0,2.87,1,"Lewiston, ID-WA",55.0,437251,Jan-2022
2022-02-01,67,401225.0,3.01,2,"Lewiston, ID-WA",43.0,436103,Feb-2022
2022-03-01,68,418125.0,3.14,3,"Lewiston, ID-WA",49.0,432972,Mar-2022
2022-04-01,69,430000.0,3.1,4,"Lewiston, ID-WA",70.0,429084,Apr-2022
2022-05-01,70,427488.0,3.12,5,"Lewiston, ID-WA",80.0,440217,May-2022
2022-06-01,71,441450.0,3.56,6,"Lewiston, ID-WA",106.0,428941,Jun-2022
2022-07-01,72,419450.0,3.92,7,"Lewiston, ID-WA",140.0,407469,Jul-2022
2022-08-01,73,414925.0,4.67,8,"Lewiston, ID-WA",157.0,370076,Aug-2022
2022-09-01,74,432450.0,5.11,9,"Lewiston, ID-WA",151.0,377037,Sep-2022
2022-10-01,75,439900.0,5.3,10,"Lewiston, ID-WA",154.0,378071,Oct-2022
