date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,174750.0,3.72,7,"Lufkin, TX",306.0,0,Jul-2016
2016-08-01,1,174500.0,3.73,8,"Lufkin, TX",311.0,0,Aug-2016
2016-09-01,2,172600.0,3.66,9,"Lufkin, TX",305.0,0,Sep-2016
2016-10-01,3,167750.0,3.64,10,"Lufkin, TX",298.0,0,Oct-2016
2016-11-01,4,163400.0,3.66,11,"Lufkin, TX",299.0,0,Nov-2016
2016-12-01,5,164900.0,3.48,12,"Lufkin, TX",286.0,0,Dec-2016
2017-01-01,6,159900.0,3.45,1,"Lufkin, TX",269.0,0,Jan-2017
2017-02-01,7,159000.0,3.5,2,"Lufkin, TX",259.0,0,Feb-2017
2017-03-01,8,160200.0,3.52,3,"Lufkin, TX",270.0,0,Mar-2017
2017-04-01,9,159900.0,4.03,4,"Lufkin, TX",279.0,0,Apr-2017
2017-05-01,10,163700.0,4.32,5,"Lufkin, TX",306.0,0,May-2017
2017-06-01,11,162475.0,4.2,6,"Lufkin, TX",294.0,0,Jun-2017
2017-07-01,12,168900.0,4.19,7,"Lufkin, TX",289.0,0,Jul-2017
2017-08-01,13,174155.0,4.3,8,"Lufkin, TX",280.0,0,Aug-2017
2017-09-01,14,179450.0,4.1,9,"Lufkin, TX",287.0,0,Sep-2017
2017-10-01,15,174950.0,4.05,10,"Lufkin, TX",302.0,0,Oct-2017
2017-11-01,16,169900.0,3.94,11,"Lufkin, TX",300.0,0,Nov-2017
2017-12-01,17,169900.0,4.03,12,"Lufkin, TX",280.0,0,Dec-2017
2018-01-01,18,177450.0,3.93,1,"Lufkin, TX",276.0,0,Jan-2018
2018-02-01,19,173350.0,3.83,2,"Lufkin, TX",276.0,0,Feb-2018
2018-03-01,20,179900.0,3.94,3,"Lufkin, TX",258.0,0,Mar-2018
2018-04-01,21,189175.0,3.95,4,"Lufkin, TX",251.0,0,Apr-2018
2018-05-01,22,194405.0,3.99,5,"Lufkin, TX",251.0,0,May-2018
2018-06-01,23,210000.0,4.15,6,"Lufkin, TX",260.0,0,Jun-2018
2018-07-01,24,202450.0,4.4,7,"Lufkin, TX",271.0,0,Jul-2018
2018-08-01,25,212200.0,4.46,8,"Lufkin, TX",261.0,0,Aug-2018
2018-09-01,26,219900.0,4.58,9,"Lufkin, TX",250.0,0,Sep-2018
2018-10-01,27,226225.0,4.66,10,"Lufkin, TX",240.0,0,Oct-2018
2018-11-01,28,219450.0,4.62,11,"Lufkin, TX",238.0,0,Nov-2018
2018-12-01,29,194900.0,4.54,12,"Lufkin, TX",265.0,0,Dec-2018
2019-01-01,30,191950.0,4.6,1,"Lufkin, TX",260.0,0,Jan-2019
2019-02-01,31,175980.0,4.72,2,"Lufkin, TX",263.0,0,Feb-2019
2019-03-01,32,186385.0,4.9,3,"Lufkin, TX",244.0,0,Mar-2019
2019-04-01,33,200325.0,4.94,4,"Lufkin, TX",223.0,0,Apr-2019
2019-05-01,34,215000.0,4.75,5,"Lufkin, TX",228.0,0,May-2019
2019-06-01,35,214900.0,4.51,6,"Lufkin, TX",243.0,0,Jun-2019
2019-07-01,36,212380.0,4.41,7,"Lufkin, TX",233.0,0,Jul-2019
2019-08-01,37,214826.0,4.41,8,"Lufkin, TX",230.0,0,Aug-2019
2019-09-01,38,214924.0,4.2,9,"Lufkin, TX",233.0,0,Sep-2019
2019-10-01,39,219500.0,4.14,10,"Lufkin, TX",228.0,0,Oct-2019
2019-11-01,40,225000.0,3.84,11,"Lufkin, TX",213.0,0,Nov-2019
2019-12-01,41,221500.0,3.81,12,"Lufkin, TX",207.0,0,Dec-2019
2020-01-01,42,211175.0,3.75,1,"Lufkin, TX",198.0,0,Jan-2020
2020-02-01,43,199900.0,3.73,2,"Lufkin, TX",220.0,0,Feb-2020
2020-03-01,44,215000.0,3.78,3,"Lufkin, TX",223.0,0,Mar-2020
2020-04-01,45,225750.0,3.75,4,"Lufkin, TX",227.0,0,Apr-2020
2020-05-01,46,225000.0,3.74,5,"Lufkin, TX",220.0,0,May-2020
2020-06-01,47,235175.0,3.72,6,"Lufkin, TX",207.0,0,Jun-2020
2020-07-01,48,243205.0,3.49,7,"Lufkin, TX",198.0,0,Jul-2020
2020-08-01,49,238500.0,3.65,8,"Lufkin, TX",169.0,0,Aug-2020
2020-09-01,50,224500.0,3.33,9,"Lufkin, TX",150.0,0,Sep-2020
2020-10-01,51,245000.0,3.28,10,"Lufkin, TX",136.0,0,Oct-2020
2020-11-01,52,254725.0,3.21,11,"Lufkin, TX",126.0,0,Nov-2020
2020-12-01,53,245000.0,3.07,12,"Lufkin, TX",131.0,0,Dec-2020
2021-01-01,54,233000.0,2.99,1,"Lufkin, TX",126.0,0,Jan-2021
2021-02-01,55,217500.0,2.93,2,"Lufkin, TX",126.0,0,Feb-2021
2021-03-01,56,219925.0,2.88,3,"Lufkin, TX",111.0,0,Mar-2021
2021-04-01,57,216200.0,2.84,4,"Lufkin, TX",101.0,0,Apr-2021
2021-05-01,58,259000.0,2.71,5,"Lufkin, TX",92.0,0,May-2021
2021-06-01,59,271000.0,2.79,6,"Lufkin, TX",86.0,0,Jun-2021
2021-07-01,60,229900.0,2.97,7,"Lufkin, TX",119.0,0,Jul-2021
2021-08-01,61,246750.0,3.17,8,"Lufkin, TX",123.0,0,Aug-2021
2021-09-01,62,240950.0,3.18,9,"Lufkin, TX",128.0,0,Sep-2021
2021-10-01,63,251000.0,3.0,10,"Lufkin, TX",123.0,0,Oct-2021
2021-11-01,64,273925.0,3.02,11,"Lufkin, TX",122.0,0,Nov-2021
2021-12-01,65,268783.0,2.98,12,"Lufkin, TX",107.0,272833,Dec-2021
2022-01-01,66,265000.0,2.87,1,"Lufkin, TX",94.0,242334,Jan-2022
2022-02-01,67,275600.0,3.01,2,"Lufkin, TX",91.0,228827,Feb-2022
2022-03-01,68,279700.0,3.14,3,"Lufkin, TX",98.0,266430,Mar-2022
2022-04-01,69,304000.0,3.1,4,"Lufkin, TX",102.0,247096,Apr-2022
2022-05-01,70,276250.0,3.12,5,"Lufkin, TX",133.0,266992,May-2022
2022-06-01,71,272450.0,3.56,6,"Lufkin, TX",143.0,271324,Jun-2022
2022-07-01,72,260000.0,3.92,7,"Lufkin, TX",154.0,270989,Jul-2022
2022-08-01,73,273200.0,4.67,8,"Lufkin, TX",157.0,267531,Aug-2022
2022-09-01,74,291975.0,5.11,9,"Lufkin, TX",165.0,253337,Sep-2022
2022-10-01,75,292500.0,5.3,10,"Lufkin, TX",191.0,256539,Oct-2022
