date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,112900.0,3.72,7,"Marinette, WI-MI",765.0,0,Jul-2016
2016-08-01,1,110000.0,3.73,8,"Marinette, WI-MI",775.0,0,Aug-2016
2016-09-01,2,114950.0,3.66,9,"Marinette, WI-MI",790.0,0,Sep-2016
2016-10-01,3,115000.0,3.64,10,"Marinette, WI-MI",769.0,0,Oct-2016
2016-11-01,4,114900.0,3.66,11,"Marinette, WI-MI",725.0,0,Nov-2016
2016-12-01,5,110000.0,3.48,12,"Marinette, WI-MI",661.0,0,Dec-2016
2017-01-01,6,109950.0,3.45,1,"Marinette, WI-MI",619.0,0,Jan-2017
2017-02-01,7,112350.0,3.5,2,"Marinette, WI-MI",608.0,0,Feb-2017
2017-03-01,8,119000.0,3.52,3,"Marinette, WI-MI",601.0,0,Mar-2017
2017-04-01,9,126950.0,4.03,4,"Marinette, WI-MI",579.0,0,Apr-2017
2017-05-01,10,128750.0,4.32,5,"Marinette, WI-MI",644.0,0,May-2017
2017-06-01,11,129900.0,4.2,6,"Marinette, WI-MI",658.0,0,Jun-2017
2017-07-01,12,124900.0,4.19,7,"Marinette, WI-MI",660.0,0,Jul-2017
2017-08-01,13,124925.0,4.3,8,"Marinette, WI-MI",653.0,0,Aug-2017
2017-09-01,14,124650.0,4.1,9,"Marinette, WI-MI",628.0,0,Sep-2017
2017-10-01,15,126725.0,4.05,10,"Marinette, WI-MI",614.0,0,Oct-2017
2017-11-01,16,124425.0,3.94,11,"Marinette, WI-MI",556.0,0,Nov-2017
2017-12-01,17,121700.0,4.03,12,"Marinette, WI-MI",482.0,0,Dec-2017
2018-01-01,18,119800.0,3.93,1,"Marinette, WI-MI",430.0,0,Jan-2018
2018-02-01,19,125463.0,3.83,2,"Marinette, WI-MI",434.0,0,Feb-2018
2018-03-01,20,126950.0,3.94,3,"Marinette, WI-MI",413.0,0,Mar-2018
2018-04-01,21,130425.0,3.95,4,"Marinette, WI-MI",415.0,0,Apr-2018
2018-05-01,22,137475.0,3.99,5,"Marinette, WI-MI",431.0,0,May-2018
2018-06-01,23,134900.0,4.15,6,"Marinette, WI-MI",493.0,0,Jun-2018
2018-07-01,24,139000.0,4.4,7,"Marinette, WI-MI",611.0,0,Jul-2018
2018-08-01,25,133400.0,4.46,8,"Marinette, WI-MI",653.0,0,Aug-2018
2018-09-01,26,138450.0,4.58,9,"Marinette, WI-MI",532.0,0,Sep-2018
2018-10-01,27,139900.0,4.66,10,"Marinette, WI-MI",502.0,0,Oct-2018
2018-11-01,28,139450.0,4.62,11,"Marinette, WI-MI",492.0,0,Nov-2018
2018-12-01,29,134450.0,4.54,12,"Marinette, WI-MI",458.0,0,Dec-2018
2019-01-01,30,134000.0,4.6,1,"Marinette, WI-MI",400.0,0,Jan-2019
2019-02-01,31,132900.0,4.72,2,"Marinette, WI-MI",395.0,0,Feb-2019
2019-03-01,32,132000.0,4.9,3,"Marinette, WI-MI",394.0,0,Mar-2019
