date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,152625.0,3.72,7,"Midland, MI",529.0,0,Jul-2016
2016-08-01,1,149900.0,3.73,8,"Midland, MI",534.0,0,Aug-2016
2016-09-01,2,145300.0,3.66,9,"Midland, MI",538.0,0,Sep-2016
2016-10-01,3,140000.0,3.64,10,"Midland, MI",517.0,0,Oct-2016
2016-11-01,4,143900.0,3.66,11,"Midland, MI",464.0,0,Nov-2016
2016-12-01,5,139250.0,3.48,12,"Midland, MI",413.0,0,Dec-2016
2017-01-01,6,141225.0,3.45,1,"Midland, MI",355.0,0,Jan-2017
2017-02-01,7,144800.0,3.5,2,"Midland, MI",318.0,0,Feb-2017
2017-03-01,8,149900.0,3.52,3,"Midland, MI",326.0,0,Mar-2017
2017-04-01,9,167000.0,4.03,4,"Midland, MI",343.0,0,Apr-2017
2017-05-01,10,174900.0,4.32,5,"Midland, MI",370.0,0,May-2017
2017-06-01,11,175950.0,4.2,6,"Midland, MI",379.0,0,Jun-2017
2017-07-01,12,166000.0,4.19,7,"Midland, MI",388.0,0,Jul-2017
2017-08-01,13,164800.0,4.3,8,"Midland, MI",390.0,0,Aug-2017
2017-09-01,14,169000.0,4.1,9,"Midland, MI",408.0,0,Sep-2017
2017-10-01,15,168075.0,4.05,10,"Midland, MI",374.0,0,Oct-2017
2017-11-01,16,173700.0,3.94,11,"Midland, MI",335.0,0,Nov-2017
2017-12-01,17,173200.0,4.03,12,"Midland, MI",300.0,0,Dec-2017
2018-01-01,18,170000.0,3.93,1,"Midland, MI",264.0,0,Jan-2018
2018-02-01,19,176125.0,3.83,2,"Midland, MI",245.0,0,Feb-2018
2018-03-01,20,170000.0,3.94,3,"Midland, MI",278.0,0,Mar-2018
2018-04-01,21,179950.0,3.95,4,"Midland, MI",268.0,0,Apr-2018
2018-05-01,22,184000.0,3.99,5,"Midland, MI",281.0,0,May-2018
2018-06-01,23,186000.0,4.15,6,"Midland, MI",315.0,0,Jun-2018
