date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,172425.0,3.72,7,"Monroe, MI",717.0,0,Jul-2016
2016-08-01,1,169900.0,3.73,8,"Monroe, MI",772.0,0,Aug-2016
2016-09-01,2,169900.0,3.66,9,"Monroe, MI",757.0,0,Sep-2016
2016-10-01,3,169000.0,3.64,10,"Monroe, MI",709.0,0,Oct-2016
2016-11-01,4,166000.0,3.66,11,"Monroe, MI",667.0,0,Nov-2016
2016-12-01,5,164900.0,3.48,12,"Monroe, MI",591.0,0,Dec-2016
2017-01-01,6,165000.0,3.45,1,"Monroe, MI",564.0,0,Jan-2017
2017-02-01,7,166075.0,3.5,2,"Monroe, MI",537.0,0,Feb-2017
2017-03-01,8,164925.0,3.52,3,"Monroe, MI",522.0,0,Mar-2017
2017-04-01,9,169900.0,4.03,4,"Monroe, MI",520.0,0,Apr-2017
2017-05-01,10,179900.0,4.32,5,"Monroe, MI",496.0,0,May-2017
2017-06-01,11,187400.0,4.2,6,"Monroe, MI",550.0,0,Jun-2017
2017-07-01,12,198700.0,4.19,7,"Monroe, MI",556.0,0,Jul-2017
2017-08-01,13,177400.0,4.3,8,"Monroe, MI",578.0,0,Aug-2017
2017-09-01,14,179900.0,4.1,9,"Monroe, MI",588.0,0,Sep-2017
2017-10-01,15,180000.0,4.05,10,"Monroe, MI",575.0,0,Oct-2017
2017-11-01,16,177075.0,3.94,11,"Monroe, MI",558.0,0,Nov-2017
2017-12-01,17,163900.0,4.03,12,"Monroe, MI",520.0,0,Dec-2017
2018-01-01,18,169175.0,3.93,1,"Monroe, MI",443.0,0,Jan-2018
2018-02-01,19,172150.0,3.83,2,"Monroe, MI",425.0,0,Feb-2018
2018-03-01,20,187000.0,3.94,3,"Monroe, MI",406.0,0,Mar-2018
2018-04-01,21,197400.0,3.95,4,"Monroe, MI",420.0,0,Apr-2018
2018-05-01,22,199225.0,3.99,5,"Monroe, MI",436.0,0,May-2018
2018-06-01,23,199999.0,4.15,6,"Monroe, MI",497.0,0,Jun-2018
2018-07-01,24,216400.0,4.4,7,"Monroe, MI",538.0,0,Jul-2018
2018-08-01,25,211450.0,4.46,8,"Monroe, MI",587.0,0,Aug-2018
2018-09-01,26,199000.0,4.58,9,"Monroe, MI",577.0,0,Sep-2018
2018-10-01,27,197000.0,4.66,10,"Monroe, MI",533.0,0,Oct-2018
2018-11-01,28,203063.0,4.62,11,"Monroe, MI",497.0,0,Nov-2018
2018-12-01,29,194900.0,4.54,12,"Monroe, MI",460.0,0,Dec-2018
2019-01-01,30,187450.0,4.6,1,"Monroe, MI",444.0,0,Jan-2019
2019-02-01,31,196925.0,4.72,2,"Monroe, MI",432.0,0,Feb-2019
2019-03-01,32,203614.0,4.9,3,"Monroe, MI",417.0,0,Mar-2019
2019-04-01,33,209900.0,4.94,4,"Monroe, MI",415.0,0,Apr-2019
2019-05-01,34,199900.0,4.75,5,"Monroe, MI",422.0,0,May-2019
2019-06-01,35,203700.0,4.51,6,"Monroe, MI",459.0,0,Jun-2019
2019-07-01,36,210195.0,4.41,7,"Monroe, MI",495.0,0,Jul-2019
2019-08-01,37,207173.0,4.41,8,"Monroe, MI",499.0,0,Aug-2019
2019-09-01,38,203082.0,4.2,9,"Monroe, MI",494.0,0,Sep-2019
2019-10-01,39,202630.0,4.14,10,"Monroe, MI",492.0,0,Oct-2019
2019-11-01,40,200990.0,3.84,11,"Monroe, MI",502.0,0,Nov-2019
2019-12-01,41,199663.0,3.81,12,"Monroe, MI",453.0,0,Dec-2019
2020-01-01,42,199900.0,3.75,1,"Monroe, MI",389.0,0,Jan-2020
2020-02-01,43,209900.0,3.73,2,"Monroe, MI",343.0,0,Feb-2020
2020-03-01,44,209925.0,3.78,3,"Monroe, MI",295.0,0,Mar-2020
2020-04-01,45,204900.0,3.75,4,"Monroe, MI",266.0,0,Apr-2020
2020-05-01,46,197000.0,3.74,5,"Monroe, MI",282.0,0,May-2020
2020-06-01,47,221675.0,3.72,6,"Monroe, MI",265.0,0,Jun-2020
2020-07-01,48,227400.0,3.49,7,"Monroe, MI",241.0,0,Jul-2020
2020-08-01,49,239900.0,3.65,8,"Monroe, MI",247.0,0,Aug-2020
2020-09-01,50,238950.0,3.33,9,"Monroe, MI",221.0,0,Sep-2020
2020-10-01,51,229900.0,3.28,10,"Monroe, MI",223.0,0,Oct-2020
2020-11-01,52,240088.0,3.21,11,"Monroe, MI",212.0,0,Nov-2020
2020-12-01,53,229900.0,3.07,12,"Monroe, MI",204.0,0,Dec-2020
2021-01-01,54,230000.0,2.99,1,"Monroe, MI",174.0,0,Jan-2021
2021-02-01,55,246473.0,2.93,2,"Monroe, MI",157.0,0,Feb-2021
2021-03-01,56,239950.0,2.88,3,"Monroe, MI",143.0,0,Mar-2021
2021-04-01,57,260380.0,2.84,4,"Monroe, MI",153.0,0,Apr-2021
2021-05-01,58,253910.0,2.71,5,"Monroe, MI",151.0,0,May-2021
2021-06-01,59,255200.0,2.79,6,"Monroe, MI",191.0,0,Jun-2021
2021-07-01,60,244500.0,2.97,7,"Monroe, MI",206.0,0,Jul-2021
2021-08-01,61,247300.0,3.17,8,"Monroe, MI",245.0,0,Aug-2021
2021-09-01,62,246200.0,3.18,9,"Monroe, MI",237.0,0,Sep-2021
2021-10-01,63,239900.0,3.0,10,"Monroe, MI",212.0,0,Oct-2021
2021-11-01,64,239925.0,3.02,11,"Monroe, MI",200.0,0,Nov-2021
2021-12-01,65,234900.0,2.98,12,"Monroe, MI",178.0,274020,Dec-2021
2022-01-01,66,234900.0,2.87,1,"Monroe, MI",166.0,273486,Jan-2022
2022-02-01,67,251500.0,3.01,2,"Monroe, MI",143.0,273723,Feb-2022
2022-03-01,68,250750.0,3.14,3,"Monroe, MI",123.0,274062,Mar-2022
2022-04-01,69,254000.0,3.1,4,"Monroe, MI",128.0,274463,Apr-2022
2022-05-01,70,259925.0,3.12,5,"Monroe, MI",155.0,273998,May-2022
2022-06-01,71,274950.0,3.56,6,"Monroe, MI",185.0,272057,Jun-2022
2022-07-01,72,275000.0,3.92,7,"Monroe, MI",229.0,268272,Jul-2022
2022-08-01,73,246650.0,4.67,8,"Monroe, MI",253.0,263533,Aug-2022
2022-09-01,74,264725.0,5.11,9,"Monroe, MI",234.0,259912,Sep-2022
2022-10-01,75,258175.0,5.3,10,"Monroe, MI",225.0,259684,Oct-2022
