date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,284925.0,3.72,7,"Morehead City, NC",1434.0,0,Jul-2016
2016-08-01,1,285475.0,3.73,8,"Morehead City, NC",1365.0,0,Aug-2016
2016-09-01,2,225000.0,3.66,9,"Morehead City, NC",1944.0,0,Sep-2016
2016-10-01,3,299000.0,3.64,10,"Morehead City, NC",1260.0,0,Oct-2016
2016-11-01,4,299000.0,3.66,11,"Morehead City, NC",1216.0,0,Nov-2016
2016-12-01,5,298500.0,3.48,12,"Morehead City, NC",1149.0,0,Dec-2016
2017-01-01,6,299000.0,3.45,1,"Morehead City, NC",1099.0,0,Jan-2017
2017-02-01,7,299000.0,3.5,2,"Morehead City, NC",1111.0,0,Feb-2017
2017-03-01,8,299000.0,3.52,3,"Morehead City, NC",1139.0,0,Mar-2017
2017-04-01,9,309000.0,4.03,4,"Morehead City, NC",1184.0,0,Apr-2017
2017-05-01,10,305750.0,4.32,5,"Morehead City, NC",1194.0,0,May-2017
2017-06-01,11,305000.0,4.2,6,"Morehead City, NC",1166.0,0,Jun-2017
2017-07-01,12,315000.0,4.19,7,"Morehead City, NC",1176.0,0,Jul-2017
2017-08-01,13,315250.0,4.3,8,"Morehead City, NC",1131.0,0,Aug-2017
2017-09-01,14,315000.0,4.1,9,"Morehead City, NC",1121.0,0,Sep-2017
2017-10-01,15,314900.0,4.05,10,"Morehead City, NC",1117.0,0,Oct-2017
2017-11-01,16,309000.0,3.94,11,"Morehead City, NC",1091.0,0,Nov-2017
2017-12-01,17,310000.0,4.03,12,"Morehead City, NC",1038.0,0,Dec-2017
2018-01-01,18,309225.0,3.93,1,"Morehead City, NC",970.0,0,Jan-2018
2018-02-01,19,314950.0,3.83,2,"Morehead City, NC",959.0,0,Feb-2018
2018-03-01,20,322000.0,3.94,3,"Morehead City, NC",998.0,0,Mar-2018
2018-04-01,21,322000.0,3.95,4,"Morehead City, NC",1012.0,0,Apr-2018
2018-05-01,22,325000.0,3.99,5,"Morehead City, NC",1023.0,0,May-2018
2018-06-01,23,325750.0,4.15,6,"Morehead City, NC",1000.0,0,Jun-2018
2018-07-01,24,329997.0,4.4,7,"Morehead City, NC",984.0,0,Jul-2018
2018-08-01,25,337000.0,4.46,8,"Morehead City, NC",939.0,0,Aug-2018
2018-09-01,26,343000.0,4.58,9,"Morehead City, NC",899.0,0,Sep-2018
2018-10-01,27,337000.0,4.66,10,"Morehead City, NC",723.0,0,Oct-2018
2018-11-01,28,338925.0,4.62,11,"Morehead City, NC",670.0,0,Nov-2018
2018-12-01,29,339900.0,4.54,12,"Morehead City, NC",653.0,0,Dec-2018
2019-01-01,30,339463.0,4.6,1,"Morehead City, NC",585.0,0,Jan-2019
2019-02-01,31,340619.0,4.72,2,"Morehead City, NC",610.0,0,Feb-2019
2019-03-01,32,351143.0,4.9,3,"Morehead City, NC",637.0,0,Mar-2019
2019-04-01,33,354350.0,4.94,4,"Morehead City, NC",675.0,0,Apr-2019
2019-05-01,34,362500.0,4.75,5,"Morehead City, NC",707.0,0,May-2019
2019-06-01,35,359900.0,4.51,6,"Morehead City, NC",731.0,0,Jun-2019
2019-07-01,36,368000.0,4.41,7,"Morehead City, NC",739.0,0,Jul-2019
2019-08-01,37,376336.0,4.41,8,"Morehead City, NC",753.0,0,Aug-2019
2019-09-01,38,378341.0,4.2,9,"Morehead City, NC",779.0,0,Sep-2019
2019-10-01,39,379677.0,4.14,10,"Morehead City, NC",800.0,0,Oct-2019
2019-11-01,40,375000.0,3.84,11,"Morehead City, NC",821.0,0,Nov-2019
2019-12-01,41,375000.0,3.81,12,"Morehead City, NC",776.0,0,Dec-2019
2020-01-01,42,375000.0,3.75,1,"Morehead City, NC",773.0,0,Jan-2020
2020-02-01,43,375000.0,3.73,2,"Morehead City, NC",772.0,0,Feb-2020
2020-03-01,44,375000.0,3.78,3,"Morehead City, NC",807.0,0,Mar-2020
2020-04-01,45,375125.0,3.75,4,"Morehead City, NC",810.0,0,Apr-2020
2020-05-01,46,375000.0,3.74,5,"Morehead City, NC",760.0,0,May-2020
2020-06-01,47,385000.0,3.72,6,"Morehead City, NC",662.0,0,Jun-2020
2020-07-01,48,385000.0,3.49,7,"Morehead City, NC",588.0,0,Jul-2020
2020-08-01,49,385000.0,3.65,8,"Morehead City, NC",536.0,0,Aug-2020
2020-09-01,50,385000.0,3.33,9,"Morehead City, NC",458.0,0,Sep-2020
2020-10-01,51,385000.0,3.28,10,"Morehead City, NC",435.0,0,Oct-2020
2020-11-01,52,385000.0,3.21,11,"Morehead City, NC",405.0,0,Nov-2020
2020-12-01,53,399250.0,3.07,12,"Morehead City, NC",337.0,0,Dec-2020
2021-01-01,54,397000.0,2.99,1,"Morehead City, NC",291.0,0,Jan-2021
2021-02-01,55,422475.0,2.93,2,"Morehead City, NC",244.0,0,Feb-2021
2021-03-01,56,449950.0,2.88,3,"Morehead City, NC",222.0,0,Mar-2021
2021-04-01,57,469475.0,2.84,4,"Morehead City, NC",218.0,0,Apr-2021
2021-05-01,58,462450.0,2.71,5,"Morehead City, NC",205.0,0,May-2021
2021-06-01,59,465650.0,2.79,6,"Morehead City, NC",227.0,0,Jun-2021
2021-07-01,60,450000.0,2.97,7,"Morehead City, NC",245.0,0,Jul-2021
2021-08-01,61,450000.0,3.17,8,"Morehead City, NC",248.0,0,Aug-2021
2021-09-01,62,450000.0,3.18,9,"Morehead City, NC",279.0,0,Sep-2021
2021-10-01,63,440000.0,3.0,10,"Morehead City, NC",270.0,0,Oct-2021
2021-11-01,64,449475.0,3.02,11,"Morehead City, NC",236.0,0,Nov-2021
2021-12-01,65,458450.0,2.98,12,"Morehead City, NC",211.0,513442,Dec-2021
2022-01-01,66,475000.0,2.87,1,"Morehead City, NC",168.0,514351,Jan-2022
2022-02-01,67,477800.0,3.01,2,"Morehead City, NC",163.0,516221,Feb-2022
2022-03-01,68,484200.0,3.14,3,"Morehead City, NC",149.0,514295,Mar-2022
2022-04-01,69,484900.0,3.1,4,"Morehead City, NC",167.0,512511,Apr-2022
2022-05-01,70,510950.0,3.12,5,"Morehead City, NC",182.0,515726,May-2022
2022-06-01,71,525000.0,3.56,6,"Morehead City, NC",221.0,506306,Jun-2022
2022-07-01,72,530000.0,3.92,7,"Morehead City, NC",265.0,500930,Jul-2022
2022-08-01,73,558000.0,4.67,8,"Morehead City, NC",274.0,498925,Aug-2022
2022-09-01,74,549725.0,5.11,9,"Morehead City, NC",304.0,500956,Sep-2022
2022-10-01,75,550000.0,5.3,10,"Morehead City, NC",338.0,499792,Oct-2022
