date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,137075.0,3.72,7,"Mount Sterling, KY",188.0,0,Jul-2016
2016-08-01,1,137600.0,3.73,8,"Mount Sterling, KY",187.0,0,Aug-2016
2016-09-01,2,136950.0,3.66,9,"Mount Sterling, KY",188.0,0,Sep-2016
2016-10-01,3,126250.0,3.64,10,"Mount Sterling, KY",173.0,0,Oct-2016
2016-11-01,4,122500.0,3.66,11,"Mount Sterling, KY",155.0,0,Nov-2016
2016-12-01,5,135000.0,3.48,12,"Mount Sterling, KY",147.0,0,Dec-2016
2017-01-01,6,138850.0,3.45,1,"Mount Sterling, KY",148.0,0,Jan-2017
2017-02-01,7,135000.0,3.5,2,"Mount Sterling, KY",152.0,0,Feb-2017
2017-03-01,8,136250.0,3.52,3,"Mount Sterling, KY",158.0,0,Mar-2017
2017-04-01,9,143500.0,4.03,4,"Mount Sterling, KY",159.0,0,Apr-2017
2017-05-01,10,139450.0,4.32,5,"Mount Sterling, KY",161.0,0,May-2017
2017-06-01,11,131250.0,4.2,6,"Mount Sterling, KY",168.0,0,Jun-2017
2017-07-01,12,125000.0,4.19,7,"Mount Sterling, KY",164.0,0,Jul-2017
2017-08-01,13,124900.0,4.3,8,"Mount Sterling, KY",167.0,0,Aug-2017
2017-09-01,14,124950.0,4.1,9,"Mount Sterling, KY",150.0,0,Sep-2017
2017-10-01,15,125875.0,4.05,10,"Mount Sterling, KY",145.0,0,Oct-2017
2017-11-01,16,134850.0,3.94,11,"Mount Sterling, KY",143.0,0,Nov-2017
2017-12-01,17,131900.0,4.03,12,"Mount Sterling, KY",141.0,0,Dec-2017
2018-01-01,18,125750.0,3.93,1,"Mount Sterling, KY",144.0,0,Jan-2018
2018-02-01,19,125450.0,3.83,2,"Mount Sterling, KY",139.0,0,Feb-2018
2018-03-01,20,126750.0,3.94,3,"Mount Sterling, KY",144.0,0,Mar-2018
2018-04-01,21,135750.0,3.95,4,"Mount Sterling, KY",141.0,0,Apr-2018
2018-05-01,22,142449.0,3.99,5,"Mount Sterling, KY",138.0,0,May-2018
2018-06-01,23,148000.0,4.15,6,"Mount Sterling, KY",147.0,0,Jun-2018
2018-07-01,24,148100.0,4.4,7,"Mount Sterling, KY",158.0,0,Jul-2018
2018-08-01,25,149800.0,4.46,8,"Mount Sterling, KY",147.0,0,Aug-2018
2018-09-01,26,149900.0,4.58,9,"Mount Sterling, KY",152.0,0,Sep-2018
2018-10-01,27,149900.0,4.66,10,"Mount Sterling, KY",154.0,0,Oct-2018
2018-11-01,28,149450.0,4.62,11,"Mount Sterling, KY",140.0,0,Nov-2018
2018-12-01,29,149900.0,4.54,12,"Mount Sterling, KY",143.0,0,Dec-2018
2019-01-01,30,146950.0,4.6,1,"Mount Sterling, KY",128.0,0,Jan-2019
2019-02-01,31,159350.0,4.72,2,"Mount Sterling, KY",126.0,0,Feb-2019
2019-03-01,32,161114.0,4.9,3,"Mount Sterling, KY",125.0,0,Mar-2019
2019-04-01,33,160264.0,4.94,4,"Mount Sterling, KY",127.0,0,Apr-2019
2019-05-01,34,154200.0,4.75,5,"Mount Sterling, KY",135.0,0,May-2019
2019-06-01,35,155000.0,4.51,6,"Mount Sterling, KY",141.0,0,Jun-2019
2019-07-01,36,149900.0,4.41,7,"Mount Sterling, KY",141.0,0,Jul-2019
2019-08-01,37,152473.0,4.41,8,"Mount Sterling, KY",138.0,0,Aug-2019
2019-09-01,38,148832.0,4.2,9,"Mount Sterling, KY",136.0,0,Sep-2019
2019-10-01,39,151880.0,4.14,10,"Mount Sterling, KY",134.0,0,Oct-2019
2019-11-01,40,159450.0,3.84,11,"Mount Sterling, KY",120.0,0,Nov-2019
