date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,250000.0,3.72,7,"Palm Bay-Melbourne-Titusville, FL",2803.0,0,Jul-2016
2016-08-01,1,254375.0,3.73,8,"Palm Bay-Melbourne-Titusville, FL",2667.0,0,Aug-2016
2016-09-01,2,258075.0,3.66,9,"Palm Bay-Melbourne-Titusville, FL",2584.0,0,Sep-2016
2016-10-01,3,259900.0,3.64,10,"Palm Bay-Melbourne-Titusville, FL",2636.0,0,Oct-2016
2016-11-01,4,257000.0,3.66,11,"Palm Bay-Melbourne-Titusville, FL",2707.0,0,Nov-2016
2016-12-01,5,250000.0,3.48,12,"Palm Bay-Melbourne-Titusville, FL",2759.0,0,Dec-2016
2017-01-01,6,259900.0,3.45,1,"Palm Bay-Melbourne-Titusville, FL",2714.0,0,Jan-2017
2017-02-01,7,267000.0,3.5,2,"Palm Bay-Melbourne-Titusville, FL",2691.0,0,Feb-2017
2017-03-01,8,275178.0,3.52,3,"Palm Bay-Melbourne-Titusville, FL",2734.0,0,Mar-2017
2017-04-01,9,279900.0,4.03,4,"Palm Bay-Melbourne-Titusville, FL",2700.0,0,Apr-2017
2017-05-01,10,279925.0,4.32,5,"Palm Bay-Melbourne-Titusville, FL",2721.0,0,May-2017
2017-06-01,11,288754.0,4.2,6,"Palm Bay-Melbourne-Titusville, FL",2727.0,0,Jun-2017
2017-07-01,12,279900.0,4.19,7,"Palm Bay-Melbourne-Titusville, FL",2838.0,0,Jul-2017
2017-08-01,13,282450.0,4.3,8,"Palm Bay-Melbourne-Titusville, FL",2907.0,0,Aug-2017
2017-09-01,14,280000.0,4.1,9,"Palm Bay-Melbourne-Titusville, FL",2842.0,0,Sep-2017
2017-10-01,15,279900.0,4.05,10,"Palm Bay-Melbourne-Titusville, FL",2853.0,0,Oct-2017
2017-11-01,16,279900.0,3.94,11,"Palm Bay-Melbourne-Titusville, FL",2859.0,0,Nov-2017
2017-12-01,17,279000.0,4.03,12,"Palm Bay-Melbourne-Titusville, FL",2883.0,0,Dec-2017
2018-01-01,18,279450.0,3.93,1,"Palm Bay-Melbourne-Titusville, FL",2906.0,0,Jan-2018
2018-02-01,19,279950.0,3.83,2,"Palm Bay-Melbourne-Titusville, FL",2960.0,0,Feb-2018
2018-03-01,20,286333.0,3.94,3,"Palm Bay-Melbourne-Titusville, FL",2974.0,0,Mar-2018
2018-04-01,21,294975.0,3.95,4,"Palm Bay-Melbourne-Titusville, FL",2995.0,0,Apr-2018
2018-05-01,22,292500.0,3.99,5,"Palm Bay-Melbourne-Titusville, FL",3099.0,0,May-2018
2018-06-01,23,290000.0,4.15,6,"Palm Bay-Melbourne-Titusville, FL",3187.0,0,Jun-2018
2018-07-01,24,291654.0,4.4,7,"Palm Bay-Melbourne-Titusville, FL",3217.0,0,Jul-2018
2018-08-01,25,289450.0,4.46,8,"Palm Bay-Melbourne-Titusville, FL",3275.0,0,Aug-2018
2018-09-01,26,280458.0,4.58,9,"Palm Bay-Melbourne-Titusville, FL",3379.0,0,Sep-2018
2018-10-01,27,280128.0,4.66,10,"Palm Bay-Melbourne-Titusville, FL",3444.0,0,Oct-2018
2018-11-01,28,279850.0,4.62,11,"Palm Bay-Melbourne-Titusville, FL",3618.0,0,Nov-2018
