date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,119500.0,3.72,7,"Poplar Bluff, MO",456.0,0,Jul-2016
2016-08-01,1,117200.0,3.73,8,"Poplar Bluff, MO",473.0,0,Aug-2016
2016-09-01,2,115750.0,3.66,9,"Poplar Bluff, MO",471.0,0,Sep-2016
2016-10-01,3,114900.0,3.64,10,"Poplar Bluff, MO",469.0,0,Oct-2016
2016-11-01,4,111800.0,3.66,11,"Poplar Bluff, MO",455.0,0,Nov-2016
2016-12-01,5,109900.0,3.48,12,"Poplar Bluff, MO",446.0,0,Dec-2016
2017-01-01,6,107450.0,3.45,1,"Poplar Bluff, MO",404.0,0,Jan-2017
2017-02-01,7,105750.0,3.5,2,"Poplar Bluff, MO",417.0,0,Feb-2017
2017-03-01,8,99900.0,3.52,3,"Poplar Bluff, MO",441.0,0,Mar-2017
2017-04-01,9,99900.0,4.03,4,"Poplar Bluff, MO",440.0,0,Apr-2017
2017-05-01,10,102000.0,4.32,5,"Poplar Bluff, MO",452.0,0,May-2017
2017-06-01,11,113000.0,4.2,6,"Poplar Bluff, MO",426.0,0,Jun-2017
2017-07-01,12,116500.0,4.19,7,"Poplar Bluff, MO",433.0,0,Jul-2017
2017-08-01,13,119500.0,4.3,8,"Poplar Bluff, MO",414.0,0,Aug-2017
2017-09-01,14,119700.0,4.1,9,"Poplar Bluff, MO",438.0,0,Sep-2017
2017-10-01,15,120450.0,4.05,10,"Poplar Bluff, MO",430.0,0,Oct-2017
2017-11-01,16,121500.0,3.94,11,"Poplar Bluff, MO",410.0,0,Nov-2017
2017-12-01,17,129000.0,4.03,12,"Poplar Bluff, MO",369.0,0,Dec-2017
2018-01-01,18,125725.0,3.93,1,"Poplar Bluff, MO",336.0,0,Jan-2018
2018-02-01,19,120950.0,3.83,2,"Poplar Bluff, MO",385.0,0,Feb-2018
2018-03-01,20,119900.0,3.94,3,"Poplar Bluff, MO",406.0,0,Mar-2018
2018-04-01,21,124925.0,3.95,4,"Poplar Bluff, MO",413.0,0,Apr-2018
2018-05-01,22,127650.0,3.99,5,"Poplar Bluff, MO",406.0,0,May-2018
2018-06-01,23,124900.0,4.15,6,"Poplar Bluff, MO",452.0,0,Jun-2018
2018-07-01,24,119900.0,4.4,7,"Poplar Bluff, MO",459.0,0,Jul-2018
2018-08-01,25,119900.0,4.46,8,"Poplar Bluff, MO",452.0,0,Aug-2018
2018-09-01,26,119900.0,4.58,9,"Poplar Bluff, MO",444.0,0,Sep-2018
2018-10-01,27,119900.0,4.66,10,"Poplar Bluff, MO",444.0,0,Oct-2018
2018-11-01,28,118600.0,4.62,11,"Poplar Bluff, MO",432.0,0,Nov-2018
2018-12-01,29,118250.0,4.54,12,"Poplar Bluff, MO",410.0,0,Dec-2018
2019-01-01,30,118900.0,4.6,1,"Poplar Bluff, MO",392.0,0,Jan-2019
2019-02-01,31,119400.0,4.72,2,"Poplar Bluff, MO",401.0,0,Feb-2019
2019-03-01,32,120479.0,4.9,3,"Poplar Bluff, MO",394.0,0,Mar-2019
2019-04-01,33,122375.0,4.94,4,"Poplar Bluff, MO",372.0,0,Apr-2019
2019-05-01,34,122400.0,4.75,5,"Poplar Bluff, MO",364.0,0,May-2019
2019-06-01,35,126900.0,4.51,6,"Poplar Bluff, MO",371.0,0,Jun-2019
2019-07-01,36,122300.0,4.41,7,"Poplar Bluff, MO",365.0,0,Jul-2019
2019-08-01,37,123305.0,4.41,8,"Poplar Bluff, MO",357.0,0,Aug-2019
2019-09-01,38,122711.0,4.2,9,"Poplar Bluff, MO",344.0,0,Sep-2019
2019-10-01,39,123441.0,4.14,10,"Poplar Bluff, MO",332.0,0,Oct-2019
2019-11-01,40,119950.0,3.84,11,"Poplar Bluff, MO",317.0,0,Nov-2019
2019-12-01,41,118900.0,3.81,12,"Poplar Bluff, MO",302.0,0,Dec-2019
2020-01-01,42,119900.0,3.75,1,"Poplar Bluff, MO",275.0,0,Jan-2020
2020-02-01,43,119900.0,3.73,2,"Poplar Bluff, MO",264.0,0,Feb-2020
2020-03-01,44,119900.0,3.78,3,"Poplar Bluff, MO",270.0,0,Mar-2020
2020-04-01,45,118900.0,3.75,4,"Poplar Bluff, MO",262.0,0,Apr-2020
2020-05-01,46,114750.0,3.74,5,"Poplar Bluff, MO",234.0,0,May-2020
2020-06-01,47,113900.0,3.72,6,"Poplar Bluff, MO",226.0,0,Jun-2020
2020-07-01,48,119200.0,3.49,7,"Poplar Bluff, MO",199.0,0,Jul-2020
2020-08-01,49,124900.0,3.65,8,"Poplar Bluff, MO",183.0,0,Aug-2020
2020-09-01,50,117600.0,3.33,9,"Poplar Bluff, MO",189.0,0,Sep-2020
2020-10-01,51,105000.0,3.28,10,"Poplar Bluff, MO",191.0,0,Oct-2020
2020-11-01,52,99800.0,3.21,11,"Poplar Bluff, MO",192.0,0,Nov-2020
2020-12-01,53,99900.0,3.07,12,"Poplar Bluff, MO",189.0,0,Dec-2020
2021-01-01,54,99500.0,2.99,1,"Poplar Bluff, MO",150.0,0,Jan-2021
2021-02-01,55,99900.0,2.93,2,"Poplar Bluff, MO",134.0,0,Feb-2021
2021-03-01,56,99700.0,2.88,3,"Poplar Bluff, MO",128.0,0,Mar-2021
2021-04-01,57,107950.0,2.84,4,"Poplar Bluff, MO",109.0,0,Apr-2021
2021-05-01,58,119900.0,2.71,5,"Poplar Bluff, MO",94.0,0,May-2021
2021-06-01,59,123550.0,2.79,6,"Poplar Bluff, MO",96.0,0,Jun-2021
2021-07-01,60,110000.0,2.97,7,"Poplar Bluff, MO",117.0,0,Jul-2021
2021-08-01,61,122800.0,3.17,8,"Poplar Bluff, MO",125.0,0,Aug-2021
2021-09-01,62,132172.0,3.18,9,"Poplar Bluff, MO",127.0,0,Sep-2021
2021-10-01,63,124900.0,3.0,10,"Poplar Bluff, MO",123.0,0,Oct-2021
2021-11-01,64,131050.0,3.02,11,"Poplar Bluff, MO",139.0,0,Nov-2021
2021-12-01,65,134750.0,2.98,12,"Poplar Bluff, MO",142.0,102101,Dec-2021
2022-01-01,66,129700.0,2.87,1,"Poplar Bluff, MO",137.0,101822,Jan-2022
2022-02-01,67,131200.0,3.01,2,"Poplar Bluff, MO",110.0,101052,Feb-2022
2022-03-01,68,131175.0,3.14,3,"Poplar Bluff, MO",94.0,104868,Mar-2022
2022-04-01,69,142950.0,3.1,4,"Poplar Bluff, MO",85.0,118367,Apr-2022
2022-05-01,70,157125.0,3.12,5,"Poplar Bluff, MO",108.0,118553,May-2022
2022-06-01,71,167450.0,3.56,6,"Poplar Bluff, MO",116.0,122957,Jun-2022
2022-07-01,72,166450.0,3.92,7,"Poplar Bluff, MO",131.0,106824,Jul-2022
2022-08-01,73,165475.0,4.67,8,"Poplar Bluff, MO",139.0,124841,Aug-2022
2022-09-01,74,169700.0,5.11,9,"Poplar Bluff, MO",154.0,126972,Sep-2022
2022-10-01,75,169900.0,5.3,10,"Poplar Bluff, MO",159.0,125385,Oct-2022
