date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,211725.0,3.72,7,"Port Lavaca, TX",184.0,0,Jul-2016
2016-08-01,1,214900.0,3.73,8,"Port Lavaca, TX",181.0,0,Aug-2016
2016-09-01,2,201500.0,3.66,9,"Port Lavaca, TX",185.0,0,Sep-2016
2016-10-01,3,199900.0,3.64,10,"Port Lavaca, TX",197.0,0,Oct-2016
2016-11-01,4,199950.0,3.66,11,"Port Lavaca, TX",201.0,0,Nov-2016
2016-12-01,5,206000.0,3.48,12,"Port Lavaca, TX",197.0,0,Dec-2016
2017-01-01,6,208875.0,3.45,1,"Port Lavaca, TX",181.0,0,Jan-2017
2017-02-01,7,215000.0,3.5,2,"Port Lavaca, TX",168.0,0,Feb-2017
2017-03-01,8,208125.0,3.52,3,"Port Lavaca, TX",167.0,0,Mar-2017
2017-04-01,9,219900.0,4.03,4,"Port Lavaca, TX",168.0,0,Apr-2017
2017-05-01,10,225000.0,4.32,5,"Port Lavaca, TX",183.0,0,May-2017
2017-06-01,11,225000.0,4.2,6,"Port Lavaca, TX",191.0,0,Jun-2017
2017-07-01,12,219950.0,4.19,7,"Port Lavaca, TX",188.0,0,Jul-2017
2017-08-01,13,212000.0,4.3,8,"Port Lavaca, TX",185.0,0,Aug-2017
2017-09-01,14,199700.0,4.1,9,"Port Lavaca, TX",172.0,0,Sep-2017
2017-10-01,15,195375.0,4.05,10,"Port Lavaca, TX",177.0,0,Oct-2017
2017-11-01,16,216200.0,3.94,11,"Port Lavaca, TX",160.0,0,Nov-2017
2017-12-01,17,225000.0,4.03,12,"Port Lavaca, TX",158.0,0,Dec-2017
2018-01-01,18,228900.0,3.93,1,"Port Lavaca, TX",138.0,0,Jan-2018
2018-02-01,19,244650.0,3.83,2,"Port Lavaca, TX",133.0,0,Feb-2018
2018-03-01,20,249000.0,3.94,3,"Port Lavaca, TX",136.0,0,Mar-2018
2018-04-01,21,254988.0,3.95,4,"Port Lavaca, TX",145.0,0,Apr-2018
2018-05-01,22,253000.0,3.99,5,"Port Lavaca, TX",160.0,0,May-2018
2018-06-01,23,257450.0,4.15,6,"Port Lavaca, TX",183.0,0,Jun-2018
2018-07-01,24,261175.0,4.4,7,"Port Lavaca, TX",183.0,0,Jul-2018
2018-08-01,25,274950.0,4.46,8,"Port Lavaca, TX",173.0,0,Aug-2018
2018-09-01,26,274950.0,4.58,9,"Port Lavaca, TX",165.0,0,Sep-2018
2018-10-01,27,274500.0,4.66,10,"Port Lavaca, TX",161.0,0,Oct-2018
2018-11-01,28,278225.0,4.62,11,"Port Lavaca, TX",154.0,0,Nov-2018
2018-12-01,29,262400.0,4.54,12,"Port Lavaca, TX",154.0,0,Dec-2018
