date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,369000.0,3.72,7,"Riverside-San Bernardino-Ontario, CA",16920.0,0,Jul-2016
2016-08-01,1,366400.0,3.73,8,"Riverside-San Bernardino-Ontario, CA",16983.0,0,Aug-2016
2016-09-01,2,359995.0,3.66,9,"Riverside-San Bernardino-Ontario, CA",16756.0,0,Sep-2016
2016-10-01,3,364000.0,3.64,10,"Riverside-San Bernardino-Ontario, CA",16460.0,0,Oct-2016
2016-11-01,4,364950.0,3.66,11,"Riverside-San Bernardino-Ontario, CA",16482.0,0,Nov-2016
2016-12-01,5,365000.0,3.48,12,"Riverside-San Bernardino-Ontario, CA",15256.0,0,Dec-2016
2017-01-01,6,369250.0,3.45,1,"Riverside-San Bernardino-Ontario, CA",14278.0,0,Jan-2017
2017-02-01,7,369900.0,3.5,2,"Riverside-San Bernardino-Ontario, CA",14133.0,0,Feb-2017
2017-03-01,8,375000.0,3.52,3,"Riverside-San Bernardino-Ontario, CA",13847.0,0,Mar-2017
2017-04-01,9,379000.0,4.03,4,"Riverside-San Bernardino-Ontario, CA",13766.0,0,Apr-2017
2017-05-01,10,385625.0,4.32,5,"Riverside-San Bernardino-Ontario, CA",13971.0,0,May-2017
2017-06-01,11,385000.0,4.2,6,"Riverside-San Bernardino-Ontario, CA",13917.0,0,Jun-2017
2017-07-01,12,384999.0,4.19,7,"Riverside-San Bernardino-Ontario, CA",13755.0,0,Jul-2017
2017-08-01,13,380000.0,4.3,8,"Riverside-San Bernardino-Ontario, CA",13700.0,0,Aug-2017
2017-09-01,14,384900.0,4.1,9,"Riverside-San Bernardino-Ontario, CA",13547.0,0,Sep-2017
2017-10-01,15,385000.0,4.05,10,"Riverside-San Bernardino-Ontario, CA",13462.0,0,Oct-2017
2017-11-01,16,389250.0,3.94,11,"Riverside-San Bernardino-Ontario, CA",13383.0,0,Nov-2017
2017-12-01,17,389900.0,4.03,12,"Riverside-San Bernardino-Ontario, CA",12642.0,0,Dec-2017
