date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,199900.0,3.72,7,"Rock Springs, WY",207.0,0,Jul-2016
2016-08-01,1,196750.0,3.73,8,"Rock Springs, WY",212.0,0,Aug-2016
2016-09-01,2,197750.0,3.66,9,"Rock Springs, WY",202.0,0,Sep-2016
2016-10-01,3,196250.0,3.64,10,"Rock Springs, WY",205.0,0,Oct-2016
2016-11-01,4,213550.0,3.66,11,"Rock Springs, WY",213.0,0,Nov-2016
2016-12-01,5,229900.0,3.48,12,"Rock Springs, WY",188.0,0,Dec-2016
2017-01-01,6,205000.0,3.45,1,"Rock Springs, WY",171.0,0,Jan-2017
2017-02-01,7,202450.0,3.5,2,"Rock Springs, WY",155.0,0,Feb-2017
2017-03-01,8,220975.0,3.52,3,"Rock Springs, WY",151.0,0,Mar-2017
2017-04-01,9,232450.0,4.03,4,"Rock Springs, WY",168.0,0,Apr-2017
2017-05-01,10,235475.0,4.32,5,"Rock Springs, WY",181.0,0,May-2017
2017-06-01,11,244125.0,4.2,6,"Rock Springs, WY",202.0,0,Jun-2017
2017-07-01,12,244000.0,4.19,7,"Rock Springs, WY",234.0,0,Jul-2017
2017-08-01,13,239475.0,4.3,8,"Rock Springs, WY",269.0,0,Aug-2017
2017-09-01,14,238500.0,4.1,9,"Rock Springs, WY",281.0,0,Sep-2017
2017-10-01,15,226700.0,4.05,10,"Rock Springs, WY",282.0,0,Oct-2017
2017-11-01,16,223950.0,3.94,11,"Rock Springs, WY",274.0,0,Nov-2017
2017-12-01,17,229450.0,4.03,12,"Rock Springs, WY",255.0,0,Dec-2017
2018-01-01,18,229900.0,3.93,1,"Rock Springs, WY",231.0,0,Jan-2018
2018-02-01,19,229900.0,3.83,2,"Rock Springs, WY",223.0,0,Feb-2018
2018-03-01,20,242000.0,3.94,3,"Rock Springs, WY",217.0,0,Mar-2018
2018-04-01,21,246000.0,3.95,4,"Rock Springs, WY",237.0,0,Apr-2018
