date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,165000.0,3.72,7,"Safford, AZ",124.0,0,Jul-2016
2016-08-01,1,159900.0,3.73,8,"Safford, AZ",114.0,0,Aug-2016
2016-09-01,2,156850.0,3.66,9,"Safford, AZ",124.0,0,Sep-2016
2016-10-01,3,157900.0,3.64,10,"Safford, AZ",124.0,0,Oct-2016
2016-11-01,4,154998.0,3.66,11,"Safford, AZ",121.0,0,Nov-2016
2016-12-01,5,154950.0,3.48,12,"Safford, AZ",110.0,0,Dec-2016
2017-01-01,6,159000.0,3.45,1,"Safford, AZ",105.0,0,Jan-2017
2017-02-01,7,169975.0,3.5,2,"Safford, AZ",104.0,0,Feb-2017
2017-03-01,8,179950.0,3.52,3,"Safford, AZ",98.0,0,Mar-2017
2017-04-01,9,175000.0,4.03,4,"Safford, AZ",92.0,0,Apr-2017
2017-05-01,10,165475.0,4.32,5,"Safford, AZ",93.0,0,May-2017
2017-06-01,11,169000.0,4.2,6,"Safford, AZ",102.0,0,Jun-2017
2017-07-01,12,171000.0,4.19,7,"Safford, AZ",100.0,0,Jul-2017
2017-08-01,13,173875.0,4.3,8,"Safford, AZ",105.0,0,Aug-2017
2017-09-01,14,175000.0,4.1,9,"Safford, AZ",105.0,0,Sep-2017
2017-10-01,15,174675.0,4.05,10,"Safford, AZ",94.0,0,Oct-2017
2017-11-01,16,169950.0,3.94,11,"Safford, AZ",84.0,0,Nov-2017
2017-12-01,17,166250.0,4.03,12,"Safford, AZ",88.0,0,Dec-2017
2018-01-01,18,170600.0,3.93,1,"Safford, AZ",85.0,0,Jan-2018
2018-02-01,19,173250.0,3.83,2,"Safford, AZ",81.0,0,Feb-2018
2018-03-01,20,179700.0,3.94,3,"Safford, AZ",81.0,0,Mar-2018
2018-04-01,21,178374.0,3.95,4,"Safford, AZ",86.0,0,Apr-2018
2018-05-01,22,178225.0,3.99,5,"Safford, AZ",82.0,0,May-2018
2018-06-01,23,179900.0,4.15,6,"Safford, AZ",99.0,0,Jun-2018
2018-07-01,24,184243.0,4.4,7,"Safford, AZ",94.0,0,Jul-2018
2018-08-01,25,184200.0,4.46,8,"Safford, AZ",93.0,0,Aug-2018
2018-09-01,26,180998.0,4.58,9,"Safford, AZ",98.0,0,Sep-2018
2018-10-01,27,179900.0,4.66,10,"Safford, AZ",98.0,0,Oct-2018
2018-11-01,28,178050.0,4.62,11,"Safford, AZ",91.0,0,Nov-2018
2018-12-01,29,174000.0,4.54,12,"Safford, AZ",89.0,0,Dec-2018
2019-01-01,30,175000.0,4.6,1,"Safford, AZ",82.0,0,Jan-2019
2019-02-01,31,175000.0,4.72,2,"Safford, AZ",76.0,0,Feb-2019
2019-03-01,32,185286.0,4.9,3,"Safford, AZ",73.0,0,Mar-2019
2019-04-01,33,196286.0,4.94,4,"Safford, AZ",70.0,0,Apr-2019
2019-05-01,34,213850.0,4.75,5,"Safford, AZ",67.0,0,May-2019
2019-06-01,35,219515.0,4.51,6,"Safford, AZ",67.0,0,Jun-2019
2019-07-01,36,223700.0,4.41,7,"Safford, AZ",64.0,0,Jul-2019
2019-08-01,37,216040.0,4.41,8,"Safford, AZ",69.0,0,Aug-2019
2019-09-01,38,206799.0,4.2,9,"Safford, AZ",78.0,0,Sep-2019
2019-10-01,39,199256.0,4.14,10,"Safford, AZ",84.0,0,Oct-2019
2019-11-01,40,196750.0,3.84,11,"Safford, AZ",90.0,0,Nov-2019
2019-12-01,41,193125.0,3.81,12,"Safford, AZ",89.0,0,Dec-2019
2020-01-01,42,196725.0,3.75,1,"Safford, AZ",75.0,0,Jan-2020
2020-02-01,43,219998.0,3.73,2,"Safford, AZ",78.0,0,Feb-2020
2020-03-01,44,218699.0,3.78,3,"Safford, AZ",67.0,0,Mar-2020
2020-04-01,45,209995.0,3.75,4,"Safford, AZ",61.0,0,Apr-2020
2020-05-01,46,220000.0,3.74,5,"Safford, AZ",57.0,0,May-2020
2020-06-01,47,217475.0,3.72,6,"Safford, AZ",47.0,0,Jun-2020
2020-07-01,48,220500.0,3.49,7,"Safford, AZ",40.0,0,Jul-2020
2020-08-01,49,237000.0,3.65,8,"Safford, AZ",34.0,0,Aug-2020
2020-09-01,50,241725.0,3.33,9,"Safford, AZ",30.0,0,Sep-2020
2020-10-01,51,237000.0,3.28,10,"Safford, AZ",40.0,0,Oct-2020
2020-11-01,52,235000.0,3.21,11,"Safford, AZ",44.0,0,Nov-2020
2020-12-01,53,234950.0,3.07,12,"Safford, AZ",39.0,0,Dec-2020
2021-01-01,54,230000.0,2.99,1,"Safford, AZ",44.0,0,Jan-2021
2021-02-01,55,201700.0,2.93,2,"Safford, AZ",38.0,0,Feb-2021
2021-03-01,56,223750.0,2.88,3,"Safford, AZ",32.0,0,Mar-2021
2021-04-01,57,216999.0,2.84,4,"Safford, AZ",26.0,0,Apr-2021
2021-05-01,58,229500.0,2.71,5,"Safford, AZ",23.0,0,May-2021
2021-06-01,59,249950.0,2.79,6,"Safford, AZ",27.0,0,Jun-2021
2021-07-01,60,249900.0,2.97,7,"Safford, AZ",32.0,0,Jul-2021
2021-08-01,61,289375.0,3.17,8,"Safford, AZ",39.0,0,Aug-2021
