date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,349950.0,3.72,7,"Salt Lake City, UT",3228.0,0,Jul-2016
2016-08-01,1,350000.0,3.73,8,"Salt Lake City, UT",3260.0,0,Aug-2016
2016-09-01,2,349950.0,3.66,9,"Salt Lake City, UT",3315.0,0,Sep-2016
2016-10-01,3,350000.0,3.64,10,"Salt Lake City, UT",3117.0,0,Oct-2016
2016-11-01,4,349900.0,3.66,11,"Salt Lake City, UT",2937.0,0,Nov-2016
2016-12-01,5,349999.0,3.48,12,"Salt Lake City, UT",2536.0,0,Dec-2016
2017-01-01,6,357171.0,3.45,1,"Salt Lake City, UT",2172.0,0,Jan-2017
2017-02-01,7,371276.0,3.5,2,"Salt Lake City, UT",1977.0,0,Feb-2017
2017-03-01,8,392611.0,3.52,3,"Salt Lake City, UT",1904.0,0,Mar-2017
2017-04-01,9,394200.0,4.03,4,"Salt Lake City, UT",2043.0,0,Apr-2017
2017-05-01,10,392450.0,4.32,5,"Salt Lake City, UT",2299.0,0,May-2017
2017-06-01,11,394175.0,4.2,6,"Salt Lake City, UT",2586.0,0,Jun-2017
2017-07-01,12,389970.0,4.19,7,"Salt Lake City, UT",2916.0,0,Jul-2017
2017-08-01,13,388825.0,4.3,8,"Salt Lake City, UT",3142.0,0,Aug-2017
2017-09-01,14,380000.0,4.1,9,"Salt Lake City, UT",3310.0,0,Sep-2017
2017-10-01,15,376950.0,4.05,10,"Salt Lake City, UT",3302.0,0,Oct-2017
2017-11-01,16,371450.0,3.94,11,"Salt Lake City, UT",2992.0,0,Nov-2017
2017-12-01,17,375000.0,4.03,12,"Salt Lake City, UT",2423.0,0,Dec-2017
2018-01-01,18,386972.0,3.93,1,"Salt Lake City, UT",2089.0,0,Jan-2018
2018-02-01,19,390000.0,3.83,2,"Salt Lake City, UT",1909.0,0,Feb-2018
2018-03-01,20,402960.0,3.94,3,"Salt Lake City, UT",1859.0,0,Mar-2018
2018-04-01,21,417475.0,3.95,4,"Salt Lake City, UT",2037.0,0,Apr-2018
2018-05-01,22,424036.0,3.99,5,"Salt Lake City, UT",2228.0,0,May-2018
2018-06-01,23,421460.0,4.15,6,"Salt Lake City, UT",2484.0,0,Jun-2018
2018-07-01,24,423081.0,4.4,7,"Salt Lake City, UT",2629.0,0,Jul-2018
2018-08-01,25,406262.0,4.46,8,"Salt Lake City, UT",2988.0,0,Aug-2018
2018-09-01,26,405000.0,4.58,9,"Salt Lake City, UT",3136.0,0,Sep-2018
2018-10-01,27,399450.0,4.66,10,"Salt Lake City, UT",3338.0,0,Oct-2018
2018-11-01,28,399000.0,4.62,11,"Salt Lake City, UT",3221.0,0,Nov-2018
2018-12-01,29,399000.0,4.54,12,"Salt Lake City, UT",2870.0,0,Dec-2018
2019-01-01,30,399900.0,4.6,1,"Salt Lake City, UT",2589.0,0,Jan-2019
