date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,812000.0,3.72,7,"San Francisco-Oakland-Berkeley, CA",5675.0,0,Jul-2016
2016-08-01,1,795000.0,3.73,8,"San Francisco-Oakland-Berkeley, CA",5517.0,0,Aug-2016
2016-09-01,2,799442.0,3.66,9,"San Francisco-Oakland-Berkeley, CA",5649.0,0,Sep-2016
2016-10-01,3,825000.0,3.64,10,"San Francisco-Oakland-Berkeley, CA",5465.0,0,Oct-2016
2016-11-01,4,805000.0,3.66,11,"San Francisco-Oakland-Berkeley, CA",4581.0,0,Nov-2016
2016-12-01,5,780000.0,3.48,12,"San Francisco-Oakland-Berkeley, CA",2989.0,0,Dec-2016
2017-01-01,6,789400.0,3.45,1,"San Francisco-Oakland-Berkeley, CA",2738.0,0,Jan-2017
2017-02-01,7,844500.0,3.5,2,"San Francisco-Oakland-Berkeley, CA",3014.0,0,Feb-2017
2017-03-01,8,893972.0,3.52,3,"San Francisco-Oakland-Berkeley, CA",3379.0,0,Mar-2017
2017-04-01,9,899000.0,4.03,4,"San Francisco-Oakland-Berkeley, CA",3834.0,0,Apr-2017
2017-05-01,10,900444.0,4.32,5,"San Francisco-Oakland-Berkeley, CA",4301.0,0,May-2017
2017-06-01,11,902404.0,4.2,6,"San Francisco-Oakland-Berkeley, CA",4535.0,0,Jun-2017
2017-07-01,12,875000.0,4.19,7,"San Francisco-Oakland-Berkeley, CA",4418.0,0,Jul-2017
2017-08-01,13,849500.0,4.3,8,"San Francisco-Oakland-Berkeley, CA",4153.0,0,Aug-2017
2017-09-01,14,874894.0,4.1,9,"San Francisco-Oakland-Berkeley, CA",4564.0,0,Sep-2017
2017-10-01,15,899000.0,4.05,10,"San Francisco-Oakland-Berkeley, CA",4349.0,0,Oct-2017
2017-11-01,16,899000.0,3.94,11,"San Francisco-Oakland-Berkeley, CA",3682.0,0,Nov-2017
2017-12-01,17,879000.0,4.03,12,"San Francisco-Oakland-Berkeley, CA",2378.0,0,Dec-2017
2018-01-01,18,843722.0,3.93,1,"San Francisco-Oakland-Berkeley, CA",2294.0,0,Jan-2018
2018-02-01,19,898500.0,3.83,2,"San Francisco-Oakland-Berkeley, CA",2716.0,0,Feb-2018
2018-03-01,20,949000.0,3.94,3,"San Francisco-Oakland-Berkeley, CA",3122.0,0,Mar-2018
