date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,959000.0,3.72,7,"San Jose-Sunnyvale-Santa Clara, CA",1977.0,0,Jul-2016
2016-08-01,1,943500.0,3.73,8,"San Jose-Sunnyvale-Santa Clara, CA",1953.0,0,Aug-2016
2016-09-01,2,914000.0,3.66,9,"San Jose-Sunnyvale-Santa Clara, CA",1907.0,0,Sep-2016
2016-10-01,3,924945.0,3.64,10,"San Jose-Sunnyvale-Santa Clara, CA",1779.0,0,Oct-2016
2016-11-01,4,901000.0,3.66,11,"San Jose-Sunnyvale-Santa Clara, CA",1468.0,0,Nov-2016
2016-12-01,5,899000.0,3.48,12,"San Jose-Sunnyvale-Santa Clara, CA",1172.0,0,Dec-2016
2017-01-01,6,899000.0,3.45,1,"San Jose-Sunnyvale-Santa Clara, CA",816.0,0,Jan-2017
2017-02-01,7,954032.0,3.5,2,"San Jose-Sunnyvale-Santa Clara, CA",945.0,0,Feb-2017
2017-03-01,8,972166.0,3.52,3,"San Jose-Sunnyvale-Santa Clara, CA",1042.0,0,Mar-2017
2017-04-01,9,988888.0,4.03,4,"San Jose-Sunnyvale-Santa Clara, CA",1220.0,0,Apr-2017
2017-05-01,10,999487.0,4.32,5,"San Jose-Sunnyvale-Santa Clara, CA",1302.0,0,May-2017
2017-06-01,11,1002767.0,4.2,6,"San Jose-Sunnyvale-Santa Clara, CA",1289.0,0,Jun-2017
2017-07-01,12,1050000.0,4.19,7,"San Jose-Sunnyvale-Santa Clara, CA",1178.0,0,Jul-2017
2017-08-01,13,1049725.0,4.3,8,"San Jose-Sunnyvale-Santa Clara, CA",1121.0,0,Aug-2017
2017-09-01,14,1099000.0,4.1,9,"San Jose-Sunnyvale-Santa Clara, CA",1022.0,0,Sep-2017
2017-10-01,15,1116942.0,4.05,10,"San Jose-Sunnyvale-Santa Clara, CA",958.0,0,Oct-2017
2017-11-01,16,1161000.0,3.94,11,"San Jose-Sunnyvale-Santa Clara, CA",819.0,0,Nov-2017
2017-12-01,17,1150000.0,4.03,12,"San Jose-Sunnyvale-Santa Clara, CA",584.0,0,Dec-2017
2018-01-01,18,1108983.0,3.93,1,"San Jose-Sunnyvale-Santa Clara, CA",571.0,0,Jan-2018
2018-02-01,19,1199444.0,3.83,2,"San Jose-Sunnyvale-Santa Clara, CA",678.0,0,Feb-2018
2018-03-01,20,1275000.0,3.94,3,"San Jose-Sunnyvale-Santa Clara, CA",801.0,0,Mar-2018
2018-04-01,21,1254444.0,3.95,4,"San Jose-Sunnyvale-Santa Clara, CA",995.0,0,Apr-2018
2018-05-01,22,1291500.0,3.99,5,"San Jose-Sunnyvale-Santa Clara, CA",1199.0,0,May-2018
2018-06-01,23,1250000.0,4.15,6,"San Jose-Sunnyvale-Santa Clara, CA",1442.0,0,Jun-2018
2018-07-01,24,1199722.0,4.4,7,"San Jose-Sunnyvale-Santa Clara, CA",1719.0,0,Jul-2018
2018-08-01,25,1168900.0,4.46,8,"San Jose-Sunnyvale-Santa Clara, CA",1817.0,0,Aug-2018
2018-09-01,26,1148000.0,4.58,9,"San Jose-Sunnyvale-Santa Clara, CA",2060.0,0,Sep-2018
2018-10-01,27,1099944.0,4.66,10,"San Jose-Sunnyvale-Santa Clara, CA",2148.0,0,Oct-2018
2018-11-01,28,1088450.0,4.62,11,"San Jose-Sunnyvale-Santa Clara, CA",2053.0,0,Nov-2018
2018-12-01,29,1000000.0,4.54,12,"San Jose-Sunnyvale-Santa Clara, CA",1460.0,0,Dec-2018
2019-01-01,30,999888.0,4.6,1,"San Jose-Sunnyvale-Santa Clara, CA",1265.0,0,Jan-2019
2019-02-01,31,1096500.0,4.72,2,"San Jose-Sunnyvale-Santa Clara, CA",1441.0,0,Feb-2019
2019-03-01,32,1101894.0,4.9,3,"San Jose-Sunnyvale-Santa Clara, CA",1636.0,0,Mar-2019
2019-04-01,33,1126210.0,4.94,4,"San Jose-Sunnyvale-Santa Clara, CA",1806.0,0,Apr-2019
2019-05-01,34,1188000.0,4.75,5,"San Jose-Sunnyvale-Santa Clara, CA",2174.0,0,May-2019
2019-06-01,35,1175000.0,4.51,6,"San Jose-Sunnyvale-Santa Clara, CA",2367.0,0,Jun-2019
2019-07-01,36,1126500.0,4.41,7,"San Jose-Sunnyvale-Santa Clara, CA",2299.0,0,Jul-2019
2019-08-01,37,1117816.0,4.41,8,"San Jose-Sunnyvale-Santa Clara, CA",2190.0,0,Aug-2019
2019-09-01,38,1121857.0,4.2,9,"San Jose-Sunnyvale-Santa Clara, CA",2107.0,0,Sep-2019
2019-10-01,39,1112051.0,4.14,10,"San Jose-Sunnyvale-Santa Clara, CA",2022.0,0,Oct-2019
2019-11-01,40,1100000.0,3.84,11,"San Jose-Sunnyvale-Santa Clara, CA",1613.0,0,Nov-2019
2019-12-01,41,1083819.0,3.81,12,"San Jose-Sunnyvale-Santa Clara, CA",990.0,0,Dec-2019
2020-01-01,42,1088500.0,3.75,1,"San Jose-Sunnyvale-Santa Clara, CA",820.0,0,Jan-2020
2020-02-01,43,1198000.0,3.73,2,"San Jose-Sunnyvale-Santa Clara, CA",945.0,0,Feb-2020
2020-03-01,44,1249805.0,3.78,3,"San Jose-Sunnyvale-Santa Clara, CA",1145.0,0,Mar-2020
2020-04-01,45,1198500.0,3.75,4,"San Jose-Sunnyvale-Santa Clara, CA",1350.0,0,Apr-2020
2020-05-01,46,1201000.0,3.74,5,"San Jose-Sunnyvale-Santa Clara, CA",1647.0,0,May-2020
2020-06-01,47,1260000.0,3.72,6,"San Jose-Sunnyvale-Santa Clara, CA",1657.0,0,Jun-2020
2020-07-01,48,1249950.0,3.49,7,"San Jose-Sunnyvale-Santa Clara, CA",1682.0,0,Jul-2020
2020-08-01,49,1248000.0,3.65,8,"San Jose-Sunnyvale-Santa Clara, CA",1674.0,0,Aug-2020
2020-09-01,50,1208897.0,3.33,9,"San Jose-Sunnyvale-Santa Clara, CA",1669.0,0,Sep-2020
2020-10-01,51,1228950.0,3.28,10,"San Jose-Sunnyvale-Santa Clara, CA",1692.0,0,Oct-2020
2020-11-01,52,1230748.0,3.21,11,"San Jose-Sunnyvale-Santa Clara, CA",1559.0,0,Nov-2020
2020-12-01,53,1197000.0,3.07,12,"San Jose-Sunnyvale-Santa Clara, CA",1154.0,0,Dec-2020
2021-01-01,54,1199000.0,2.99,1,"San Jose-Sunnyvale-Santa Clara, CA",972.0,0,Jan-2021
2021-02-01,55,1223700.0,2.93,2,"San Jose-Sunnyvale-Santa Clara, CA",1055.0,0,Feb-2021
2021-03-01,56,1246444.0,2.88,3,"San Jose-Sunnyvale-Santa Clara, CA",1182.0,0,Mar-2021
2021-04-01,57,1249500.0,2.84,4,"San Jose-Sunnyvale-Santa Clara, CA",1252.0,0,Apr-2021
2021-05-01,58,1298444.0,2.71,5,"San Jose-Sunnyvale-Santa Clara, CA",1244.0,0,May-2021
2021-06-01,59,1299444.0,2.79,6,"San Jose-Sunnyvale-Santa Clara, CA",1327.0,0,Jun-2021
2021-07-01,60,1275000.0,2.97,7,"San Jose-Sunnyvale-Santa Clara, CA",1410.0,0,Jul-2021
2021-08-01,61,1250500.0,3.17,8,"San Jose-Sunnyvale-Santa Clara, CA",1367.0,0,Aug-2021
2021-09-01,62,1262500.0,3.18,9,"San Jose-Sunnyvale-Santa Clara, CA",1284.0,0,Sep-2021
2021-10-01,63,1275000.0,3.0,10,"San Jose-Sunnyvale-Santa Clara, CA",1190.0,0,Oct-2021
2021-11-01,64,1244194.0,3.02,11,"San Jose-Sunnyvale-Santa Clara, CA",820.0,0,Nov-2021
2021-12-01,65,1238944.0,2.98,12,"San Jose-Sunnyvale-Santa Clara, CA",533.0,1165257,Dec-2021
2022-01-01,66,1298000.0,2.87,1,"San Jose-Sunnyvale-Santa Clara, CA",490.0,1269772,Jan-2022
2022-02-01,67,1356500.0,3.01,2,"San Jose-Sunnyvale-Santa Clara, CA",641.0,1244323,Feb-2022
2022-03-01,68,1399500.0,3.14,3,"San Jose-Sunnyvale-Santa Clara, CA",785.0,1286578,Mar-2022
2022-04-01,69,1433900.0,3.1,4,"San Jose-Sunnyvale-Santa Clara, CA",908.0,1284019,Apr-2022
2022-05-01,70,1496000.0,3.12,5,"San Jose-Sunnyvale-Santa Clara, CA",1506.0,1291984,May-2022
2022-06-01,71,1495000.0,3.56,6,"San Jose-Sunnyvale-Santa Clara, CA",1755.0,1274281,Jun-2022
2022-07-01,72,1400000.0,3.92,7,"San Jose-Sunnyvale-Santa Clara, CA",1987.0,1258494,Jul-2022
2022-08-01,73,1385975.0,4.67,8,"San Jose-Sunnyvale-Santa Clara, CA",1798.0,1282125,Aug-2022
2022-09-01,74,1398500.0,5.11,9,"San Jose-Sunnyvale-Santa Clara, CA",1554.0,1294415,Sep-2022
2022-10-01,75,1399000.0,5.3,10,"San Jose-Sunnyvale-Santa Clara, CA",1533.0,1302721,Oct-2022
