date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,249600.0,3.72,7,"Seneca, SC",857.0,0,Jul-2016
2016-08-01,1,249800.0,3.73,8,"Seneca, SC",824.0,0,Aug-2016
2016-09-01,2,249700.0,3.66,9,"Seneca, SC",796.0,0,Sep-2016
2016-10-01,3,249000.0,3.64,10,"Seneca, SC",773.0,0,Oct-2016
2016-11-01,4,249000.0,3.66,11,"Seneca, SC",732.0,0,Nov-2016
2016-12-01,5,249900.0,3.48,12,"Seneca, SC",694.0,0,Dec-2016
2017-01-01,6,245813.0,3.45,1,"Seneca, SC",647.0,0,Jan-2017
2017-02-01,7,239500.0,3.5,2,"Seneca, SC",675.0,0,Feb-2017
2017-03-01,8,239125.0,3.52,3,"Seneca, SC",732.0,0,Mar-2017
2017-04-01,9,240000.0,4.03,4,"Seneca, SC",767.0,0,Apr-2017
2017-05-01,10,242957.0,4.32,5,"Seneca, SC",775.0,0,May-2017
2017-06-01,11,237000.0,4.2,6,"Seneca, SC",760.0,0,Jun-2017
2017-07-01,12,239000.0,4.19,7,"Seneca, SC",739.0,0,Jul-2017
2017-08-01,13,248600.0,4.3,8,"Seneca, SC",723.0,0,Aug-2017
2017-09-01,14,249000.0,4.1,9,"Seneca, SC",694.0,0,Sep-2017
2017-10-01,15,249450.0,4.05,10,"Seneca, SC",665.0,0,Oct-2017
2017-11-01,16,249900.0,3.94,11,"Seneca, SC",635.0,0,Nov-2017
2017-12-01,17,249000.0,4.03,12,"Seneca, SC",592.0,0,Dec-2017
2018-01-01,18,249000.0,3.93,1,"Seneca, SC",548.0,0,Jan-2018
2018-02-01,19,249900.0,3.83,2,"Seneca, SC",549.0,0,Feb-2018
2018-03-01,20,274900.0,3.94,3,"Seneca, SC",594.0,0,Mar-2018
2018-04-01,21,282450.0,3.95,4,"Seneca, SC",622.0,0,Apr-2018
2018-05-01,22,285000.0,3.99,5,"Seneca, SC",614.0,0,May-2018
2018-06-01,23,280000.0,4.15,6,"Seneca, SC",633.0,0,Jun-2018
2018-07-01,24,289350.0,4.4,7,"Seneca, SC",639.0,0,Jul-2018
2018-08-01,25,289000.0,4.46,8,"Seneca, SC",636.0,0,Aug-2018
2018-09-01,26,279900.0,4.58,9,"Seneca, SC",637.0,0,Sep-2018
2018-10-01,27,279000.0,4.66,10,"Seneca, SC",624.0,0,Oct-2018
2018-11-01,28,275000.0,4.62,11,"Seneca, SC",617.0,0,Nov-2018
2018-12-01,29,274500.0,4.54,12,"Seneca, SC",574.0,0,Dec-2018
2019-01-01,30,274950.0,4.6,1,"Seneca, SC",545.0,0,Jan-2019
2019-02-01,31,269945.0,4.72,2,"Seneca, SC",550.0,0,Feb-2019
2019-03-01,32,280400.0,4.9,3,"Seneca, SC",515.0,0,Mar-2019
2019-04-01,33,297000.0,4.94,4,"Seneca, SC",469.0,0,Apr-2019
2019-05-01,34,298450.0,4.75,5,"Seneca, SC",472.0,0,May-2019
2019-06-01,35,310000.0,4.51,6,"Seneca, SC",471.0,0,Jun-2019
2019-07-01,36,294450.0,4.41,7,"Seneca, SC",462.0,0,Jul-2019
2019-08-01,37,291727.0,4.41,8,"Seneca, SC",454.0,0,Aug-2019
2019-09-01,38,295818.0,4.2,9,"Seneca, SC",435.0,0,Sep-2019
2019-10-01,39,304112.0,4.14,10,"Seneca, SC",421.0,0,Oct-2019
2019-11-01,40,319000.0,3.84,11,"Seneca, SC",410.0,0,Nov-2019
2019-12-01,41,299999.0,3.81,12,"Seneca, SC",386.0,0,Dec-2019
2020-01-01,42,299475.0,3.75,1,"Seneca, SC",360.0,0,Jan-2020
2020-02-01,43,292450.0,3.73,2,"Seneca, SC",340.0,0,Feb-2020
2020-03-01,44,299950.0,3.78,3,"Seneca, SC",344.0,0,Mar-2020
2020-04-01,45,299700.0,3.75,4,"Seneca, SC",341.0,0,Apr-2020
2020-05-01,46,299950.0,3.74,5,"Seneca, SC",334.0,0,May-2020
2020-06-01,47,299350.0,3.72,6,"Seneca, SC",306.0,0,Jun-2020
2020-07-01,48,302475.0,3.49,7,"Seneca, SC",266.0,0,Jul-2020
2020-08-01,49,299900.0,3.65,8,"Seneca, SC",250.0,0,Aug-2020
2020-09-01,50,299700.0,3.33,9,"Seneca, SC",224.0,0,Sep-2020
2020-10-01,51,299000.0,3.28,10,"Seneca, SC",207.0,0,Oct-2020
2020-11-01,52,299375.0,3.21,11,"Seneca, SC",186.0,0,Nov-2020
2020-12-01,53,292124.0,3.07,12,"Seneca, SC",179.0,0,Dec-2020
2021-01-01,54,289900.0,2.99,1,"Seneca, SC",163.0,0,Jan-2021
2021-02-01,55,293541.0,2.93,2,"Seneca, SC",152.0,0,Feb-2021
2021-03-01,56,324950.0,2.88,3,"Seneca, SC",142.0,0,Mar-2021
2021-04-01,57,337709.0,2.84,4,"Seneca, SC",125.0,0,Apr-2021
2021-05-01,58,339000.0,2.71,5,"Seneca, SC",121.0,0,May-2021
2021-06-01,59,344450.0,2.79,6,"Seneca, SC",149.0,0,Jun-2021
2021-07-01,60,327000.0,2.97,7,"Seneca, SC",173.0,0,Jul-2021
2021-08-01,61,343725.0,3.17,8,"Seneca, SC",177.0,0,Aug-2021
2021-09-01,62,340750.0,3.18,9,"Seneca, SC",171.0,0,Sep-2021
2021-10-01,63,321950.0,3.0,10,"Seneca, SC",157.0,0,Oct-2021
2021-11-01,64,313886.0,3.02,11,"Seneca, SC",185.0,0,Nov-2021
2021-12-01,65,299500.0,2.98,12,"Seneca, SC",169.0,341706,Dec-2021
2022-01-01,66,280470.0,2.87,1,"Seneca, SC",153.0,338140,Jan-2022
2022-02-01,67,296000.0,3.01,2,"Seneca, SC",152.0,344133,Feb-2022
2022-03-01,68,305062.0,3.14,3,"Seneca, SC",150.0,344619,Mar-2022
2022-04-01,69,339900.0,3.1,4,"Seneca, SC",168.0,344103,Apr-2022
2022-05-01,70,344048.0,3.12,5,"Seneca, SC",210.0,343052,May-2022
2022-06-01,71,350000.0,3.56,6,"Seneca, SC",225.0,341765,Jun-2022
2022-07-01,72,350552.0,3.92,7,"Seneca, SC",264.0,343809,Jul-2022
2022-08-01,73,354950.0,4.67,8,"Seneca, SC",296.0,342647,Aug-2022
2022-09-01,74,349050.0,5.11,9,"Seneca, SC",294.0,342283,Sep-2022
2022-10-01,75,347348.0,5.3,10,"Seneca, SC",299.0,342231,Oct-2022
