date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,259869.0,3.72,7,"Show Low, AZ",1167.0,0,Jul-2016
2016-08-01,1,259388.0,3.73,8,"Show Low, AZ",1126.0,0,Aug-2016
2016-09-01,2,257000.0,3.66,9,"Show Low, AZ",1069.0,0,Sep-2016
2016-10-01,3,259900.0,3.64,10,"Show Low, AZ",974.0,0,Oct-2016
2016-11-01,4,254950.0,3.66,11,"Show Low, AZ",866.0,0,Nov-2016
2016-12-01,5,249995.0,3.48,12,"Show Low, AZ",779.0,0,Dec-2016
2017-01-01,6,249700.0,3.45,1,"Show Low, AZ",706.0,0,Jan-2017
2017-02-01,7,249450.0,3.5,2,"Show Low, AZ",696.0,0,Feb-2017
2017-03-01,8,260575.0,3.52,3,"Show Low, AZ",728.0,0,Mar-2017
2017-04-01,9,259900.0,4.03,4,"Show Low, AZ",874.0,0,Apr-2017
2017-05-01,10,265000.0,4.32,5,"Show Low, AZ",997.0,0,May-2017
2017-06-01,11,267250.0,4.2,6,"Show Low, AZ",1017.0,0,Jun-2017
2017-07-01,12,269950.0,4.19,7,"Show Low, AZ",1004.0,0,Jul-2017
2017-08-01,13,269950.0,4.3,8,"Show Low, AZ",985.0,0,Aug-2017
2017-09-01,14,270000.0,4.1,9,"Show Low, AZ",907.0,0,Sep-2017
2017-10-01,15,275000.0,4.05,10,"Show Low, AZ",817.0,0,Oct-2017
2017-11-01,16,269000.0,3.94,11,"Show Low, AZ",744.0,0,Nov-2017
2017-12-01,17,269450.0,4.03,12,"Show Low, AZ",664.0,0,Dec-2017
2018-01-01,18,269675.0,3.93,1,"Show Low, AZ",616.0,0,Jan-2018
2018-02-01,19,271717.0,3.83,2,"Show Low, AZ",591.0,0,Feb-2018
2018-03-01,20,269900.0,3.94,3,"Show Low, AZ",606.0,0,Mar-2018
2018-04-01,21,281475.0,3.95,4,"Show Low, AZ",680.0,0,Apr-2018
2018-05-01,22,287625.0,3.99,5,"Show Low, AZ",718.0,0,May-2018
2018-06-01,23,291500.0,4.15,6,"Show Low, AZ",759.0,0,Jun-2018
2018-07-01,24,289925.0,4.4,7,"Show Low, AZ",797.0,0,Jul-2018
2018-08-01,25,296750.0,4.46,8,"Show Low, AZ",792.0,0,Aug-2018
2018-09-01,26,293000.0,4.58,9,"Show Low, AZ",753.0,0,Sep-2018
2018-10-01,27,299225.0,4.66,10,"Show Low, AZ",682.0,0,Oct-2018
2018-11-01,28,299900.0,4.62,11,"Show Low, AZ",607.0,0,Nov-2018
2018-12-01,29,295500.0,4.54,12,"Show Low, AZ",553.0,0,Dec-2018
2019-01-01,30,283750.0,4.6,1,"Show Low, AZ",510.0,0,Jan-2019
2019-02-01,31,280720.0,4.72,2,"Show Low, AZ",521.0,0,Feb-2019
2019-03-01,32,290786.0,4.9,3,"Show Low, AZ",554.0,0,Mar-2019
2019-04-01,33,296411.0,4.94,4,"Show Low, AZ",598.0,0,Apr-2019
2019-05-01,34,298613.0,4.75,5,"Show Low, AZ",677.0,0,May-2019
