date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,299450.0,3.72,7,"Sonora, CA",556.0,0,Jul-2016
2016-08-01,1,299900.0,3.73,8,"Sonora, CA",553.0,0,Aug-2016
2016-09-01,2,306500.0,3.66,9,"Sonora, CA",525.0,0,Sep-2016
2016-10-01,3,315667.0,3.64,10,"Sonora, CA",487.0,0,Oct-2016
2016-11-01,4,319400.0,3.66,11,"Sonora, CA",467.0,0,Nov-2016
2016-12-01,5,319900.0,3.48,12,"Sonora, CA",398.0,0,Dec-2016
2017-01-01,6,315000.0,3.45,1,"Sonora, CA",343.0,0,Jan-2017
2017-02-01,7,313498.0,3.5,2,"Sonora, CA",297.0,0,Feb-2017
2017-03-01,8,317250.0,3.52,3,"Sonora, CA",293.0,0,Mar-2017
2017-04-01,9,325000.0,4.03,4,"Sonora, CA",367.0,0,Apr-2017
2017-05-01,10,325000.0,4.32,5,"Sonora, CA",414.0,0,May-2017
2017-06-01,11,329000.0,4.2,6,"Sonora, CA",456.0,0,Jun-2017
2017-07-01,12,325000.0,4.19,7,"Sonora, CA",516.0,0,Jul-2017
2017-08-01,13,325000.0,4.3,8,"Sonora, CA",522.0,0,Aug-2017
2017-09-01,14,319000.0,4.1,9,"Sonora, CA",496.0,0,Sep-2017
2017-10-01,15,317000.0,4.05,10,"Sonora, CA",460.0,0,Oct-2017
2017-11-01,16,309000.0,3.94,11,"Sonora, CA",415.0,0,Nov-2017
2017-12-01,17,309000.0,4.03,12,"Sonora, CA",355.0,0,Dec-2017
2018-01-01,18,323250.0,3.93,1,"Sonora, CA",313.0,0,Jan-2018
2018-02-01,19,325000.0,3.83,2,"Sonora, CA",296.0,0,Feb-2018
2018-03-01,20,325000.0,3.94,3,"Sonora, CA",311.0,0,Mar-2018
2018-04-01,21,344250.0,3.95,4,"Sonora, CA",326.0,0,Apr-2018
2018-05-01,22,349950.0,3.99,5,"Sonora, CA",361.0,0,May-2018
2018-06-01,23,350000.0,4.15,6,"Sonora, CA",415.0,0,Jun-2018
2018-07-01,24,349450.0,4.4,7,"Sonora, CA",496.0,0,Jul-2018
2018-08-01,25,348500.0,4.46,8,"Sonora, CA",521.0,0,Aug-2018
2018-09-01,26,339000.0,4.58,9,"Sonora, CA",529.0,0,Sep-2018
2018-10-01,27,337000.0,4.66,10,"Sonora, CA",505.0,0,Oct-2018
2018-11-01,28,339000.0,4.62,11,"Sonora, CA",466.0,0,Nov-2018
2018-12-01,29,329000.0,4.54,12,"Sonora, CA",425.0,0,Dec-2018
2019-01-01,30,334200.0,4.6,1,"Sonora, CA",342.0,0,Jan-2019
2019-02-01,31,329450.0,4.72,2,"Sonora, CA",331.0,0,Feb-2019
2019-03-01,32,333693.0,4.9,3,"Sonora, CA",348.0,0,Mar-2019
2019-04-01,33,339475.0,4.94,4,"Sonora, CA",397.0,0,Apr-2019
2019-05-01,34,347225.0,4.75,5,"Sonora, CA",475.0,0,May-2019
2019-06-01,35,354450.0,4.51,6,"Sonora, CA",547.0,0,Jun-2019
2019-07-01,36,349700.0,4.41,7,"Sonora, CA",614.0,0,Jul-2019
2019-08-01,37,346636.0,4.41,8,"Sonora, CA",630.0,0,Aug-2019
2019-09-01,38,342341.0,4.2,9,"Sonora, CA",625.0,0,Sep-2019
2019-10-01,39,342477.0,4.14,10,"Sonora, CA",611.0,0,Oct-2019
2019-11-01,40,339000.0,3.84,11,"Sonora, CA",554.0,0,Nov-2019
2019-12-01,41,336000.0,3.81,12,"Sonora, CA",474.0,0,Dec-2019
2020-01-01,42,329000.0,3.75,1,"Sonora, CA",363.0,0,Jan-2020
2020-02-01,43,329000.0,3.73,2,"Sonora, CA",349.0,0,Feb-2020
2020-03-01,44,339125.0,3.78,3,"Sonora, CA",366.0,0,Mar-2020
2020-04-01,45,335675.0,3.75,4,"Sonora, CA",352.0,0,Apr-2020
2020-05-01,46,338000.0,3.74,5,"Sonora, CA",353.0,0,May-2020
2020-06-01,47,359488.0,3.72,6,"Sonora, CA",339.0,0,Jun-2020
2020-07-01,48,369713.0,3.49,7,"Sonora, CA",320.0,0,Jul-2020
2020-08-01,49,381100.0,3.65,8,"Sonora, CA",252.0,0,Aug-2020
2020-09-01,50,378750.0,3.33,9,"Sonora, CA",242.0,0,Sep-2020
2020-10-01,51,375000.0,3.28,10,"Sonora, CA",248.0,0,Oct-2020
2020-11-01,52,397000.0,3.21,11,"Sonora, CA",219.0,0,Nov-2020
2020-12-01,53,399925.0,3.07,12,"Sonora, CA",191.0,0,Dec-2020
2021-01-01,54,432000.0,2.99,1,"Sonora, CA",163.0,0,Jan-2021
2021-02-01,55,466975.0,2.93,2,"Sonora, CA",129.0,0,Feb-2021
2021-03-01,56,469750.0,2.88,3,"Sonora, CA",130.0,0,Mar-2021
2021-04-01,57,449971.0,2.84,4,"Sonora, CA",158.0,0,Apr-2021
2021-05-01,58,448500.0,2.71,5,"Sonora, CA",177.0,0,May-2021
2021-06-01,59,451750.0,2.79,6,"Sonora, CA",196.0,0,Jun-2021
2021-07-01,60,449900.0,2.97,7,"Sonora, CA",203.0,0,Jul-2021
2021-08-01,61,439613.0,3.17,8,"Sonora, CA",227.0,0,Aug-2021
2021-09-01,62,432000.0,3.18,9,"Sonora, CA",243.0,0,Sep-2021
2021-10-01,63,432500.0,3.0,10,"Sonora, CA",259.0,0,Oct-2021
2021-11-01,64,450000.0,3.02,11,"Sonora, CA",233.0,0,Nov-2021
2021-12-01,65,479000.0,2.98,12,"Sonora, CA",183.0,366845,Dec-2021
2022-01-01,66,492725.0,2.87,1,"Sonora, CA",127.0,463794,Jan-2022
2022-02-01,67,489625.0,3.01,2,"Sonora, CA",115.0,472565,Feb-2022
2022-03-01,68,494250.0,3.14,3,"Sonora, CA",138.0,391745,Mar-2022
2022-04-01,69,491500.0,3.1,4,"Sonora, CA",158.0,404254,Apr-2022
2022-05-01,70,479750.0,3.12,5,"Sonora, CA",211.0,412396,May-2022
2022-06-01,71,473725.0,3.56,6,"Sonora, CA",266.0,428330,Jun-2022
2022-07-01,72,459000.0,3.92,7,"Sonora, CA",315.0,421814,Jul-2022
2022-08-01,73,449450.0,4.67,8,"Sonora, CA",344.0,392276,Aug-2022
2022-09-01,74,447000.0,5.11,9,"Sonora, CA",318.0,391100,Sep-2022
2022-10-01,75,449000.0,5.3,10,"Sonora, CA",313.0,391590,Oct-2022
