date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,98950.0,3.72,7,"Springfield, OH",526.0,0,Jul-2016
2016-08-01,1,97700.0,3.73,8,"Springfield, OH",539.0,0,Aug-2016
2016-09-01,2,99000.0,3.66,9,"Springfield, OH",525.0,0,Sep-2016
2016-10-01,3,94500.0,3.64,10,"Springfield, OH",521.0,0,Oct-2016
2016-11-01,4,92375.0,3.66,11,"Springfield, OH",515.0,0,Nov-2016
2016-12-01,5,89900.0,3.48,12,"Springfield, OH",498.0,0,Dec-2016
2017-01-01,6,88175.0,3.45,1,"Springfield, OH",485.0,0,Jan-2017
2017-02-01,7,86175.0,3.5,2,"Springfield, OH",459.0,0,Feb-2017
2017-03-01,8,85700.0,3.52,3,"Springfield, OH",435.0,0,Mar-2017
2017-04-01,9,84900.0,4.03,4,"Springfield, OH",417.0,0,Apr-2017
2017-05-01,10,89233.0,4.32,5,"Springfield, OH",420.0,0,May-2017
2017-06-01,11,89900.0,4.2,6,"Springfield, OH",420.0,0,Jun-2017
2017-07-01,12,92250.0,4.19,7,"Springfield, OH",427.0,0,Jul-2017
2017-08-01,13,91550.0,4.3,8,"Springfield, OH",462.0,0,Aug-2017
2017-09-01,14,96000.0,4.1,9,"Springfield, OH",469.0,0,Sep-2017
2017-10-01,15,94875.0,4.05,10,"Springfield, OH",448.0,0,Oct-2017
2017-11-01,16,96625.0,3.94,11,"Springfield, OH",453.0,0,Nov-2017
2017-12-01,17,99900.0,4.03,12,"Springfield, OH",429.0,0,Dec-2017
2018-01-01,18,97100.0,3.93,1,"Springfield, OH",403.0,0,Jan-2018
2018-02-01,19,97675.0,3.83,2,"Springfield, OH",362.0,0,Feb-2018
2018-03-01,20,93400.0,3.94,3,"Springfield, OH",354.0,0,Mar-2018
2018-04-01,21,97850.0,3.95,4,"Springfield, OH",343.0,0,Apr-2018
2018-05-01,22,99375.0,3.99,5,"Springfield, OH",368.0,0,May-2018
2018-06-01,23,109900.0,4.15,6,"Springfield, OH",387.0,0,Jun-2018
2018-07-01,24,107225.0,4.4,7,"Springfield, OH",387.0,0,Jul-2018
2018-08-01,25,107169.0,4.46,8,"Springfield, OH",400.0,0,Aug-2018
2018-09-01,26,106000.0,4.58,9,"Springfield, OH",403.0,0,Sep-2018
2018-10-01,27,99475.0,4.66,10,"Springfield, OH",421.0,0,Oct-2018
2018-11-01,28,99900.0,4.62,11,"Springfield, OH",414.0,0,Nov-2018
2018-12-01,29,99900.0,4.54,12,"Springfield, OH",376.0,0,Dec-2018
2019-01-01,30,100550.0,4.6,1,"Springfield, OH",297.0,0,Jan-2019
2019-02-01,31,98350.0,4.72,2,"Springfield, OH",268.0,0,Feb-2019
2019-03-01,32,104636.0,4.9,3,"Springfield, OH",255.0,0,Mar-2019
2019-04-01,33,111475.0,4.94,4,"Springfield, OH",244.0,0,Apr-2019
2019-05-01,34,112400.0,4.75,5,"Springfield, OH",261.0,0,May-2019
2019-06-01,35,118900.0,4.51,6,"Springfield, OH",251.0,0,Jun-2019
2019-07-01,36,120750.0,4.41,7,"Springfield, OH",285.0,0,Jul-2019
2019-08-01,37,118005.0,4.41,8,"Springfield, OH",307.0,0,Aug-2019
2019-09-01,38,115161.0,4.2,9,"Springfield, OH",307.0,0,Sep-2019
2019-10-01,39,113791.0,4.14,10,"Springfield, OH",312.0,0,Oct-2019
2019-11-01,40,109900.0,3.84,11,"Springfield, OH",323.0,0,Nov-2019
2019-12-01,41,109000.0,3.81,12,"Springfield, OH",306.0,0,Dec-2019
2020-01-01,42,103000.0,3.75,1,"Springfield, OH",271.0,0,Jan-2020
2020-02-01,43,97675.0,3.73,2,"Springfield, OH",226.0,0,Feb-2020
2020-03-01,44,105000.0,3.78,3,"Springfield, OH",210.0,0,Mar-2020
2020-04-01,45,100000.0,3.75,4,"Springfield, OH",192.0,0,Apr-2020
2020-05-01,46,115000.0,3.74,5,"Springfield, OH",152.0,0,May-2020
2020-06-01,47,127225.0,3.72,6,"Springfield, OH",131.0,0,Jun-2020
2020-07-01,48,157400.0,3.49,7,"Springfield, OH",133.0,0,Jul-2020
2020-08-01,49,154900.0,3.65,8,"Springfield, OH",131.0,0,Aug-2020
2020-09-01,50,130000.0,3.33,9,"Springfield, OH",119.0,0,Sep-2020
2020-10-01,51,135000.0,3.28,10,"Springfield, OH",126.0,0,Oct-2020
2020-11-01,52,134600.0,3.21,11,"Springfield, OH",124.0,0,Nov-2020
2020-12-01,53,131725.0,3.07,12,"Springfield, OH",97.0,0,Dec-2020
