date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,247975.0,3.72,7,"State College, PA",400.0,0,Jul-2016
2016-08-01,1,249000.0,3.73,8,"State College, PA",382.0,0,Aug-2016
2016-09-01,2,246250.0,3.66,9,"State College, PA",358.0,0,Sep-2016
2016-10-01,3,235000.0,3.64,10,"State College, PA",358.0,0,Oct-2016
2016-11-01,4,228625.0,3.66,11,"State College, PA",333.0,0,Nov-2016
2016-12-01,5,224900.0,3.48,12,"State College, PA",290.0,0,Dec-2016
2017-01-01,6,219925.0,3.45,1,"State College, PA",260.0,0,Jan-2017
2017-02-01,7,246800.0,3.5,2,"State College, PA",263.0,0,Feb-2017
2017-03-01,8,279950.0,3.52,3,"State College, PA",276.0,0,Mar-2017
2017-04-01,9,279900.0,4.03,4,"State College, PA",308.0,0,Apr-2017
2017-05-01,10,272250.0,4.32,5,"State College, PA",314.0,0,May-2017
2017-06-01,11,269450.0,4.2,6,"State College, PA",335.0,0,Jun-2017
2017-07-01,12,259250.0,4.19,7,"State College, PA",337.0,0,Jul-2017
2017-08-01,13,252300.0,4.3,8,"State College, PA",341.0,0,Aug-2017
2017-09-01,14,257450.0,4.1,9,"State College, PA",342.0,0,Sep-2017
2017-10-01,15,254700.0,4.05,10,"State College, PA",303.0,0,Oct-2017
2017-11-01,16,253000.0,3.94,11,"State College, PA",272.0,0,Nov-2017
2017-12-01,17,239900.0,4.03,12,"State College, PA",234.0,0,Dec-2017
2018-01-01,18,246175.0,3.93,1,"State College, PA",214.0,0,Jan-2018
2018-02-01,19,262700.0,3.83,2,"State College, PA",228.0,0,Feb-2018
2018-03-01,20,293450.0,3.94,3,"State College, PA",255.0,0,Mar-2018
2018-04-01,21,293175.0,3.95,4,"State College, PA",264.0,0,Apr-2018
2018-05-01,22,284950.0,3.99,5,"State College, PA",295.0,0,May-2018
2018-06-01,23,295412.0,4.15,6,"State College, PA",314.0,0,Jun-2018
2018-07-01,24,284700.0,4.4,7,"State College, PA",306.0,0,Jul-2018
2018-08-01,25,276200.0,4.46,8,"State College, PA",288.0,0,Aug-2018
2018-09-01,26,269700.0,4.58,9,"State College, PA",303.0,0,Sep-2018
2018-10-01,27,264423.0,4.66,10,"State College, PA",299.0,0,Oct-2018
2018-11-01,28,249975.0,4.62,11,"State College, PA",292.0,0,Nov-2018
2018-12-01,29,239500.0,4.54,12,"State College, PA",252.0,0,Dec-2018
2019-01-01,30,239900.0,4.6,1,"State College, PA",209.0,0,Jan-2019
2019-02-01,31,273225.0,4.72,2,"State College, PA",229.0,0,Feb-2019
2019-03-01,32,305900.0,4.9,3,"State College, PA",271.0,0,Mar-2019
2019-04-01,33,328175.0,4.94,4,"State College, PA",302.0,0,Apr-2019
2019-05-01,34,321900.0,4.75,5,"State College, PA",309.0,0,May-2019
2019-06-01,35,319000.0,4.51,6,"State College, PA",342.0,0,Jun-2019
2019-07-01,36,308900.0,4.41,7,"State College, PA",359.0,0,Jul-2019
2019-08-01,37,300355.0,4.41,8,"State College, PA",354.0,0,Aug-2019
2019-09-01,38,286036.0,4.2,9,"State College, PA",343.0,0,Sep-2019
2019-10-01,39,272698.0,4.14,10,"State College, PA",335.0,0,Oct-2019
2019-11-01,40,275000.0,3.84,11,"State College, PA",300.0,0,Nov-2019
2019-12-01,41,257400.0,3.81,12,"State College, PA",253.0,0,Dec-2019
2020-01-01,42,264925.0,3.75,1,"State College, PA",215.0,0,Jan-2020
2020-02-01,43,287000.0,3.73,2,"State College, PA",219.0,0,Feb-2020
2020-03-01,44,308475.0,3.78,3,"State College, PA",262.0,0,Mar-2020
2020-04-01,45,315450.0,3.75,4,"State College, PA",268.0,0,Apr-2020
2020-05-01,46,312500.0,3.74,5,"State College, PA",302.0,0,May-2020
2020-06-01,47,329950.0,3.72,6,"State College, PA",292.0,0,Jun-2020
2020-07-01,48,329900.0,3.49,7,"State College, PA",283.0,0,Jul-2020
2020-08-01,49,319950.0,3.65,8,"State College, PA",273.0,0,Aug-2020
2020-09-01,50,310450.0,3.33,9,"State College, PA",261.0,0,Sep-2020
2020-10-01,51,322450.0,3.28,10,"State College, PA",234.0,0,Oct-2020
2020-11-01,52,327450.0,3.21,11,"State College, PA",190.0,0,Nov-2020
2020-12-01,53,325000.0,3.07,12,"State College, PA",173.0,0,Dec-2020
2021-01-01,54,314950.0,2.99,1,"State College, PA",154.0,0,Jan-2021
2021-02-01,55,322450.0,2.93,2,"State College, PA",129.0,0,Feb-2021
2021-03-01,56,326750.0,2.88,3,"State College, PA",118.0,0,Mar-2021
2021-04-01,57,300000.0,2.84,4,"State College, PA",126.0,0,Apr-2021
2021-05-01,58,315000.0,2.71,5,"State College, PA",144.0,0,May-2021
2021-06-01,59,322500.0,2.79,6,"State College, PA",155.0,0,Jun-2021
2021-07-01,60,325000.0,2.97,7,"State College, PA",167.0,0,Jul-2021
2021-08-01,61,309450.0,3.17,8,"State College, PA",173.0,0,Aug-2021
2021-09-01,62,298370.0,3.18,9,"State College, PA",164.0,0,Sep-2021
2021-10-01,63,279990.0,3.0,10,"State College, PA",167.0,0,Oct-2021
2021-11-01,64,294950.0,3.02,11,"State College, PA",144.0,0,Nov-2021
2021-12-01,65,299975.0,2.98,12,"State College, PA",110.0,312641,Dec-2021
2022-01-01,66,299900.0,2.87,1,"State College, PA",93.0,313733,Jan-2022
2022-02-01,67,352475.0,3.01,2,"State College, PA",84.0,313654,Feb-2022
2022-03-01,68,340500.0,3.14,3,"State College, PA",100.0,314664,Mar-2022
2022-04-01,69,360000.0,3.1,4,"State College, PA",114.0,312923,Apr-2022
2022-05-01,70,372000.0,3.12,5,"State College, PA",132.0,313815,May-2022
2022-06-01,71,379000.0,3.56,6,"State College, PA",141.0,314776,Jun-2022
2022-07-01,72,384000.0,3.92,7,"State College, PA",165.0,313737,Jul-2022
2022-08-01,73,384700.0,4.67,8,"State College, PA",163.0,313136,Aug-2022
2022-09-01,74,374475.0,5.11,9,"State College, PA",158.0,312928,Sep-2022
2022-10-01,75,374500.0,5.3,10,"State College, PA",153.0,310923,Oct-2022
