date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,169900.0,3.72,7,"Stevens Point, WI",324.0,0,Jul-2016
2016-08-01,1,179900.0,3.73,8,"Stevens Point, WI",307.0,0,Aug-2016
2016-09-01,2,179900.0,3.66,9,"Stevens Point, WI",294.0,0,Sep-2016
2016-10-01,3,175900.0,3.64,10,"Stevens Point, WI",270.0,0,Oct-2016
2016-11-01,4,169900.0,3.66,11,"Stevens Point, WI",260.0,0,Nov-2016
2016-12-01,5,164900.0,3.48,12,"Stevens Point, WI",228.0,0,Dec-2016
2017-01-01,6,169900.0,3.45,1,"Stevens Point, WI",192.0,0,Jan-2017
2017-02-01,7,169900.0,3.5,2,"Stevens Point, WI",200.0,0,Feb-2017
2017-03-01,8,189900.0,3.52,3,"Stevens Point, WI",217.0,0,Mar-2017
2017-04-01,9,194700.0,4.03,4,"Stevens Point, WI",254.0,0,Apr-2017
2017-05-01,10,203700.0,4.32,5,"Stevens Point, WI",271.0,0,May-2017
2017-06-01,11,201225.0,4.2,6,"Stevens Point, WI",285.0,0,Jun-2017
2017-07-01,12,209900.0,4.19,7,"Stevens Point, WI",289.0,0,Jul-2017
2017-08-01,13,203650.0,4.3,8,"Stevens Point, WI",315.0,0,Aug-2017
2017-09-01,14,199000.0,4.1,9,"Stevens Point, WI",290.0,0,Sep-2017
2017-10-01,15,199450.0,4.05,10,"Stevens Point, WI",267.0,0,Oct-2017
2017-11-01,16,199450.0,3.94,11,"Stevens Point, WI",243.0,0,Nov-2017
2017-12-01,17,199900.0,4.03,12,"Stevens Point, WI",208.0,0,Dec-2017
2018-01-01,18,199900.0,3.93,1,"Stevens Point, WI",179.0,0,Jan-2018
2018-02-01,19,208675.0,3.83,2,"Stevens Point, WI",171.0,0,Feb-2018
2018-03-01,20,226950.0,3.94,3,"Stevens Point, WI",170.0,0,Mar-2018
2018-04-01,21,234900.0,3.95,4,"Stevens Point, WI",180.0,0,Apr-2018
2018-05-01,22,227050.0,3.99,5,"Stevens Point, WI",219.0,0,May-2018
2018-06-01,23,217900.0,4.15,6,"Stevens Point, WI",272.0,0,Jun-2018
2018-07-01,24,219900.0,4.4,7,"Stevens Point, WI",264.0,0,Jul-2018
2018-08-01,25,219675.0,4.46,8,"Stevens Point, WI",247.0,0,Aug-2018
2018-09-01,26,215000.0,4.58,9,"Stevens Point, WI",233.0,0,Sep-2018
2018-10-01,27,202450.0,4.66,10,"Stevens Point, WI",231.0,0,Oct-2018
2018-11-01,28,199900.0,4.62,11,"Stevens Point, WI",197.0,0,Nov-2018
2018-12-01,29,191250.0,4.54,12,"Stevens Point, WI",170.0,0,Dec-2018
2019-01-01,30,187450.0,4.6,1,"Stevens Point, WI",140.0,0,Jan-2019
2019-02-01,31,199900.0,4.72,2,"Stevens Point, WI",136.0,0,Feb-2019
2019-03-01,32,210614.0,4.9,3,"Stevens Point, WI",147.0,0,Mar-2019
2019-04-01,33,228650.0,4.94,4,"Stevens Point, WI",162.0,0,Apr-2019
2019-05-01,34,239900.0,4.75,5,"Stevens Point, WI",201.0,0,May-2019
2019-06-01,35,227450.0,4.51,6,"Stevens Point, WI",260.0,0,Jun-2019
2019-07-01,36,229900.0,4.41,7,"Stevens Point, WI",261.0,0,Jul-2019
2019-08-01,37,225823.0,4.41,8,"Stevens Point, WI",245.0,0,Aug-2019
2019-09-01,38,219707.0,4.2,9,"Stevens Point, WI",244.0,0,Sep-2019
2019-10-01,39,215630.0,4.14,10,"Stevens Point, WI",237.0,0,Oct-2019
2019-11-01,40,212450.0,3.84,11,"Stevens Point, WI",211.0,0,Nov-2019
2019-12-01,41,217400.0,3.81,12,"Stevens Point, WI",178.0,0,Dec-2019
2020-01-01,42,223700.0,3.75,1,"Stevens Point, WI",156.0,0,Jan-2020
2020-02-01,43,228900.0,3.73,2,"Stevens Point, WI",166.0,0,Feb-2020
2020-03-01,44,237675.0,3.78,3,"Stevens Point, WI",172.0,0,Mar-2020
2020-04-01,45,239900.0,3.75,4,"Stevens Point, WI",176.0,0,Apr-2020
2020-05-01,46,279900.0,3.74,5,"Stevens Point, WI",90.0,0,May-2020
2020-06-01,47,262450.0,3.72,6,"Stevens Point, WI",91.0,0,Jun-2020
