date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,257950.0,3.72,7,"Tampa-St. Petersburg-Clearwater, FL",14047.0,0,Jul-2016
2016-08-01,1,255200.0,3.73,8,"Tampa-St. Petersburg-Clearwater, FL",14079.0,0,Aug-2016
2016-09-01,2,257000.0,3.66,9,"Tampa-St. Petersburg-Clearwater, FL",13964.0,0,Sep-2016
2016-10-01,3,255900.0,3.64,10,"Tampa-St. Petersburg-Clearwater, FL",14257.0,0,Oct-2016
2016-11-01,4,254445.0,3.66,11,"Tampa-St. Petersburg-Clearwater, FL",14521.0,0,Nov-2016
2016-12-01,5,252500.0,3.48,12,"Tampa-St. Petersburg-Clearwater, FL",14472.0,0,Dec-2016
2017-01-01,6,250023.0,3.45,1,"Tampa-St. Petersburg-Clearwater, FL",14338.0,0,Jan-2017
2017-02-01,7,257400.0,3.5,2,"Tampa-St. Petersburg-Clearwater, FL",14354.0,0,Feb-2017
2017-03-01,8,259950.0,3.52,3,"Tampa-St. Petersburg-Clearwater, FL",14008.0,0,Mar-2017
2017-04-01,9,265000.0,4.03,4,"Tampa-St. Petersburg-Clearwater, FL",13731.0,0,Apr-2017
2017-05-01,10,269950.0,4.32,5,"Tampa-St. Petersburg-Clearwater, FL",13634.0,0,May-2017
2017-06-01,11,270121.0,4.2,6,"Tampa-St. Petersburg-Clearwater, FL",13344.0,0,Jun-2017
2017-07-01,12,269900.0,4.19,7,"Tampa-St. Petersburg-Clearwater, FL",13538.0,0,Jul-2017
2017-08-01,13,269900.0,4.3,8,"Tampa-St. Petersburg-Clearwater, FL",13507.0,0,Aug-2017
2017-09-01,14,269500.0,4.1,9,"Tampa-St. Petersburg-Clearwater, FL",13165.0,0,Sep-2017
2017-10-01,15,267245.0,4.05,10,"Tampa-St. Petersburg-Clearwater, FL",13232.0,0,Oct-2017
2017-11-01,16,268880.0,3.94,11,"Tampa-St. Petersburg-Clearwater, FL",13167.0,0,Nov-2017
2017-12-01,17,265000.0,4.03,12,"Tampa-St. Petersburg-Clearwater, FL",12990.0,0,Dec-2017
2018-01-01,18,266250.0,3.93,1,"Tampa-St. Petersburg-Clearwater, FL",13116.0,0,Jan-2018
2018-02-01,19,267722.0,3.83,2,"Tampa-St. Petersburg-Clearwater, FL",13297.0,0,Feb-2018
2018-03-01,20,269900.0,3.94,3,"Tampa-St. Petersburg-Clearwater, FL",13383.0,0,Mar-2018
2018-04-01,21,277750.0,3.95,4,"Tampa-St. Petersburg-Clearwater, FL",13195.0,0,Apr-2018
2018-05-01,22,278320.0,3.99,5,"Tampa-St. Petersburg-Clearwater, FL",13361.0,0,May-2018
2018-06-01,23,279000.0,4.15,6,"Tampa-St. Petersburg-Clearwater, FL",13524.0,0,Jun-2018
2018-07-01,24,276545.0,4.4,7,"Tampa-St. Petersburg-Clearwater, FL",13653.0,0,Jul-2018
2018-08-01,25,274748.0,4.46,8,"Tampa-St. Petersburg-Clearwater, FL",13824.0,0,Aug-2018
2018-09-01,26,269040.0,4.58,9,"Tampa-St. Petersburg-Clearwater, FL",14120.0,0,Sep-2018
2018-10-01,27,269700.0,4.66,10,"Tampa-St. Petersburg-Clearwater, FL",14643.0,0,Oct-2018
2018-11-01,28,269020.0,4.62,11,"Tampa-St. Petersburg-Clearwater, FL",15344.0,0,Nov-2018
2018-12-01,29,267000.0,4.54,12,"Tampa-St. Petersburg-Clearwater, FL",15537.0,0,Dec-2018
2019-01-01,30,265495.0,4.6,1,"Tampa-St. Petersburg-Clearwater, FL",15824.0,0,Jan-2019
2019-02-01,31,269900.0,4.72,2,"Tampa-St. Petersburg-Clearwater, FL",16085.0,0,Feb-2019
2019-03-01,32,274242.0,4.9,3,"Tampa-St. Petersburg-Clearwater, FL",15596.0,0,Mar-2019
2019-04-01,33,279900.0,4.94,4,"Tampa-St. Petersburg-Clearwater, FL",14790.0,0,Apr-2019
2019-05-01,34,283950.0,4.75,5,"Tampa-St. Petersburg-Clearwater, FL",14374.0,0,May-2019
2019-06-01,35,285000.0,4.51,6,"Tampa-St. Petersburg-Clearwater, FL",14219.0,0,Jun-2019
2019-07-01,36,285000.0,4.41,7,"Tampa-St. Petersburg-Clearwater, FL",13866.0,0,Jul-2019
2019-08-01,37,282182.0,4.41,8,"Tampa-St. Petersburg-Clearwater, FL",13799.0,0,Aug-2019
2019-09-01,38,280954.0,4.2,9,"Tampa-St. Petersburg-Clearwater, FL",13768.0,0,Sep-2019
2019-10-01,39,280000.0,4.14,10,"Tampa-St. Petersburg-Clearwater, FL",13740.0,0,Oct-2019
2019-11-01,40,279900.0,3.84,11,"Tampa-St. Petersburg-Clearwater, FL",13420.0,0,Nov-2019
2019-12-01,41,279325.0,3.81,12,"Tampa-St. Petersburg-Clearwater, FL",13070.0,0,Dec-2019
2020-01-01,42,276495.0,3.75,1,"Tampa-St. Petersburg-Clearwater, FL",12635.0,0,Jan-2020
2020-02-01,43,280000.0,3.73,2,"Tampa-St. Petersburg-Clearwater, FL",12404.0,0,Feb-2020
2020-03-01,44,283968.0,3.78,3,"Tampa-St. Petersburg-Clearwater, FL",12289.0,0,Mar-2020
2020-04-01,45,279900.0,3.75,4,"Tampa-St. Petersburg-Clearwater, FL",12487.0,0,Apr-2020
2020-05-01,46,285000.0,3.74,5,"Tampa-St. Petersburg-Clearwater, FL",11641.0,0,May-2020
2020-06-01,47,294500.0,3.72,6,"Tampa-St. Petersburg-Clearwater, FL",9797.0,0,Jun-2020
