date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,159162.0,3.72,7,"Tupelo, MS",636.0,0,Jul-2016
2016-08-01,1,159056.0,3.73,8,"Tupelo, MS",632.0,0,Aug-2016
2016-09-01,2,159162.0,3.66,9,"Tupelo, MS",636.0,0,Sep-2016
2016-10-01,3,159000.0,3.64,10,"Tupelo, MS",655.0,0,Oct-2016
2016-11-01,4,157600.0,3.66,11,"Tupelo, MS",647.0,0,Nov-2016
2016-12-01,5,155000.0,3.48,12,"Tupelo, MS",628.0,0,Dec-2016
2017-01-01,6,153100.0,3.45,1,"Tupelo, MS",585.0,0,Jan-2017
2017-02-01,7,149925.0,3.5,2,"Tupelo, MS",566.0,0,Feb-2017
2017-03-01,8,155975.0,3.52,3,"Tupelo, MS",579.0,0,Mar-2017
2017-04-01,9,164450.0,4.03,4,"Tupelo, MS",568.0,0,Apr-2017
2017-05-01,10,163125.0,4.32,5,"Tupelo, MS",588.0,0,May-2017
2017-06-01,11,165000.0,4.2,6,"Tupelo, MS",583.0,0,Jun-2017
2017-07-01,12,165000.0,4.19,7,"Tupelo, MS",609.0,0,Jul-2017
2017-08-01,13,159200.0,4.3,8,"Tupelo, MS",613.0,0,Aug-2017
2017-09-01,14,159700.0,4.1,9,"Tupelo, MS",609.0,0,Sep-2017
2017-10-01,15,159900.0,4.05,10,"Tupelo, MS",597.0,0,Oct-2017
2017-11-01,16,162625.0,3.94,11,"Tupelo, MS",586.0,0,Nov-2017
2017-12-01,17,164500.0,4.03,12,"Tupelo, MS",554.0,0,Dec-2017
2018-01-01,18,165000.0,3.93,1,"Tupelo, MS",543.0,0,Jan-2018
2018-02-01,19,172500.0,3.83,2,"Tupelo, MS",541.0,0,Feb-2018
2018-03-01,20,172900.0,3.94,3,"Tupelo, MS",554.0,0,Mar-2018
2018-04-01,21,178300.0,3.95,4,"Tupelo, MS",590.0,0,Apr-2018
2018-05-01,22,178788.0,3.99,5,"Tupelo, MS",586.0,0,May-2018
2018-06-01,23,175000.0,4.15,6,"Tupelo, MS",597.0,0,Jun-2018
2018-07-01,24,179000.0,4.4,7,"Tupelo, MS",612.0,0,Jul-2018
2018-08-01,25,179250.0,4.46,8,"Tupelo, MS",599.0,0,Aug-2018
2018-09-01,26,179000.0,4.58,9,"Tupelo, MS",586.0,0,Sep-2018
2018-10-01,27,175250.0,4.66,10,"Tupelo, MS",549.0,0,Oct-2018
2018-11-01,28,175250.0,4.62,11,"Tupelo, MS",529.0,0,Nov-2018
2018-12-01,29,175000.0,4.54,12,"Tupelo, MS",496.0,0,Dec-2018
2019-01-01,30,175125.0,4.6,1,"Tupelo, MS",483.0,0,Jan-2019
2019-02-01,31,178163.0,4.72,2,"Tupelo, MS",485.0,0,Feb-2019
2019-03-01,32,188357.0,4.9,3,"Tupelo, MS",485.0,0,Mar-2019
2019-04-01,33,200950.0,4.94,4,"Tupelo, MS",481.0,0,Apr-2019
2019-05-01,34,204500.0,4.75,5,"Tupelo, MS",499.0,0,May-2019
2019-06-01,35,199900.0,4.51,6,"Tupelo, MS",497.0,0,Jun-2019
2019-07-01,36,198850.0,4.41,7,"Tupelo, MS",510.0,0,Jul-2019
2019-08-01,37,197027.0,4.41,8,"Tupelo, MS",505.0,0,Aug-2019
2019-09-01,38,193018.0,4.2,9,"Tupelo, MS",503.0,0,Sep-2019
2019-10-01,39,189900.0,4.14,10,"Tupelo, MS",495.0,0,Oct-2019
2019-11-01,40,188400.0,3.84,11,"Tupelo, MS",475.0,0,Nov-2019
2019-12-01,41,184900.0,3.81,12,"Tupelo, MS",462.0,0,Dec-2019
2020-01-01,42,182425.0,3.75,1,"Tupelo, MS",448.0,0,Jan-2020
2020-02-01,43,182600.0,3.73,2,"Tupelo, MS",464.0,0,Feb-2020
2020-03-01,44,189000.0,3.78,3,"Tupelo, MS",447.0,0,Mar-2020
2020-04-01,45,190063.0,3.75,4,"Tupelo, MS",427.0,0,Apr-2020
2020-05-01,46,192450.0,3.74,5,"Tupelo, MS",391.0,0,May-2020
2020-06-01,47,199800.0,3.72,6,"Tupelo, MS",354.0,0,Jun-2020
2020-07-01,48,215000.0,3.49,7,"Tupelo, MS",341.0,0,Jul-2020
2020-08-01,49,212000.0,3.65,8,"Tupelo, MS",323.0,0,Aug-2020
2020-09-01,50,209000.0,3.33,9,"Tupelo, MS",311.0,0,Sep-2020
2020-10-01,51,215000.0,3.28,10,"Tupelo, MS",288.0,0,Oct-2020
2020-11-01,52,219925.0,3.21,11,"Tupelo, MS",282.0,0,Nov-2020
2020-12-01,53,219000.0,3.07,12,"Tupelo, MS",283.0,0,Dec-2020
2021-01-01,54,212450.0,2.99,1,"Tupelo, MS",256.0,0,Jan-2021
2021-02-01,55,210450.0,2.93,2,"Tupelo, MS",235.0,0,Feb-2021
2021-03-01,56,224450.0,2.88,3,"Tupelo, MS",213.0,0,Mar-2021
2021-04-01,57,223425.0,2.84,4,"Tupelo, MS",188.0,0,Apr-2021
2021-05-01,58,200000.0,2.71,5,"Tupelo, MS",200.0,0,May-2021
2021-06-01,59,225725.0,2.79,6,"Tupelo, MS",218.0,0,Jun-2021
2021-07-01,60,219900.0,2.97,7,"Tupelo, MS",229.0,0,Jul-2021
2021-08-01,61,222475.0,3.17,8,"Tupelo, MS",240.0,0,Aug-2021
2021-09-01,62,231950.0,3.18,9,"Tupelo, MS",244.0,0,Sep-2021
2021-10-01,63,232000.0,3.0,10,"Tupelo, MS",275.0,0,Oct-2021
2021-11-01,64,239950.0,3.02,11,"Tupelo, MS",253.0,0,Nov-2021
2021-12-01,65,237275.0,2.98,12,"Tupelo, MS",242.0,231695,Dec-2021
2022-01-01,66,235000.0,2.87,1,"Tupelo, MS",213.0,227429,Jan-2022
2022-02-01,67,239900.0,3.01,2,"Tupelo, MS",178.0,231313,Feb-2022
2022-03-01,68,244225.0,3.14,3,"Tupelo, MS",174.0,234062,Mar-2022
2022-04-01,69,249900.0,3.1,4,"Tupelo, MS",181.0,237627,Apr-2022
2022-05-01,70,239900.0,3.12,5,"Tupelo, MS",214.0,224114,May-2022
2022-06-01,71,249900.0,3.56,6,"Tupelo, MS",254.0,245972,Jun-2022
2022-07-01,72,249925.0,3.92,7,"Tupelo, MS",291.0,250122,Jul-2022
2022-08-01,73,250625.0,4.67,8,"Tupelo, MS",328.0,251366,Aug-2022
2022-09-01,74,249950.0,5.11,9,"Tupelo, MS",344.0,252638,Sep-2022
2022-10-01,75,250000.0,5.3,10,"Tupelo, MS",360.0,251763,Oct-2022
