date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,169900.0,3.72,7,"Vernal, UT",372.0,0,Jul-2016
2016-08-01,1,168950.0,3.73,8,"Vernal, UT",359.0,0,Aug-2016
2016-09-01,2,167575.0,3.66,9,"Vernal, UT",331.0,0,Sep-2016
2016-10-01,3,166000.0,3.64,10,"Vernal, UT",305.0,0,Oct-2016
2016-11-01,4,168325.0,3.66,11,"Vernal, UT",286.0,0,Nov-2016
2016-12-01,5,162500.0,3.48,12,"Vernal, UT",276.0,0,Dec-2016
2017-01-01,6,166500.0,3.45,1,"Vernal, UT",258.0,0,Jan-2017
2017-02-01,7,166500.0,3.5,2,"Vernal, UT",261.0,0,Feb-2017
2017-03-01,8,165000.0,3.52,3,"Vernal, UT",274.0,0,Mar-2017
2017-04-01,9,169450.0,4.03,4,"Vernal, UT",292.0,0,Apr-2017
2017-05-01,10,177250.0,4.32,5,"Vernal, UT",289.0,0,May-2017
2017-06-01,11,183600.0,4.2,6,"Vernal, UT",309.0,0,Jun-2017
2017-07-01,12,179400.0,4.19,7,"Vernal, UT",334.0,0,Jul-2017
2017-08-01,13,175900.0,4.3,8,"Vernal, UT",340.0,0,Aug-2017
2017-09-01,14,174900.0,4.1,9,"Vernal, UT",323.0,0,Sep-2017
2017-10-01,15,174425.0,4.05,10,"Vernal, UT",311.0,0,Oct-2017
2017-11-01,16,172500.0,3.94,11,"Vernal, UT",303.0,0,Nov-2017
2017-12-01,17,174300.0,4.03,12,"Vernal, UT",269.0,0,Dec-2017
2018-01-01,18,169900.0,3.93,1,"Vernal, UT",259.0,0,Jan-2018
2018-02-01,19,175900.0,3.83,2,"Vernal, UT",251.0,0,Feb-2018
2018-03-01,20,187250.0,3.94,3,"Vernal, UT",233.0,0,Mar-2018
2018-04-01,21,189450.0,3.95,4,"Vernal, UT",242.0,0,Apr-2018
2018-05-01,22,209900.0,3.99,5,"Vernal, UT",247.0,0,May-2018
2018-06-01,23,205000.0,4.15,6,"Vernal, UT",272.0,0,Jun-2018
2018-07-01,24,202450.0,4.4,7,"Vernal, UT",284.0,0,Jul-2018
2018-08-01,25,199900.0,4.46,8,"Vernal, UT",297.0,0,Aug-2018
2018-09-01,26,189000.0,4.58,9,"Vernal, UT",283.0,0,Sep-2018
2018-10-01,27,186950.0,4.66,10,"Vernal, UT",302.0,0,Oct-2018
2018-11-01,28,190600.0,4.62,11,"Vernal, UT",294.0,0,Nov-2018
2018-12-01,29,180000.0,4.54,12,"Vernal, UT",275.0,0,Dec-2018
2019-01-01,30,188250.0,4.6,1,"Vernal, UT",262.0,0,Jan-2019
2019-02-01,31,189675.0,4.72,2,"Vernal, UT",240.0,0,Feb-2019
2019-03-01,32,199979.0,4.9,3,"Vernal, UT",225.0,0,Mar-2019
2019-04-01,33,212475.0,4.94,4,"Vernal, UT",227.0,0,Apr-2019
2019-05-01,34,219925.0,4.75,5,"Vernal, UT",255.0,0,May-2019
2019-06-01,35,225000.0,4.51,6,"Vernal, UT",267.0,0,Jun-2019
2019-07-01,36,224925.0,4.41,7,"Vernal, UT",272.0,0,Jul-2019
2019-08-01,37,214336.0,4.41,8,"Vernal, UT",268.0,0,Aug-2019
2019-09-01,38,205991.0,4.2,9,"Vernal, UT",261.0,0,Sep-2019
2019-10-01,39,207677.0,4.14,10,"Vernal, UT",240.0,0,Oct-2019
2019-11-01,40,215000.0,3.84,11,"Vernal, UT",216.0,0,Nov-2019
2019-12-01,41,212750.0,3.81,12,"Vernal, UT",201.0,0,Dec-2019
2020-01-01,42,210000.0,3.75,1,"Vernal, UT",198.0,0,Jan-2020
