date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,149850.0,3.72,7,"Vidalia, GA",141.0,0,Jul-2016
2016-08-01,1,149900.0,3.73,8,"Vidalia, GA",143.0,0,Aug-2016
2016-09-01,2,152550.0,3.66,9,"Vidalia, GA",140.0,0,Sep-2016
2016-10-01,3,154900.0,3.64,10,"Vidalia, GA",138.0,0,Oct-2016
2016-11-01,4,154900.0,3.66,11,"Vidalia, GA",139.0,0,Nov-2016
2016-12-01,5,142000.0,3.48,12,"Vidalia, GA",142.0,0,Dec-2016
2017-01-01,6,145250.0,3.45,1,"Vidalia, GA",131.0,0,Jan-2017
2017-02-01,7,157375.0,3.5,2,"Vidalia, GA",139.0,0,Feb-2017
2017-03-01,8,149125.0,3.52,3,"Vidalia, GA",146.0,0,Mar-2017
2017-04-01,9,149750.0,4.03,4,"Vidalia, GA",138.0,0,Apr-2017
2017-05-01,10,155000.0,4.32,5,"Vidalia, GA",137.0,0,May-2017
2017-06-01,11,150000.0,4.2,6,"Vidalia, GA",135.0,0,Jun-2017
2017-07-01,12,158600.0,4.19,7,"Vidalia, GA",146.0,0,Jul-2017
2017-08-01,13,152400.0,4.3,8,"Vidalia, GA",154.0,0,Aug-2017
2017-09-01,14,150000.0,4.1,9,"Vidalia, GA",150.0,0,Sep-2017
2017-10-01,15,149700.0,4.05,10,"Vidalia, GA",147.0,0,Oct-2017
2017-11-01,16,144300.0,3.94,11,"Vidalia, GA",132.0,0,Nov-2017
2017-12-01,17,149700.0,4.03,12,"Vidalia, GA",125.0,0,Dec-2017
2018-01-01,18,146625.0,3.93,1,"Vidalia, GA",118.0,0,Jan-2018
2018-02-01,19,149125.0,3.83,2,"Vidalia, GA",115.0,0,Feb-2018
2018-03-01,20,150000.0,3.94,3,"Vidalia, GA",123.0,0,Mar-2018
2018-04-01,21,153325.0,3.95,4,"Vidalia, GA",133.0,0,Apr-2018
2018-05-01,22,154450.0,3.99,5,"Vidalia, GA",134.0,0,May-2018
2018-06-01,23,149900.0,4.15,6,"Vidalia, GA",133.0,0,Jun-2018
2018-07-01,24,142450.0,4.4,7,"Vidalia, GA",129.0,0,Jul-2018
2018-08-01,25,139900.0,4.46,8,"Vidalia, GA",128.0,0,Aug-2018
2018-09-01,26,135000.0,4.58,9,"Vidalia, GA",135.0,0,Sep-2018
2018-10-01,27,136500.0,4.66,10,"Vidalia, GA",137.0,0,Oct-2018
2018-11-01,28,141100.0,4.62,11,"Vidalia, GA",128.0,0,Nov-2018
2018-12-01,29,149000.0,4.54,12,"Vidalia, GA",125.0,0,Dec-2018
2019-01-01,30,149700.0,4.6,1,"Vidalia, GA",107.0,0,Jan-2019
2019-02-01,31,149450.0,4.72,2,"Vidalia, GA",112.0,0,Feb-2019
2019-03-01,32,148543.0,4.9,3,"Vidalia, GA",114.0,0,Mar-2019
2019-04-01,33,149043.0,4.94,4,"Vidalia, GA",110.0,0,Apr-2019
2019-05-01,34,149450.0,4.75,5,"Vidalia, GA",115.0,0,May-2019
2019-06-01,35,148000.0,4.51,6,"Vidalia, GA",118.0,0,Jun-2019
2019-07-01,36,149900.0,4.41,7,"Vidalia, GA",101.0,0,Jul-2019
2019-08-01,37,147200.0,4.41,8,"Vidalia, GA",106.0,0,Aug-2019
2019-09-01,38,143150.0,4.2,9,"Vidalia, GA",115.0,0,Sep-2019
2019-10-01,39,142950.0,4.14,10,"Vidalia, GA",117.0,0,Oct-2019
2019-11-01,40,145000.0,3.84,11,"Vidalia, GA",114.0,0,Nov-2019
2019-12-01,41,145000.0,3.81,12,"Vidalia, GA",107.0,0,Dec-2019
2020-01-01,42,148900.0,3.75,1,"Vidalia, GA",98.0,0,Jan-2020
2020-02-01,43,149900.0,3.73,2,"Vidalia, GA",101.0,0,Feb-2020
2020-03-01,44,151975.0,3.78,3,"Vidalia, GA",114.0,0,Mar-2020
2020-04-01,45,163675.0,3.75,4,"Vidalia, GA",115.0,0,Apr-2020
2020-05-01,46,168000.0,3.74,5,"Vidalia, GA",109.0,0,May-2020
2020-06-01,47,184900.0,3.72,6,"Vidalia, GA",95.0,0,Jun-2020
2020-07-01,48,208825.0,3.49,7,"Vidalia, GA",91.0,0,Jul-2020
2020-08-01,49,217500.0,3.65,8,"Vidalia, GA",81.0,0,Aug-2020
2020-09-01,50,197475.0,3.33,9,"Vidalia, GA",75.0,0,Sep-2020
2020-10-01,51,199900.0,3.28,10,"Vidalia, GA",78.0,0,Oct-2020
2020-11-01,52,181150.0,3.21,11,"Vidalia, GA",69.0,0,Nov-2020
2020-12-01,53,158725.0,3.07,12,"Vidalia, GA",63.0,0,Dec-2020
2021-01-01,54,164950.0,2.99,1,"Vidalia, GA",60.0,0,Jan-2021
2021-02-01,55,164900.0,2.93,2,"Vidalia, GA",55.0,0,Feb-2021
2021-03-01,56,159975.0,2.88,3,"Vidalia, GA",48.0,0,Mar-2021
2021-04-01,57,161750.0,2.84,4,"Vidalia, GA",41.0,0,Apr-2021
2021-05-01,58,176950.0,2.71,5,"Vidalia, GA",40.0,0,May-2021
2021-06-01,59,179000.0,2.79,6,"Vidalia, GA",48.0,0,Jun-2021
2021-07-01,60,187000.0,2.97,7,"Vidalia, GA",49.0,0,Jul-2021
2021-08-01,61,217950.0,3.17,8,"Vidalia, GA",51.0,0,Aug-2021
2021-09-01,62,224950.0,3.18,9,"Vidalia, GA",51.0,0,Sep-2021
2021-10-01,63,236000.0,3.0,10,"Vidalia, GA",48.0,0,Oct-2021
2021-11-01,64,235500.0,3.02,11,"Vidalia, GA",35.0,0,Nov-2021
2021-12-01,65,281225.0,2.98,12,"Vidalia, GA",35.0,197548,Dec-2021
2022-01-01,66,280000.0,2.87,1,"Vidalia, GA",33.0,197641,Jan-2022
2022-02-01,67,299000.0,3.01,2,"Vidalia, GA",27.0,197472,Feb-2022
2022-03-01,68,325688.0,3.14,3,"Vidalia, GA",29.0,197526,Mar-2022
2022-04-01,69,269900.0,3.1,4,"Vidalia, GA",30.0,198073,Apr-2022
2022-05-01,70,258475.0,3.12,5,"Vidalia, GA",37.0,199923,May-2022
2022-06-01,71,233450.0,3.56,6,"Vidalia, GA",47.0,194110,Jun-2022
2022-07-01,72,232000.0,3.92,7,"Vidalia, GA",49.0,171756,Jul-2022
2022-08-01,73,241725.0,4.67,8,"Vidalia, GA",46.0,165375,Aug-2022
2022-09-01,74,259950.0,5.11,9,"Vidalia, GA",51.0,170759,Sep-2022
2022-10-01,75,280000.0,5.3,10,"Vidalia, GA",51.0,173120,Oct-2022
