date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,161950.0,3.72,7,"Warner Robins, GA",1019.0,0,Jul-2016
2016-08-01,1,162700.0,3.73,8,"Warner Robins, GA",985.0,0,Aug-2016
2016-09-01,2,164300.0,3.66,9,"Warner Robins, GA",978.0,0,Sep-2016
2016-10-01,3,169900.0,3.64,10,"Warner Robins, GA",975.0,0,Oct-2016
2016-11-01,4,164900.0,3.66,11,"Warner Robins, GA",986.0,0,Nov-2016
2016-12-01,5,163000.0,3.48,12,"Warner Robins, GA",934.0,0,Dec-2016
2017-01-01,6,161200.0,3.45,1,"Warner Robins, GA",885.0,0,Jan-2017
2017-02-01,7,164900.0,3.5,2,"Warner Robins, GA",858.0,0,Feb-2017
2017-03-01,8,169675.0,3.52,3,"Warner Robins, GA",834.0,0,Mar-2017
2017-04-01,9,178150.0,4.03,4,"Warner Robins, GA",816.0,0,Apr-2017
2017-05-01,10,184950.0,4.32,5,"Warner Robins, GA",835.0,0,May-2017
2017-06-01,11,189375.0,4.2,6,"Warner Robins, GA",828.0,0,Jun-2017
2017-07-01,12,194900.0,4.19,7,"Warner Robins, GA",840.0,0,Jul-2017
2017-08-01,13,190625.0,4.3,8,"Warner Robins, GA",805.0,0,Aug-2017
2017-09-01,14,195500.0,4.1,9,"Warner Robins, GA",800.0,0,Sep-2017
2017-10-01,15,198000.0,4.05,10,"Warner Robins, GA",835.0,0,Oct-2017
2017-11-01,16,195250.0,3.94,11,"Warner Robins, GA",811.0,0,Nov-2017
2017-12-01,17,198900.0,4.03,12,"Warner Robins, GA",783.0,0,Dec-2017
2018-01-01,18,206547.0,3.93,1,"Warner Robins, GA",753.0,0,Jan-2018
2018-02-01,19,212500.0,3.83,2,"Warner Robins, GA",779.0,0,Feb-2018
2018-03-01,20,214350.0,3.94,3,"Warner Robins, GA",780.0,0,Mar-2018
2018-04-01,21,218894.0,3.95,4,"Warner Robins, GA",766.0,0,Apr-2018
2018-05-01,22,219500.0,3.99,5,"Warner Robins, GA",771.0,0,May-2018
2018-06-01,23,216888.0,4.15,6,"Warner Robins, GA",816.0,0,Jun-2018
2018-07-01,24,216644.0,4.4,7,"Warner Robins, GA",863.0,0,Jul-2018
2018-08-01,25,211563.0,4.46,8,"Warner Robins, GA",890.0,0,Aug-2018
2018-09-01,26,210250.0,4.58,9,"Warner Robins, GA",858.0,0,Sep-2018
2018-10-01,27,214163.0,4.66,10,"Warner Robins, GA",852.0,0,Oct-2018
2018-11-01,28,218638.0,4.62,11,"Warner Robins, GA",874.0,0,Nov-2018
2018-12-01,29,218772.0,4.54,12,"Warner Robins, GA",818.0,0,Dec-2018
2019-01-01,30,218763.0,4.6,1,"Warner Robins, GA",773.0,0,Jan-2019
2019-02-01,31,217963.0,4.72,2,"Warner Robins, GA",759.0,0,Feb-2019
2019-03-01,32,212000.0,4.9,3,"Warner Robins, GA",768.0,0,Mar-2019
2019-04-01,33,208000.0,4.94,4,"Warner Robins, GA",811.0,0,Apr-2019
2019-05-01,34,199925.0,4.75,5,"Warner Robins, GA",818.0,0,May-2019
2019-06-01,35,214950.0,4.51,6,"Warner Robins, GA",752.0,0,Jun-2019
2019-07-01,36,211467.0,4.41,7,"Warner Robins, GA",755.0,0,Jul-2019
2019-08-01,37,215100.0,4.41,8,"Warner Robins, GA",765.0,0,Aug-2019
2019-09-01,38,219150.0,4.2,9,"Warner Robins, GA",772.0,0,Sep-2019
2019-10-01,39,218200.0,4.14,10,"Warner Robins, GA",749.0,0,Oct-2019
2019-11-01,40,211450.0,3.84,11,"Warner Robins, GA",699.0,0,Nov-2019
2019-12-01,41,218473.0,3.81,12,"Warner Robins, GA",654.0,0,Dec-2019
2020-01-01,42,216900.0,3.75,1,"Warner Robins, GA",641.0,0,Jan-2020
2020-02-01,43,215000.0,3.73,2,"Warner Robins, GA",623.0,0,Feb-2020
2020-03-01,44,214425.0,3.78,3,"Warner Robins, GA",591.0,0,Mar-2020
2020-04-01,45,214425.0,3.75,4,"Warner Robins, GA",544.0,0,Apr-2020
2020-05-01,46,226400.0,3.74,5,"Warner Robins, GA",515.0,0,May-2020
2020-06-01,47,234310.0,3.72,6,"Warner Robins, GA",432.0,0,Jun-2020
2020-07-01,48,238260.0,3.49,7,"Warner Robins, GA",389.0,0,Jul-2020
2020-08-01,49,231673.0,3.65,8,"Warner Robins, GA",388.0,0,Aug-2020
2020-09-01,50,241333.0,3.33,9,"Warner Robins, GA",351.0,0,Sep-2020
2020-10-01,51,238266.0,3.28,10,"Warner Robins, GA",319.0,0,Oct-2020
2020-11-01,52,231672.0,3.21,11,"Warner Robins, GA",308.0,0,Nov-2020
2020-12-01,53,235758.0,3.07,12,"Warner Robins, GA",301.0,0,Dec-2020
2021-01-01,54,242768.0,2.99,1,"Warner Robins, GA",255.0,0,Jan-2021
2021-02-01,55,252425.0,2.93,2,"Warner Robins, GA",224.0,0,Feb-2021
2021-03-01,56,264975.0,2.88,3,"Warner Robins, GA",203.0,0,Mar-2021
2021-04-01,57,275505.0,2.84,4,"Warner Robins, GA",203.0,0,Apr-2021
2021-05-01,58,280000.0,2.71,5,"Warner Robins, GA",218.0,0,May-2021
2021-06-01,59,292100.0,2.79,6,"Warner Robins, GA",255.0,0,Jun-2021
2021-07-01,60,271950.0,2.97,7,"Warner Robins, GA",313.0,0,Jul-2021
2021-08-01,61,254365.0,3.17,8,"Warner Robins, GA",325.0,0,Aug-2021
2021-09-01,62,274900.0,3.18,9,"Warner Robins, GA",338.0,0,Sep-2021
2021-10-01,63,255486.0,3.0,10,"Warner Robins, GA",386.0,0,Oct-2021
2021-11-01,64,262438.0,3.02,11,"Warner Robins, GA",371.0,0,Nov-2021
2021-12-01,65,267195.0,2.98,12,"Warner Robins, GA",326.0,313781,Dec-2021
2022-01-01,66,278080.0,2.87,1,"Warner Robins, GA",311.0,321077,Jan-2022
2022-02-01,67,287580.0,3.01,2,"Warner Robins, GA",294.0,320789,Feb-2022
2022-03-01,68,296225.0,3.14,3,"Warner Robins, GA",295.0,314820,Mar-2022
2022-04-01,69,285448.0,3.1,4,"Warner Robins, GA",295.0,319769,Apr-2022
2022-05-01,70,293604.0,3.12,5,"Warner Robins, GA",356.0,315226,May-2022
2022-06-01,71,303578.0,3.56,6,"Warner Robins, GA",414.0,295263,Jun-2022
2022-07-01,72,322476.0,3.92,7,"Warner Robins, GA",432.0,285479,Jul-2022
2022-08-01,73,324018.0,4.67,8,"Warner Robins, GA",434.0,276104,Aug-2022
2022-09-01,74,321255.0,5.11,9,"Warner Robins, GA",440.0,273809,Sep-2022
2022-10-01,75,321915.0,5.3,10,"Warner Robins, GA",476.0,273326,Oct-2022
