date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,91225.0,3.72,7,"Washington Court House, OH",84.0,0,Jul-2016
2016-08-01,1,107200.0,3.73,8,"Washington Court House, OH",91.0,0,Aug-2016
2016-09-01,2,123900.0,3.66,9,"Washington Court House, OH",97.0,0,Sep-2016
2016-10-01,3,126000.0,3.64,10,"Washington Court House, OH",103.0,0,Oct-2016
2016-11-01,4,109650.0,3.66,11,"Washington Court House, OH",93.0,0,Nov-2016
2016-12-01,5,107250.0,3.48,12,"Washington Court House, OH",82.0,0,Dec-2016
2017-01-01,6,112600.0,3.45,1,"Washington Court House, OH",73.0,0,Jan-2017
2017-02-01,7,118575.0,3.5,2,"Washington Court House, OH",65.0,0,Feb-2017
2017-03-01,8,119450.0,3.52,3,"Washington Court House, OH",57.0,0,Mar-2017
2017-04-01,9,115000.0,4.03,4,"Washington Court House, OH",53.0,0,Apr-2017
2017-05-01,10,81150.0,4.32,5,"Washington Court House, OH",67.0,0,May-2017
2017-06-01,11,97925.0,4.2,6,"Washington Court House, OH",70.0,0,Jun-2017
2017-07-01,12,104900.0,4.19,7,"Washington Court House, OH",66.0,0,Jul-2017
2017-08-01,13,102400.0,4.3,8,"Washington Court House, OH",89.0,0,Aug-2017
2017-09-01,14,103200.0,4.1,9,"Washington Court House, OH",82.0,0,Sep-2017
2017-10-01,15,101130.0,4.05,10,"Washington Court House, OH",88.0,0,Oct-2017
2017-11-01,16,98850.0,3.94,11,"Washington Court House, OH",76.0,0,Nov-2017
2017-12-01,17,100000.0,4.03,12,"Washington Court House, OH",64.0,0,Dec-2017
2018-01-01,18,109425.0,3.93,1,"Washington Court House, OH",59.0,0,Jan-2018
2018-02-01,19,116225.0,3.83,2,"Washington Court House, OH",58.0,0,Feb-2018
2018-03-01,20,109900.0,3.94,3,"Washington Court House, OH",64.0,0,Mar-2018
2018-04-01,21,108150.0,3.95,4,"Washington Court House, OH",71.0,0,Apr-2018
2018-05-01,22,121300.0,3.99,5,"Washington Court House, OH",79.0,0,May-2018
2018-06-01,23,119500.0,4.15,6,"Washington Court House, OH",76.0,0,Jun-2018
2018-07-01,24,129900.0,4.4,7,"Washington Court House, OH",73.0,0,Jul-2018
2018-08-01,25,123250.0,4.46,8,"Washington Court House, OH",70.0,0,Aug-2018
2018-09-01,26,159700.0,4.58,9,"Washington Court House, OH",78.0,0,Sep-2018
2018-10-01,27,153600.0,4.66,10,"Washington Court House, OH",80.0,0,Oct-2018
2018-11-01,28,143650.0,4.62,11,"Washington Court House, OH",77.0,0,Nov-2018
2018-12-01,29,139950.0,4.54,12,"Washington Court House, OH",76.0,0,Dec-2018
2019-01-01,30,131225.0,4.6,1,"Washington Court House, OH",78.0,0,Jan-2019
2019-02-01,31,129900.0,4.72,2,"Washington Court House, OH",67.0,0,Feb-2019
2019-03-01,32,141064.0,4.9,3,"Washington Court House, OH",59.0,0,Mar-2019
2019-04-01,33,176075.0,4.94,4,"Washington Court House, OH",52.0,0,Apr-2019
2019-05-01,34,177050.0,4.75,5,"Washington Court House, OH",56.0,0,May-2019
2019-06-01,35,184745.0,4.51,6,"Washington Court House, OH",58.0,0,Jun-2019
2019-07-01,36,140550.0,4.41,7,"Washington Court House, OH",66.0,0,Jul-2019
2019-08-01,37,137873.0,4.41,8,"Washington Court House, OH",65.0,0,Aug-2019
2019-09-01,38,132882.0,4.2,9,"Washington Court House, OH",63.0,0,Sep-2019
2019-10-01,39,127975.0,4.14,10,"Washington Court House, OH",56.0,0,Oct-2019
2019-11-01,40,104950.0,3.84,11,"Washington Court House, OH",56.0,0,Nov-2019
2019-12-01,41,104900.0,3.81,12,"Washington Court House, OH",56.0,0,Dec-2019
2020-01-01,42,86800.0,3.75,1,"Washington Court House, OH",50.0,0,Jan-2020
2020-02-01,43,89450.0,3.73,2,"Washington Court House, OH",51.0,0,Feb-2020
2020-03-01,44,147450.0,3.78,3,"Washington Court House, OH",44.0,0,Mar-2020
2020-04-01,45,132450.0,3.75,4,"Washington Court House, OH",47.0,0,Apr-2020
2020-05-01,46,129900.0,3.74,5,"Washington Court House, OH",45.0,0,May-2020
2020-06-01,47,106925.0,3.72,6,"Washington Court House, OH",44.0,0,Jun-2020
2020-07-01,48,134900.0,3.49,7,"Washington Court House, OH",44.0,0,Jul-2020
2020-08-01,49,153500.0,3.65,8,"Washington Court House, OH",38.0,0,Aug-2020
2020-09-01,50,138700.0,3.33,9,"Washington Court House, OH",39.0,0,Sep-2020
