date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,130875.0,3.72,7,"Washington, NC",713.0,0,Jul-2016
2016-08-01,1,138400.0,3.73,8,"Washington, NC",638.0,0,Aug-2016
2016-09-01,2,117500.0,3.66,9,"Washington, NC",750.0,0,Sep-2016
2016-10-01,3,178500.0,3.64,10,"Washington, NC",490.0,0,Oct-2016
2016-11-01,4,189900.0,3.66,11,"Washington, NC",441.0,0,Nov-2016
2016-12-01,5,197900.0,3.48,12,"Washington, NC",415.0,0,Dec-2016
2017-01-01,6,199900.0,3.45,1,"Washington, NC",373.0,0,Jan-2017
2017-02-01,7,219450.0,3.5,2,"Washington, NC",367.0,0,Feb-2017
2017-03-01,8,246825.0,3.52,3,"Washington, NC",387.0,0,Mar-2017
2017-04-01,9,259000.0,4.03,4,"Washington, NC",388.0,0,Apr-2017
2017-05-01,10,268075.0,4.32,5,"Washington, NC",376.0,0,May-2017
2017-06-01,11,275000.0,4.2,6,"Washington, NC",371.0,0,Jun-2017
2017-07-01,12,273500.0,4.19,7,"Washington, NC",359.0,0,Jul-2017
2017-08-01,13,256750.0,4.3,8,"Washington, NC",375.0,0,Aug-2017
2017-09-01,14,249900.0,4.1,9,"Washington, NC",376.0,0,Sep-2017
2017-10-01,15,249000.0,4.05,10,"Washington, NC",374.0,0,Oct-2017
2017-11-01,16,249675.0,3.94,11,"Washington, NC",356.0,0,Nov-2017
2017-12-01,17,242500.0,4.03,12,"Washington, NC",337.0,0,Dec-2017
2018-01-01,18,238750.0,3.93,1,"Washington, NC",317.0,0,Jan-2018
2018-02-01,19,241800.0,3.83,2,"Washington, NC",312.0,0,Feb-2018
2018-03-01,20,249900.0,3.94,3,"Washington, NC",312.0,0,Mar-2018
2018-04-01,21,249900.0,3.95,4,"Washington, NC",335.0,0,Apr-2018
2018-05-01,22,256950.0,3.99,5,"Washington, NC",347.0,0,May-2018
2018-06-01,23,249900.0,4.15,6,"Washington, NC",333.0,0,Jun-2018
2018-07-01,24,252400.0,4.4,7,"Washington, NC",326.0,0,Jul-2018
2018-08-01,25,249900.0,4.46,8,"Washington, NC",311.0,0,Aug-2018
2018-09-01,26,248450.0,4.58,9,"Washington, NC",307.0,0,Sep-2018
2018-10-01,27,245000.0,4.66,10,"Washington, NC",292.0,0,Oct-2018
2018-11-01,28,243700.0,4.62,11,"Washington, NC",290.0,0,Nov-2018
2018-12-01,29,245000.0,4.54,12,"Washington, NC",274.0,0,Dec-2018
2019-01-01,30,243650.0,4.6,1,"Washington, NC",260.0,0,Jan-2019
2019-02-01,31,249900.0,4.72,2,"Washington, NC",257.0,0,Feb-2019
2019-03-01,32,261164.0,4.9,3,"Washington, NC",261.0,0,Mar-2019
2019-04-01,33,265689.0,4.94,4,"Washington, NC",265.0,0,Apr-2019
2019-05-01,34,274925.0,4.75,5,"Washington, NC",272.0,0,May-2019
2019-06-01,35,274950.0,4.51,6,"Washington, NC",283.0,0,Jun-2019
2019-07-01,36,276000.0,4.41,7,"Washington, NC",279.0,0,Jul-2019
2019-08-01,37,281264.0,4.41,8,"Washington, NC",263.0,0,Aug-2019
2019-09-01,38,283309.0,4.2,9,"Washington, NC",252.0,0,Sep-2019
2019-10-01,39,284673.0,4.14,10,"Washington, NC",238.0,0,Oct-2019
2019-11-01,40,269900.0,3.84,11,"Washington, NC",234.0,0,Nov-2019
2019-12-01,41,267000.0,3.81,12,"Washington, NC",232.0,0,Dec-2019
2020-01-01,42,259850.0,3.75,1,"Washington, NC",224.0,0,Jan-2020
2020-02-01,43,259900.0,3.73,2,"Washington, NC",218.0,0,Feb-2020
2020-03-01,44,259675.0,3.78,3,"Washington, NC",220.0,0,Mar-2020
2020-04-01,45,255825.0,3.75,4,"Washington, NC",217.0,0,Apr-2020
2020-05-01,46,259900.0,3.74,5,"Washington, NC",197.0,0,May-2020
2020-06-01,47,262500.0,3.72,6,"Washington, NC",178.0,0,Jun-2020
2020-07-01,48,260000.0,3.49,7,"Washington, NC",162.0,0,Jul-2020
2020-08-01,49,252450.0,3.65,8,"Washington, NC",154.0,0,Aug-2020
2020-09-01,50,276450.0,3.33,9,"Washington, NC",140.0,0,Sep-2020
2020-10-01,51,257500.0,3.28,10,"Washington, NC",120.0,0,Oct-2020
2020-11-01,52,257500.0,3.21,11,"Washington, NC",109.0,0,Nov-2020
2020-12-01,53,282000.0,3.07,12,"Washington, NC",97.0,0,Dec-2020
2021-01-01,54,296450.0,2.99,1,"Washington, NC",90.0,0,Jan-2021
2021-02-01,55,295725.0,2.93,2,"Washington, NC",72.0,0,Feb-2021
2021-03-01,56,296450.0,2.88,3,"Washington, NC",70.0,0,Mar-2021
2021-04-01,57,299833.0,2.84,4,"Washington, NC",65.0,0,Apr-2021
2021-05-01,58,324900.0,2.71,5,"Washington, NC",62.0,0,May-2021
2021-06-01,59,338200.0,2.79,6,"Washington, NC",58.0,0,Jun-2021
2021-07-01,60,299900.0,2.97,7,"Washington, NC",66.0,0,Jul-2021
2021-08-01,61,314000.0,3.17,8,"Washington, NC",69.0,0,Aug-2021
2021-09-01,62,259950.0,3.18,9,"Washington, NC",77.0,0,Sep-2021
