date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,163450.0,3.72,7,"Watertown-Fort Drum, NY",1177.0,0,Jul-2016
2016-08-01,1,159900.0,3.73,8,"Watertown-Fort Drum, NY",1163.0,0,Aug-2016
2016-09-01,2,159000.0,3.66,9,"Watertown-Fort Drum, NY",1103.0,0,Sep-2016
2016-10-01,3,149900.0,3.64,10,"Watertown-Fort Drum, NY",1026.0,0,Oct-2016
2016-11-01,4,149575.0,3.66,11,"Watertown-Fort Drum, NY",905.0,0,Nov-2016
2016-12-01,5,149000.0,3.48,12,"Watertown-Fort Drum, NY",804.0,0,Dec-2016
2017-01-01,6,144950.0,3.45,1,"Watertown-Fort Drum, NY",747.0,0,Jan-2017
2017-02-01,7,144550.0,3.5,2,"Watertown-Fort Drum, NY",750.0,0,Feb-2017
2017-03-01,8,145950.0,3.52,3,"Watertown-Fort Drum, NY",768.0,0,Mar-2017
2017-04-01,9,149900.0,4.03,4,"Watertown-Fort Drum, NY",798.0,0,Apr-2017
2017-05-01,10,159000.0,4.32,5,"Watertown-Fort Drum, NY",858.0,0,May-2017
2017-06-01,11,160175.0,4.2,6,"Watertown-Fort Drum, NY",871.0,0,Jun-2017
2017-07-01,12,160000.0,4.19,7,"Watertown-Fort Drum, NY",901.0,0,Jul-2017
2017-08-01,13,155950.0,4.3,8,"Watertown-Fort Drum, NY",929.0,0,Aug-2017
2017-09-01,14,155000.0,4.1,9,"Watertown-Fort Drum, NY",900.0,0,Sep-2017
2017-10-01,15,154900.0,4.05,10,"Watertown-Fort Drum, NY",865.0,0,Oct-2017
2017-11-01,16,154900.0,3.94,11,"Watertown-Fort Drum, NY",799.0,0,Nov-2017
2017-12-01,17,151450.0,4.03,12,"Watertown-Fort Drum, NY",751.0,0,Dec-2017
2018-01-01,18,146625.0,3.93,1,"Watertown-Fort Drum, NY",711.0,0,Jan-2018
2018-02-01,19,148225.0,3.83,2,"Watertown-Fort Drum, NY",696.0,0,Feb-2018
2018-03-01,20,149900.0,3.94,3,"Watertown-Fort Drum, NY",705.0,0,Mar-2018
2018-04-01,21,152400.0,3.95,4,"Watertown-Fort Drum, NY",722.0,0,Apr-2018
2018-05-01,22,164500.0,3.99,5,"Watertown-Fort Drum, NY",801.0,0,May-2018
2018-06-01,23,168235.0,4.15,6,"Watertown-Fort Drum, NY",929.0,0,Jun-2018
2018-07-01,24,169600.0,4.4,7,"Watertown-Fort Drum, NY",988.0,0,Jul-2018
2018-08-01,25,168900.0,4.46,8,"Watertown-Fort Drum, NY",997.0,0,Aug-2018
2018-09-01,26,169900.0,4.58,9,"Watertown-Fort Drum, NY",988.0,0,Sep-2018
2018-10-01,27,168250.0,4.66,10,"Watertown-Fort Drum, NY",967.0,0,Oct-2018
2018-11-01,28,165000.0,4.62,11,"Watertown-Fort Drum, NY",885.0,0,Nov-2018
2018-12-01,29,164320.0,4.54,12,"Watertown-Fort Drum, NY",789.0,0,Dec-2018
2019-01-01,30,163500.0,4.6,1,"Watertown-Fort Drum, NY",720.0,0,Jan-2019
2019-02-01,31,162900.0,4.72,2,"Watertown-Fort Drum, NY",691.0,0,Feb-2019
2019-03-01,32,168529.0,4.9,3,"Watertown-Fort Drum, NY",680.0,0,Mar-2019
2019-04-01,33,179925.0,4.94,4,"Watertown-Fort Drum, NY",679.0,0,Apr-2019
2019-05-01,34,180625.0,4.75,5,"Watertown-Fort Drum, NY",740.0,0,May-2019
2019-06-01,35,182750.0,4.51,6,"Watertown-Fort Drum, NY",814.0,0,Jun-2019
2019-07-01,36,184900.0,4.41,7,"Watertown-Fort Drum, NY",847.0,0,Jul-2019
2019-08-01,37,179973.0,4.41,8,"Watertown-Fort Drum, NY",826.0,0,Aug-2019
2019-09-01,38,175432.0,4.2,9,"Watertown-Fort Drum, NY",804.0,0,Sep-2019
2019-10-01,39,172405.0,4.14,10,"Watertown-Fort Drum, NY",777.0,0,Oct-2019
2019-11-01,40,169000.0,3.84,11,"Watertown-Fort Drum, NY",718.0,0,Nov-2019
2019-12-01,41,162875.0,3.81,12,"Watertown-Fort Drum, NY",664.0,0,Dec-2019
2020-01-01,42,159900.0,3.75,1,"Watertown-Fort Drum, NY",589.0,0,Jan-2020
2020-02-01,43,164000.0,3.73,2,"Watertown-Fort Drum, NY",561.0,0,Feb-2020
2020-03-01,44,167450.0,3.78,3,"Watertown-Fort Drum, NY",549.0,0,Mar-2020
2020-04-01,45,174950.0,3.75,4,"Watertown-Fort Drum, NY",547.0,0,Apr-2020
2020-05-01,46,179000.0,3.74,5,"Watertown-Fort Drum, NY",541.0,0,May-2020
2020-06-01,47,186950.0,3.72,6,"Watertown-Fort Drum, NY",540.0,0,Jun-2020
2020-07-01,48,192450.0,3.49,7,"Watertown-Fort Drum, NY",559.0,0,Jul-2020
2020-08-01,49,189000.0,3.65,8,"Watertown-Fort Drum, NY",535.0,0,Aug-2020
2020-09-01,50,173975.0,3.33,9,"Watertown-Fort Drum, NY",504.0,0,Sep-2020
2020-10-01,51,169900.0,3.28,10,"Watertown-Fort Drum, NY",471.0,0,Oct-2020
2020-11-01,52,169900.0,3.21,11,"Watertown-Fort Drum, NY",415.0,0,Nov-2020
2020-12-01,53,168500.0,3.07,12,"Watertown-Fort Drum, NY",369.0,0,Dec-2020
2021-01-01,54,160000.0,2.99,1,"Watertown-Fort Drum, NY",299.0,0,Jan-2021
2021-02-01,55,168400.0,2.93,2,"Watertown-Fort Drum, NY",251.0,0,Feb-2021
2021-03-01,56,172000.0,2.88,3,"Watertown-Fort Drum, NY",214.0,0,Mar-2021
2021-04-01,57,181675.0,2.84,4,"Watertown-Fort Drum, NY",206.0,0,Apr-2021
2021-05-01,58,199000.0,2.71,5,"Watertown-Fort Drum, NY",234.0,0,May-2021
2021-06-01,59,192425.0,2.79,6,"Watertown-Fort Drum, NY",294.0,0,Jun-2021
2021-07-01,60,189900.0,2.97,7,"Watertown-Fort Drum, NY",348.0,0,Jul-2021
2021-08-01,61,186000.0,3.17,8,"Watertown-Fort Drum, NY",350.0,0,Aug-2021
2021-09-01,62,188975.0,3.18,9,"Watertown-Fort Drum, NY",344.0,0,Sep-2021
2021-10-01,63,174450.0,3.0,10,"Watertown-Fort Drum, NY",304.0,0,Oct-2021
2021-11-01,64,162400.0,3.02,11,"Watertown-Fort Drum, NY",254.0,0,Nov-2021
2021-12-01,65,166875.0,2.98,12,"Watertown-Fort Drum, NY",222.0,184421,Dec-2021
2022-01-01,66,159950.0,2.87,1,"Watertown-Fort Drum, NY",181.0,175280,Jan-2022
2022-02-01,67,165925.0,3.01,2,"Watertown-Fort Drum, NY",149.0,179458,Feb-2022
2022-03-01,68,170650.0,3.14,3,"Watertown-Fort Drum, NY",141.0,172594,Mar-2022
2022-04-01,69,171000.0,3.1,4,"Watertown-Fort Drum, NY",131.0,180270,Apr-2022
2022-05-01,70,203274.0,3.12,5,"Watertown-Fort Drum, NY",177.0,182571,May-2022
2022-06-01,71,210000.0,3.56,6,"Watertown-Fort Drum, NY",232.0,190088,Jun-2022
2022-07-01,72,199000.0,3.92,7,"Watertown-Fort Drum, NY",271.0,183496,Jul-2022
2022-08-01,73,199000.0,4.67,8,"Watertown-Fort Drum, NY",286.0,183611,Aug-2022
2022-09-01,74,193625.0,5.11,9,"Watertown-Fort Drum, NY",310.0,183140,Sep-2022
2022-10-01,75,198900.0,5.3,10,"Watertown-Fort Drum, NY",292.0,184265,Oct-2022
