date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,pred_median_listing_price,month_year
2016-07-01,0,116750.0,3.72,7,"Wilson, NC",437.0,0,Jul-2016
2016-08-01,1,116800.0,3.73,8,"Wilson, NC",433.0,0,Aug-2016
2016-09-01,2,107200.0,3.66,9,"Wilson, NC",440.0,0,Sep-2016
2016-10-01,3,115000.0,3.64,10,"Wilson, NC",410.0,0,Oct-2016
2016-11-01,4,119675.0,3.66,11,"Wilson, NC",391.0,0,Nov-2016
2016-12-01,5,113900.0,3.48,12,"Wilson, NC",379.0,0,Dec-2016
2017-01-01,6,119900.0,3.45,1,"Wilson, NC",363.0,0,Jan-2017
2017-02-01,7,118400.0,3.5,2,"Wilson, NC",341.0,0,Feb-2017
2017-03-01,8,130950.0,3.52,3,"Wilson, NC",313.0,0,Mar-2017
2017-04-01,9,134950.0,4.03,4,"Wilson, NC",294.0,0,Apr-2017
2017-05-01,10,135000.0,4.32,5,"Wilson, NC",292.0,0,May-2017
2017-06-01,11,139900.0,4.2,6,"Wilson, NC",293.0,0,Jun-2017
2017-07-01,12,145450.0,4.19,7,"Wilson, NC",279.0,0,Jul-2017
2017-08-01,13,134200.0,4.3,8,"Wilson, NC",287.0,0,Aug-2017
2017-09-01,14,132000.0,4.1,9,"Wilson, NC",282.0,0,Sep-2017
2017-10-01,15,133350.0,4.05,10,"Wilson, NC",261.0,0,Oct-2017
2017-11-01,16,137450.0,3.94,11,"Wilson, NC",274.0,0,Nov-2017
2017-12-01,17,129900.0,4.03,12,"Wilson, NC",277.0,0,Dec-2017
2018-01-01,18,129600.0,3.93,1,"Wilson, NC",252.0,0,Jan-2018
2018-02-01,19,129900.0,3.83,2,"Wilson, NC",243.0,0,Feb-2018
2018-03-01,20,132500.0,3.94,3,"Wilson, NC",247.0,0,Mar-2018
2018-04-01,21,129950.0,3.95,4,"Wilson, NC",255.0,0,Apr-2018
2018-05-01,22,123875.0,3.99,5,"Wilson, NC",260.0,0,May-2018
2018-06-01,23,120990.0,4.15,6,"Wilson, NC",238.0,0,Jun-2018
2018-07-01,24,121240.0,4.4,7,"Wilson, NC",240.0,0,Jul-2018
2018-08-01,25,122950.0,4.46,8,"Wilson, NC",249.0,0,Aug-2018
2018-09-01,26,130000.0,4.58,9,"Wilson, NC",244.0,0,Sep-2018
2018-10-01,27,129725.0,4.66,10,"Wilson, NC",246.0,0,Oct-2018
2018-11-01,28,129900.0,4.62,11,"Wilson, NC",251.0,0,Nov-2018
2018-12-01,29,129500.0,4.54,12,"Wilson, NC",240.0,0,Dec-2018
2019-01-01,30,132250.0,4.6,1,"Wilson, NC",234.0,0,Jan-2019
2019-02-01,31,135500.0,4.72,2,"Wilson, NC",212.0,0,Feb-2019
2019-03-01,32,141243.0,4.9,3,"Wilson, NC",187.0,0,Mar-2019
2019-04-01,33,152400.0,4.94,4,"Wilson, NC",172.0,0,Apr-2019
2019-05-01,34,152400.0,4.75,5,"Wilson, NC",177.0,0,May-2019
2019-06-01,35,169900.0,4.51,6,"Wilson, NC",181.0,0,Jun-2019
2019-07-01,36,173700.0,4.41,7,"Wilson, NC",167.0,0,Jul-2019
2019-08-01,37,174645.0,4.41,8,"Wilson, NC",164.0,0,Aug-2019
2019-09-01,38,174564.0,4.2,9,"Wilson, NC",161.0,0,Sep-2019
2019-10-01,39,174500.0,4.14,10,"Wilson, NC",153.0,0,Oct-2019
2019-11-01,40,165900.0,3.84,11,"Wilson, NC",144.0,0,Nov-2019
2019-12-01,41,169900.0,3.81,12,"Wilson, NC",150.0,0,Dec-2019
2020-01-01,42,154000.0,3.75,1,"Wilson, NC",145.0,0,Jan-2020
2020-02-01,43,165000.0,3.73,2,"Wilson, NC",143.0,0,Feb-2020
2020-03-01,44,164000.0,3.78,3,"Wilson, NC",142.0,0,Mar-2020
2020-04-01,45,169900.0,3.75,4,"Wilson, NC",138.0,0,Apr-2020
2020-05-01,46,182400.0,3.74,5,"Wilson, NC",140.0,0,May-2020
2020-06-01,47,189900.0,3.72,6,"Wilson, NC",121.0,0,Jun-2020
2020-07-01,48,193375.0,3.49,7,"Wilson, NC",101.0,0,Jul-2020
2020-08-01,49,199950.0,3.65,8,"Wilson, NC",95.0,0,Aug-2020
2020-09-01,50,221200.0,3.33,9,"Wilson, NC",76.0,0,Sep-2020
2020-10-01,51,205450.0,3.28,10,"Wilson, NC",64.0,0,Oct-2020
2020-11-01,52,179900.0,3.21,11,"Wilson, NC",73.0,0,Nov-2020
2020-12-01,53,207100.0,3.07,12,"Wilson, NC",62.0,0,Dec-2020
2021-01-01,54,208000.0,2.99,1,"Wilson, NC",60.0,0,Jan-2021
2021-02-01,55,219950.0,2.93,2,"Wilson, NC",66.0,0,Feb-2021
2021-03-01,56,205700.0,2.88,3,"Wilson, NC",59.0,0,Mar-2021
2021-04-01,57,216150.0,2.84,4,"Wilson, NC",53.0,0,Apr-2021
2021-05-01,58,199990.0,2.71,5,"Wilson, NC",40.0,0,May-2021
2021-06-01,59,187425.0,2.79,6,"Wilson, NC",62.0,0,Jun-2021
2021-07-01,60,182500.0,2.97,7,"Wilson, NC",64.0,0,Jul-2021
2021-08-01,61,189900.0,3.17,8,"Wilson, NC",63.0,0,Aug-2021
2021-09-01,62,186150.0,3.18,9,"Wilson, NC",58.0,0,Sep-2021
2021-10-01,63,197400.0,3.0,10,"Wilson, NC",66.0,0,Oct-2021
2021-11-01,64,187950.0,3.02,11,"Wilson, NC",67.0,0,Nov-2021
2021-12-01,65,220700.0,2.98,12,"Wilson, NC",57.0,205314,Dec-2021
2022-01-01,66,197400.0,2.87,1,"Wilson, NC",38.0,203106,Jan-2022
2022-02-01,67,184950.0,3.01,2,"Wilson, NC",35.0,205389,Feb-2022
2022-03-01,68,223500.0,3.14,3,"Wilson, NC",34.0,201175,Mar-2022
2022-04-01,69,205000.0,3.1,4,"Wilson, NC",48.0,198426,Apr-2022
2022-05-01,70,237450.0,3.12,5,"Wilson, NC",48.0,198527,May-2022
2022-06-01,71,249925.0,3.56,6,"Wilson, NC",65.0,199411,Jun-2022
2022-07-01,72,247450.0,3.92,7,"Wilson, NC",102.0,195299,Jul-2022
2022-08-01,73,237225.0,4.67,8,"Wilson, NC",105.0,188351,Aug-2022
2022-09-01,74,253500.0,5.11,9,"Wilson, NC",83.0,190780,Sep-2022
2022-10-01,75,249900.0,5.3,10,"Wilson, NC",82.0,192380,Oct-2022
